date,issue_hour,slot,interval_end,price_yuan_per_kwh,old_kwh,new_kwh,adjustment_cost_yuan
2025-03-20,0,0,00:10,0.4248,,1419.0892246666667,0.0
2025-03-20,0,1,00:20,0.4245,,1416.4801813333333,0.0
2025-03-20,0,2,00:30,0.4269,,1409.9726079999998,0.0
2025-03-20,0,3,00:40,0.4272,,1429.9925146666665,0.0
2025-03-20,0,4,00:50,0.4271,,1440.046648,0.0
2025-03-20,0,5,01:00,0.4285,,1434.4916079999998,0.0
2025-03-20,0,6,01:10,0.4311,,600.8469966666667,0.0
2025-03-20,0,7,01:20,0.4302,,1425.5488333333333,0.0
2025-03-20,0,8,01:30,0.4279,,1408.7327333333333,0.0
2025-03-20,0,9,01:40,0.4312,,588.7650566666666,0.0
2025-03-20,0,10,01:50,0.4333,,599.55809,0.0
2025-03-20,0,11,02:00,0.4311,,1274.0435048559652,0.0
2025-03-20,0,12,02:10,0.4293,,1420.25216,0.0
2025-03-20,0,13,02:20,0.4324,,591.1067833333333,0.0
2025-03-20,0,14,02:30,0.4367,,598.9879999999999,0.0
2025-03-20,0,15,02:40,0.4348,,598.7228833333332,0.0
2025-03-20,0,16,02:50,0.4335,,603.7578833333333,0.0
2025-03-20,0,17,03:00,0.4357,,610.9029999999999,0.0
2025-03-20,0,18,03:10,0.4374,,602.8927166666666,0.0
2025-03-20,0,19,03:20,0.4371,,597.9942399999999,0.0
2025-03-20,0,20,03:30,0.4356,,611.4843333333332,0.0
2025-03-20,0,21,03:40,0.4353,,638.0749333333332,0.0
2025-03-20,0,22,03:50,0.436,,641.0110500000001,0.0
2025-03-20,0,23,04:00,0.4378,,627.7346666666666,0.0
2025-03-20,0,24,04:10,0.4401,,638.5699566666666,0.0
2025-03-20,0,25,04:20,0.4389,,639.7495999999999,0.0
2025-03-20,0,26,04:30,0.4364,,626.2213333333333,0.0
2025-03-20,0,27,04:40,0.4393,,629.88444,0.0
2025-03-20,0,28,04:50,0.4422,,639.6099300000001,0.0
2025-03-20,0,29,05:00,0.4395,,642.0876666666666,0.0
2025-03-20,0,30,05:10,0.4333,,637.2705366666667,0.0
2025-03-20,0,31,05:20,0.4439,,640.6012499999999,0.0
2025-03-20,0,32,05:30,0.4301,,1478.3026666666665,0.0
2025-03-20,0,33,05:40,0.3713,,1475.2897066666665,0.0
2025-03-20,0,34,05:50,0.5708,,716.68617,0.0
2025-03-20,0,35,06:00,0.9099,,-0.0,0.0
2025-03-20,0,36,06:10,0.9368,,-0.0,0.0
2025-03-20,0,37,06:20,0.8758,,-0.0,0.0
2025-03-20,0,38,06:30,0.8759,,-0.0,0.0
2025-03-20,0,39,06:40,0.8601,,-0.0,0.0
2025-03-20,0,40,06:50,0.8442,,-0.0,0.0
2025-03-20,0,41,07:00,0.8334,,-0.0,0.0
2025-03-20,0,42,07:10,0.8092,,-0.0,0.0
2025-03-20,0,43,07:20,0.7972,,405.5227578888883,0.0
2025-03-20,0,44,07:30,0.7644,,377.53981666666664,0.0
2025-03-20,0,45,07:40,0.6899,,290.662521111111,0.0
2025-03-20,0,46,07:50,0.86,,-0.0,0.0
2025-03-20,0,47,08:00,1.1617,,-0.0,0.0
2025-03-20,0,48,08:10,1.1683,,-0.0,0.0
2025-03-20,0,49,08:20,1.0956,,-0.0,0.0
2025-03-20,0,50,08:30,1.0849,,-0.0,0.0
2025-03-20,0,51,08:40,1.061,,-0.0,0.0
2025-03-20,0,52,08:50,1.043,,-0.0,0.0
2025-03-20,0,53,09:00,1.036,,-0.0,0.0
2025-03-20,0,54,09:10,1.0147,,-0.0,0.0
2025-03-20,0,55,09:20,0.9922,,-0.0,0.0
2025-03-20,0,56,09:30,0.97,,-0.0,0.0
2025-03-20,0,57,09:40,0.9422,,-0.0,0.0
2025-03-20,0,58,09:50,0.9569,,0.0,0.0
2025-03-20,0,59,10:00,0.9977,,0.0,0.0
2025-03-20,0,60,10:10,0.9919,,0.0,0.0
2025-03-20,0,61,10:20,0.9588,,0.0,0.0
2025-03-20,0,62,10:30,0.9549,,0.0,0.0
2025-03-20,0,63,10:40,0.9839,,0.0,0.0
2025-03-20,0,64,10:50,0.799,,0.0,0.0
2025-03-20,0,65,11:00,0.5025,,575.8542933333333,0.0
2025-03-20,0,66,11:10,0.4662,,598.0430726666664,0.0
2025-03-20,0,67,11:20,0.5007,,602.4352060000001,0.0
2025-03-20,0,68,11:30,0.4827,,611.267486,0.0
2025-03-20,0,69,11:40,0.4785,,621.7774626666665,0.0
2025-03-20,0,70,11:50,0.4662,,613.364016,0.0
2025-03-20,0,71,12:00,0.4432,,590.9633693333333,0.0
2025-03-20,0,72,12:10,0.4411,,641.513011,0.0
2025-03-20,0,73,12:20,0.4551,,683.9731448888888,0.0
2025-03-20,0,74,12:30,0.4463,,726.4914787777777,0.0
2025-03-20,0,75,12:40,0.4113,,749.7535926666665,0.0
2025-03-20,0,76,12:50,0.5682,,441.89167488888927,0.0
2025-03-20,0,77,13:00,0.8279,,48.478687111111185,0.0
2025-03-20,0,78,13:10,0.8636,,86.49384288888882,0.0
2025-03-20,0,79,13:20,0.8416,,99.51176733333341,0.0
2025-03-20,0,80,13:30,0.8618,,104.94980844444444,0.0
2025-03-20,0,81,13:40,0.8623,,114.27361288888903,0.0
2025-03-20,0,82,13:50,0.9026,,-0.0,0.0
2025-03-20,0,83,14:00,0.9754,,-0.0,0.0
2025-03-20,0,84,14:10,1.0002,,-0.0,0.0
2025-03-20,0,85,14:20,0.9978,,-0.0,0.0
2025-03-20,0,86,14:30,1.0271,,-0.0,0.0
2025-03-20,0,87,14:40,1.0906,,-0.0,0.0
2025-03-20,0,88,14:50,0.9376,,-0.0,0.0
2025-03-20,0,89,15:00,0.6694,,1241.2336559999999,0.0
2025-03-20,0,90,15:10,0.66,,1274.9185887777776,0.0
2025-03-20,0,91,15:20,0.7217,,746.6821927009613,0.0
2025-03-20,0,92,15:30,0.7308,,529.4587687777778,0.0
