strategy,date,quantile,e_start,e_end,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,emergency_slots,solver,solve_seconds
warmup,2025-01-01,,6000.0,1200.0,0.0,87715.17001666664,127286.15238333333,0.0,357384.78779604984,357384.78779604984,0.0,0.0,0.0,4320.0,137,COLD_START,0.0
warmup,2025-01-02,,1200.0,6049.009037222222,102186.77352839509,1393.965294999999,127657.07848333336,64070.5623831795,7146.775582102163,71217.33796528168,0.0,463.516433333333,30883.552578395058,20651.569455000004,12,LP,0.008644799992907792
warmup,2025-01-03,,6049.009037222222,10800.0,97230.60810339505,0.0,81883.55671666666,62122.77303069903,0.0,62122.77303069903,4707.577800000001,39908.1714961934,14915.924073868317,7806.006633333334,0,LP,0.005519400001503527
warmup,2025-01-04,,10800.0,10506.645791851852,76006.57227764057,0.0,81891.73006666669,47301.941533851576,0.0,47301.941533851576,4651.018415843623,24675.813782373116,11463.981579423864,9549.843866666666,0,LP,0.005634300003293902
warmup,2025-01-05,,10506.645791851852,5086.231195601851,68193.31035245623,20774.77041758333,127674.11883333333,41201.01763724471,122149.7454835599,163350.76312080456,0.0,0.0,14793.387403497944,16861.01693345833,48,LP,0.008300699992105365
warmup,2025-01-06,,5086.231195601851,5325.83708462963,78705.04691081273,16144.033974933336,126826.69011666665,47280.084809538734,95145.06214902652,142425.1469585653,0.0,0.0,21057.655187479417,16841.05540173333,39,LP,0.00667609999072738
warmup,2025-01-07,,5325.83708462963,5464.442998117285,81422.0862670782,15195.688385444442,126927.46215,49474.482958755514,91561.37316449617,141035.8561232517,0.0,0.0,20663.83358096708,16612.959878444435,39,LP,0.005993200000375509
warmup,2025-01-08,,5464.442998117285,5663.102430661375,83738.50802928176,10480.566605476195,126695.94394999994,51248.618218215095,60194.3646034818,111442.9828216969,0.0,35.75725000000034,23571.17146737703,18913.85539928571,31,LP,0.008337999985087663
warmup,2025-01-09,,5663.102430661375,5627.851741666667,83149.21723471492,12124.409291619051,127066.61819999997,50928.297435627945,72083.64707082784,123011.94450645578,0.0,18.480590476190287,22080.60757519106,17917.01775599999,32,LP,0.007340200012549758
warmup,2025-01-10,,5627.851741666667,10800.0,82932.27086349209,0.0,81486.63841666667,50772.05192306686,0.0,50772.05192306686,3357.3709701646085,26099.650860993523,17524.46780614345,9539.885490476194,0,LP,0.005812500021420419
warmup,2025-01-11,,10800.0,10733.310582010581,77204.63122057612,0.0,81610.19496666665,48389.670145007556,0.0,48389.670145007556,4340.611772810114,25851.310342651377,11614.962971781306,9468.140483333336,0,LP,0.005363599979318678
warmup,2025-01-12,,10733.310582010581,5356.985283888888,77300.8868902704,11888.667703166664,126519.32696666672,48392.630705821946,70037.26185033395,118429.89255615594,0.0,0.0,16643.994535508522,18320.32834207144,32,LP,0.005198200000450015
warmup,2025-01-13,,5356.985283888888,5288.822513703704,83243.70307851267,9421.873986547615,126980.35978333332,50852.71096725947,54784.59748818301,105637.3084554425,0.0,4.478571428571627,23413.094842798357,19025.953315833336,29,LP,0.005429299984825775
warmup,2025-01-14,,5288.822513703704,5175.716940343915,82952.11020126392,10635.998809119048,127109.49061666668,50611.07016056862,62135.368169912996,112746.43833048166,0.0,7.074166666666315,23171.14171793063,18870.419807547623,31,LP,0.005925700010266155
warmup,2025-01-15,,5175.716940343915,5520.45343515873,82589.8560665197,12130.717323928568,126963.89896666672,50331.676082478814,72405.91397075403,122737.59005323284,0.0,15.473433333333332,22760.495676043494,18125.73865226191,32,LP,0.005230200011283159
warmup,2025-01-16,,5520.45343515873,5514.654697962963,82287.42584864786,11135.663170557316,126807.76418333329,50231.280950646134,64119.220691391434,114350.5016420375,0.0,0.0,22916.612803586122,18567.67523438095,32,LP,0.007432600017637014
warmup,2025-01-17,,5514.654697962963,10800.0,81995.00433312754,0.0,80876.07620000001,50033.185453327394,0.0,50033.185453327394,4738.60419673721,26573.66315737801,17035.856529012344,9042.233016666667,0,LP,0.005406300013419241
warmup,2025-01-18,,10800.0,10702.72671957672,75670.35800437977,0.0,81208.05750000002,47244.88471334469,0.0,47244.88471334469,4865.237533333333,25604.90140984714,10764.505246913583,8806.795202380954,0,LP,0.008994000003440306
warmup,2025-01-19,,10702.72671957672,5476.423843227514,75508.53759562019,11658.435104285709,126210.8462166667,47065.69132205289,70378.0034907488,117443.6948128017,0.0,0.0,16776.346431334507,18292.513198095232,32,LP,0.006179099989822134
warmup,2025-01-20,,5476.423843227514,5563.01035383598,80986.98004065256,11385.398470554375,126565.66615000006,49313.68035059341,66999.37097811159,116313.05132870501,0.0,10.606190476190704,22193.51532201646,17898.819551285713,33,LP,0.006046700000297278
warmup,2025-01-21,,5563.01035383598,5567.343605820105,80876.93747081126,7838.862728023808,125750.14588333335,49283.31396049071,45896.55638607017,95179.87034656089,0.0,785.039326190476,23426.085592239862,18971.22940292857,28,LP,0.0058760000101756305
warmup,2025-01-22,,5567.343605820105,5401.83099415344,79975.77658818339,12772.312935547623,126679.58854999994,48694.61774000666,76841.60979081097,125536.22753081763,0.0,0.0,21043.613197707233,17194.28804064285,33,LP,0.007636499998625368
warmup,2025-01-23,,5401.83099415344,5603.356830238095,79989.90221713696,13610.06927866667,126355.43115000005,48626.632067195846,82025.35340930616,130651.985476502,0.0,0.0,20277.224438565547,16243.178542761905,35,LP,0.007253299991134554
warmup,2025-01-24,,5603.356830238095,10800.0,79850.42064606113,0.0,80339.5357,48537.2794079367,0.0,48537.2794079367,6744.230633333333,25443.773164432685,16610.657081628462,8777.653383333332,0,LP,0.0078096000070218
