plan_kwh,load_kwh,pv_kwh,e_start,e_end,charge_kwh,discharge_kwh,pv_load_kwh,grid_load_kwh,pv_charge_kwh,grid_charge_kwh,pv_spill_kwh,paid_grid_spill_kwh,emergency_kwh,slot,price,plan_cost,emergency_cost,total_cost,strategy,date
608.3663014285714,422.0303666666667,0.0,10800.0,10800.0,0.0,0.0,0.0,422.0303666666667,0.0,0.0,0.0,186.33593476190475,0.0,0,0.4248,258.43400484685714,0.0,258.43400484685714,operational,2025-02-01
613.8626776190476,415.4073166666667,0.0,10800.0,10800.0,0.0,0.0,0.0,415.4073166666667,0.0,0.0,0.0,198.45536095238094,0.0,1,0.4245,260.5847066492857,0.0,260.5847066492857,operational,2025-02-01
624.2837847619048,410.7166666666667,0.0,10800.0,10800.0,0.0,0.0,0.0,410.7166666666667,0.0,0.0,0.0,213.56711809523813,0.0,2,0.4269,266.50674771485717,0.0,266.50674771485717,operational,2025-02-01
622.210318095238,430.29479999999995,0.0,10800.0,10800.0,0.0,0.0,0.0,430.29479999999995,0.0,0.0,0.0,191.91551809523804,0.0,3,0.4272,265.8082478902857,0.0,265.8082478902857,operational,2025-02-01
627.4320990476191,424.4105833333333,0.0,10800.0,10800.0,0.0,0.0,0.0,424.4105833333333,0.0,0.0,0.0,203.02151571428578,0.0,4,0.4271,267.9762495032381,0.0,267.9762495032381,operational,2025-02-01
642.6085466666666,406.0516666666666,0.0,10800.0,10800.0,0.0,0.0,0.0,406.0516666666666,0.0,0.0,0.0,236.55687999999998,0.0,5,0.4285,275.35776224666665,0.0,275.35776224666665,operational,2025-02-01
649.8328947619046,436.7501833333333,0.0,10800.0,10800.0,0.0,0.0,0.0,436.7501833333333,0.0,0.0,0.0,213.08271142857132,0.0,6,0.4311,280.1429609318571,0.0,280.1429609318571,operational,2025-02-01
649.39644,451.7976833333333,0.0,10800.0,10800.0,0.0,0.0,0.0,451.7976833333333,0.0,0.0,0.0,197.5987566666667,0.0,7,0.4302,279.370348488,0.0,279.370348488,operational,2025-02-01
650.0790852380951,446.08,0.0,10800.0,10800.0,0.0,0.0,0.0,446.08,0.0,0.0,0.0,203.99908523809512,0.0,8,0.4279,278.1688405733809,0.0,278.1688405733809,operational,2025-02-01
656.201478095238,471.7663333333333,0.0,10800.0,10800.0,0.0,0.0,0.0,471.7663333333333,0.0,0.0,0.0,184.43514476190472,0.0,9,0.4312,282.95407735466665,0.0,282.95407735466665,operational,2025-02-01
657.1610090476189,448.02596666666665,0.0,10800.0,10800.0,0.0,0.0,0.0,448.02596666666665,0.0,0.0,0.0,209.13504238095226,0.0,10,0.4333,284.74786522033327,0.0,284.74786522033327,operational,2025-02-01
653.1993233333332,397.4033333333333,0.0,10800.0,10800.0,0.0,0.0,0.0,397.4033333333333,0.0,0.0,0.0,255.79598999999985,0.0,11,0.4311,281.5942282889999,0.0,281.5942282889999,operational,2025-02-01
658.0343738095239,434.0906333333333,0.0,10800.0,10800.0,0.0,0.0,0.0,434.0906333333333,0.0,0.0,0.0,223.9437404761906,0.0,12,0.4293,282.49415667642864,0.0,282.49415667642864,operational,2025-02-01
668.7784238095238,490.5609166666666,0.0,10800.0,10800.0,0.0,0.0,0.0,490.5609166666666,0.0,0.0,0.0,178.2175071428572,0.0,13,0.4324,289.1797904552381,0.0,289.1797904552381,operational,2025-02-01
677.3921904761905,503.22,0.0,10800.0,10800.0,0.0,0.0,0.0,503.22,0.0,0.0,0.0,174.1721904761905,0.0,14,0.4367,295.8171695809524,0.0,295.8171695809524,operational,2025-02-01
674.836611904762,474.07281666666665,0.0,10800.0,10800.0,0.0,0.0,0.0,474.07281666666665,0.0,0.0,0.0,200.76379523809533,0.0,15,0.4348,293.4189588561905,0.0,293.4189588561905,operational,2025-02-01
682.1940547619048,461.38439999999997,0.0,10800.0,10800.0,0.0,0.0,0.0,461.38439999999997,0.0,0.0,0.0,220.80965476190482,0.0,16,0.4335,295.73112273928575,0.0,295.73112273928575,operational,2025-02-01
694.3700476190476,476.94166666666666,0.0,10800.0,10800.0,0.0,0.0,0.0,476.94166666666666,0.0,0.0,0.0,217.4283809523809,0.0,17,0.4357,302.537029747619,0.0,302.537029747619,operational,2025-02-01
686.441579047619,483.39955,0.0,10800.0,10800.0,0.0,0.0,0.0,483.39955,0.0,0.0,0.0,203.04202904761905,0.0,18,0.4374,300.2495466754286,0.0,300.2495466754286,operational,2025-02-01
687.3629147619048,486.6019166666666,0.0,10800.0,10800.0,0.0,0.0,0.0,486.6019166666666,0.0,0.0,0.0,200.76099809523816,0.0,19,0.4371,300.4463300424286,0.0,300.4463300424286,operational,2025-02-01
696.0619457142857,498.84833333333336,0.0,10800.0,10800.0,0.0,0.0,0.0,498.84833333333336,0.0,0.0,0.0,197.21361238095233,0.0,20,0.4356,303.2045835531428,0.0,303.2045835531428,operational,2025-02-01
684.1458123809524,518.3097333333333,0.0,10800.0,10800.0,0.0,0.0,0.0,518.3097333333333,0.0,0.0,0.0,165.83607904761914,0.0,21,0.4353,297.8086721294286,0.0,297.8086721294286,operational,2025-02-01
687.330086190476,509.13346666666666,0.0,10800.0,10800.0,0.0,0.0,0.0,509.13346666666666,0.0,0.0,0.0,178.19661952380932,0.0,22,0.436,299.6759175790475,0.0,299.6759175790475,operational,2025-02-01
709.0593266666666,483.6166666666666,0.0,10800.0,10800.0,0.0,0.0,0.0,483.6166666666666,0.0,0.0,0.0,225.44266,0.0,23,0.4378,310.4261732146667,0.0,310.4261732146667,operational,2025-02-01
713.7590428571427,491.1868,0.0,10800.0,10800.0,0.0,0.0,0.0,491.1868,0.0,0.0,0.0,222.57224285714273,0.0,24,0.4401,314.1253547614285,0.0,314.1253547614285,operational,2025-02-01
714.8378547619047,504.64528333333334,0.0,10800.0,10800.0,0.0,0.0,0.0,504.64528333333334,0.0,0.0,0.0,210.1925714285714,0.0,25,0.4389,313.742334455,0.0,313.742334455,operational,2025-02-01
719.0796404761904,505.57833333333326,0.0,10800.0,10800.0,0.0,0.0,0.0,505.57833333333326,0.0,0.0,0.0,213.50130714285717,0.0,26,0.4364,313.8063551038095,0.0,313.8063551038095,operational,2025-02-01
720.3450785714284,503.23096666666663,0.0,10800.0,10800.0,0.0,0.0,0.0,503.23096666666663,0.0,0.0,0.0,217.11411190476178,0.0,27,0.4393,316.4475930164285,0.0,316.4475930164285,operational,2025-02-01
710.6981214285713,502.84698333333336,0.00023333333333333333,10800.0,10800.0,0.0,0.0,0.00023333333333333333,502.84675000000004,0.0,0.0,0.0,207.85137142857127,0.0,28,0.4422,314.2707092957142,0.0,314.2707092957142,operational,2025-02-01
702.0663071428571,499.64166666666665,0.0,10800.0,10800.0,0.0,0.0,0.0,499.64166666666665,0.0,0.0,0.0,202.42464047619046,0.0,29,0.4395,308.55814198928573,0.0,308.55814198928573,operational,2025-02-01
734.641738095238,488.78358333333335,0.0,10800.0,10800.0,0.0,0.0,0.0,488.78358333333335,0.0,0.0,0.0,245.85815476190464,0.0,30,0.4333,318.32026511666663,0.0,318.32026511666663,operational,2025-02-01
754.6433,498.51875,0.0033166666666666665,10800.0,10800.0,0.0,0.0,0.0033166666666666665,498.51543333333336,0.0,0.0,0.0,256.1278666666666,0.0,31,0.4439,334.98616087,0.0,334.98616087,operational,2025-02-01
755.0149714285712,529.2233333333334,0.0,10800.0,10800.0,0.0,0.0,0.0,529.2233333333334,0.0,0.0,0.0,225.7916380952379,0.0,32,0.4301,324.7319392114285,0.0,324.7319392114285,operational,2025-02-01
736.363019047619,547.4103166666666,0.0,10800.0,10800.0,0.0,0.0,0.0,547.4103166666666,0.0,0.0,0.0,188.95270238095236,0.0,33,0.3713,273.41158897238097,0.0,273.41158897238097,operational,2025-02-01
785.7112738095238,531.2274,0.04623333333333333,10800.0,10800.0,0.0,0.0,0.04623333333333333,531.1811666666666,0.0,0.0,0.0,254.53010714285722,0.0,34,0.5708,448.4839950904762,0.0,448.4839950904762,operational,2025-02-01
876.4106857142856,510.98333333333335,0.0,10800.0,10800.0,0.0,0.0,0.0,510.98333333333335,0.0,0.0,0.0,365.42735238095224,0.0,35,0.9099,797.4460829314285,0.0,797.4460829314285,operational,2025-02-01
249.40711126984127,535.1871833333332,0.0,10800.0,10482.46658659612,0.0,285.78007206349196,0.0,249.40711126984127,0.0,0.0,0.0,0.0,0.0,36,0.9368,233.64458183758728,0.0,233.64458183758728,operational,2025-02-01
915.0026755555557,533.9993499999999,0.6440166666666667,10482.46658659612,10800.0,352.81490378208923,0.0,0.6440166666666667,533.3553333333333,0.0,352.81490378208923,0.0,28.83243844013316,0.0,37,0.8758,801.3593432515557,0.0,801.3593432515557,operational,2025-02-01
919.6975707936508,504.52,0.0,10800.0,10800.0,0.0,0.0,0.0,504.52,0.0,0.0,0.0,415.17757079365083,0.0,38,0.8759,805.5631022581588,0.0,805.5631022581588,operational,2025-02-01
917.7446493650795,519.5536833333333,0.0,10800.0,10800.0,0.0,0.0,0.0,519.5536833333333,0.0,0.0,0.0,398.19096603174614,0.0,39,0.8601,789.3521729189048,0.0,789.3521729189048,operational,2025-02-01
918.8531898412699,566.415,14.934916666666666,10800.0,10800.0,0.0,0.0,14.934916666666666,551.4800833333333,0.0,0.0,0.0,367.37310650793665,0.0,40,0.8442,775.695862864,0.0,775.695862864,operational,2025-02-01
902.114177936508,608.7916666666666,56.75,10800.0,10800.0,0.0,0.0,56.75,552.0416666666666,0.0,0.0,0.0,350.07251126984136,0.0,41,0.8334,751.8219558922858,0.0,751.8219558922858,operational,2025-02-01
855.5037747619048,617.2140499999999,102.656,10800.0,10800.0,0.0,0.0,102.656,514.5580499999999,0.0,0.0,0.0,340.9457247619049,0.0,42,0.8092,692.2736545373334,0.0,692.2736545373334,operational,2025-02-01
814.144253333333,595.3964666666666,147.48791666666665,10800.0,10800.0,0.0,0.0,147.48791666666665,447.90854999999993,0.0,0.0,0.0,366.2357033333331,0.0,43,0.7972,649.0357987573332,0.0,649.0357987573332,operational,2025-02-01
766.2376390476189,579.5366666666666,190.11249999999998,10800.0,10800.0,0.0,0.0,190.11249999999998,389.4241666666667,0.0,0.0,0.0,376.81347238095225,0.0,44,0.7644,585.7120512879999,0.0,585.7120512879999,operational,2025-02-01
1525.9851319047616,609.0003666666667,231.34661666666665,10800.0,10800.0,0.0,0.0,231.34661666666665,377.65375,0.0,0.0,0.0,1148.3313819047617,0.0,45,0.6899,1052.7771425010949,0.0,1052.7771425010949,operational,2025-02-01
