strategy,month,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,days,e_start,e_end,emergency_slots,milp_days,inventory_adjusted_min,inventory_adjusted_mean,inventory_adjusted_max
baseline,2,1865317.480855391,193758.6871150923,3035354.4650166663,1111077.914465592,1161262.2938747173,2272340.20834031,86709.89586784242,162357.2573428571,505943.9089111404,409814.56621802377,28,10800.0,10800.0,650,0,2272340.20834031,2272340.20834031,2272340.20834031
baseline,3,1665476.6798076967,231688.23783778446,3240640.0525833336,977091.7490926222,1435538.1522611044,2412629.901353727,155025.17385611404,126877.71055349792,492698.61878377426,403754.2520145715,31,10800.0,5612.921333650794,675,2,2414363.267431661,2416206.7940927716,2419143.2122934884
baseline,4,1337097.3897474653,222483.8895755714,3162943.2953166664,786290.5920301547,1324918.428984964,2111209.021015119,197237.52091898883,61704.0822478836,437726.5867206644,354816.5095645001,30,5612.921333650794,5326.283199470901,699,25,2111304.8068804177,2111406.680223091,2111568.946787446
baseline,5,1354216.3179408205,214147.12267109522,3274848.2480000006,816156.701334827,1268271.5710209836,2084428.272355811,230556.32256883886,66275.67493068783,422777.8349722223,338056.8568265,31,5326.283199470901,10207.604867248678,659,31,2082797.0810940897,2081062.222763449,2078298.8943640157
baseline,6,1740694.6265833664,310631.59116023814,3456268.2931999993,1052760.0122784877,1891372.6255047857,2944132.637783274,115016.74495123456,115102.69216907701,398683.0324351265,327469.4179951666,30,10207.604867248678,5167.425175343917,901,1,2945816.914630918,2947608.2322947686,2950461.490618805
baseline,7,1971268.5092879767,284586.0108578809,3970920.440116667,1225119.6577783881,1798153.614414785,3023273.2721931725,135966.4260920635,92174.6304410088,433803.69320288056,350909.489106762,31,5167.425175343917,5691.316717089949,775,0,3023098.2033566674,3022912.008373544,3022615.4320620326
baseline,8,1781373.5768579158,215118.90909523692,3753611.725449999,1133817.318979419,1286786.3377744397,2420603.6567538595,236945.221556781,91151.82875978839,443577.6697951792,359295.09842526185,31,5691.316717089949,5694.443504682541,690,26,2420602.6118752495,2420601.5005914886,2420599.730509215
baseline,9,1510054.3974790452,218742.48242388087,3265855.5116333338,935981.3313512399,1304404.8686182655,2240386.1999695054,180941.21964791004,71739.22950223397,462754.06841790123,375021.50491511903,30,5694.443504682541,5482.544063994711,622,28,2240457.0104056,2240532.3210560665,2240652.277859188
baseline,10,1591384.6099788654,253473.0422948856,3234182.50155,948865.7312763425,1526068.2937680345,2474934.025044377,168837.71219450323,99262.59218412697,509673.9290493826,408050.1721875952,31,5482.544063994711,10800.0,679,17,2473157.090794242,2471267.227073666,2468257.001974654
baseline,11,1845535.5138717806,279333.17981489917,3123123.369616667,1105802.7741128933,1698143.4406799711,2803946.214792864,94018.29070029393,154871.55329106405,489086.65276610805,401080.2110541191,30,10800.0,5333.308540476191,729,0,2805773.019077893,2807715.9222227936,2810810.629924759
baseline,12,2397766.6491930312,303503.7349121138,3490331.5867666667,1465563.8548701901,1801064.433154689,3266628.288024879,32885.87837204586,193103.03557927685,585758.6554389183,474514.12151842855,31,5333.308540476191,5278.185637248676,801,0,3266646.7084454508,3266666.2995386794,3266697.5047520036
q0.6,2,2156491.273702702,23108.448775561887,3035354.4650166663,1339075.835636379,137300.22613337066,1476376.06176975,102018.00471353323,262078.29813585698,534861.8292747756,433238.08171256824,28,10800.0,10800.0,211,0,1476376.06176975,1476376.06176975,1476376.06176975
q0.6,3,1968713.1450721042,49456.30089397297,3240640.0525833336,1195333.540397632,303722.2484692028,1499055.7888668352,172308.22828669604,220295.8828296531,544638.6818770135,445391.01349395246,31,10800.0,6095.909807142858,249,0,1500627.7546865824,1502299.6236218002,1504962.620840202
q0.6,4,1618152.2413684444,47902.157802730166,3162943.2953166664,973178.6145254119,311603.6562034846,1284782.2707288964,215209.45547269838,139162.38155844205,495494.08644554386,401541.12330550957,30,6095.909807142858,5883.783935343915,205,0,1284853.1568314754,1284928.547957257,1285048.632943597
q0.6,5,1638995.1992414086,44547.811840485716,3274848.2480000006,1007587.5637722141,291847.0380057416,1299434.6017779554,258275.21690624335,144048.22882960388,474280.9256328278,379871.8252534477,31,5883.783935343915,10656.811167724867,164,0,1297839.5992677107,1296143.2295916183,1293441.2069427993
q0.6,6,2141994.5363574727,76446.39096719984,3456268.2931999993,1323503.304006578,474515.5429348837,1798018.8469414618,121996.24635879908,252541.09794068782,517824.45516433276,423914.03832248104,30,10656.811167724867,5683.22267953439,333,0,1799680.8710065605,1801448.521657177,1804264.0825343127
q0.6,7,2331793.750870266,60547.65365526071,3970920.440116667,1469162.4799135693,389317.0349570429,1858479.514870612,145160.88760215903,199023.56702027633,541711.130443639,438373.4400572143,31,5683.22267953439,6141.640015238096,297,0,1858326.3255495399,1858163.4005903008,1857903.8893905156
q0.6,8,2076295.4876605985,51155.04187954672,3753611.725449999,1334617.6918797188,336393.4456971894,1671011.1375769086,259385.63919194002,190271.50265560587,492788.8012002232,399108.27777429053,31,6141.640015238096,6197.919124005292,254,0,1670992.3307871318,1670972.3287697826,1670940.4690256119
q0.6,9,1784764.340025685,58940.082937658,3265855.5116333338,1120991.6223657026,368015.115233669,1489006.7375993722,198761.28737552615,158554.64964433873,517100.37998389767,419095.76129041903,30,6197.919124005292,5926.304120158729,270,0,1489097.5031852075,1489194.0371946872,1489347.7991274022
q0.6,10,1949408.653834339,43796.956715711654,3234182.50155,1200349.4637735337,272424.7499100619,1472774.2136835956,202581.7477106525,205902.0276243739,553694.3046833334,444106.0605016427,31,5926.304120158729,10800.0,239,0,1471145.5707314292,1469413.4226630144,1466654.4112411966
q0.6,11,2259721.516704068,24493.546954745518,3123123.369616667,1415809.2612354753,151004.07485844402,1566813.3360939191,119915.43407623164,273244.9965184059,565768.2334487949,462686.00836795237,30,10800.0,5895.84525063492,164,0,1568452.1574865144,1570195.1308655995,1572971.385129602
q0.6,12,2820818.0049495855,33588.361213404736,3490331.5867666667,1801024.35134137,186016.47394391103,1987040.8252852804,36126.1743718107,330635.9459648443,651126.3582814874,527519.0486884858,31,5895.84525063492,5777.2913834338615,226,0,1987080.442431083,1987122.5773646403,1987189.6910052474
q0.7,2,2211084.59016316,7965.240639804753,3035354.4650166663,1377328.828620687,45517.556251828064,1422846.3848725155,106096.1748489359,297806.4871627346,532986.8248664619,431719.3281418341,28,10800.0,10800.0,129,0,1422846.3848725155,1422846.3848725155,1422846.3848725155
q0.7,3,2033941.498482137,25947.26948344923,3240640.0525833336,1237865.0255498372,161603.0491124678,1399468.0746623047,182246.32700945035,250807.0359195767,550969.4492479307,450451.7106780381,31,10800.0,6170.6035697619045,145,0,1401015.0800673973,1402660.4022791772,1405281.115171826
q0.7,4,1685180.989328469,25098.74534268416,3162943.2953166664,1010815.8641645915,164619.32797477467,1175435.1921393664,228011.41152087002,169176.2661425595,502902.5951211782,407540.1371134542,30,6170.6035697619045,5960.56460831746,113,0,1175505.3808591124,1175580.0302813018,1175698.933862473
q0.7,5,1720496.10360355,17787.846192442958,3274848.2480000006,1053020.703850739,119353.14325339177,1172373.8471041308,273595.9611850705,181134.9451890434,486874.54008813645,390131.9616329238,31,5960.56460831746,10667.693317724868,76,0,1170800.8659033081,1169127.9170565193,1166463.1997263022
q0.7,6,2233134.3621014305,52029.96199912815,3456268.2931999993,1388350.0806851664,324596.06157066335,1712946.1422558306,128443.32214826552,312952.01658294786,514611.4918852675,420835.6726992547,30,10667.693317724868,6222.8441264047615,207,0,1714431.477510094,1716011.2102490582,1718527.4504883874
q0.7,7,2422003.5002361634,29142.237291883248,3970920.440116667,1527019.361638769,182823.67068424347,1709843.032323013,150110.9376310619,250344.68456756417,556890.2782855369,451019.42247278255,31,6222.8441264047615,6291.402946962963,191,0,1709820.122021947,1709795.7557029296,1709756.9443832145
q0.7,8,2163382.2471777834,21501.89897329196,3753611.725449999,1385129.7073823647,143101.49461818926,1528231.2020005537,272246.23301312176,232427.40431710434,505346.5589780394,409248.9144238571,31,6291.402946962963,6382.290000690477,152,0,1528200.8302738096,1528168.5283332618,1528117.076944929
q0.7,9,1866859.5527468373,26617.24779198468,3265855.5116333338,1172677.0316464806,168929.95585484075,1341606.987501321,211967.39040707817,193373.55190860954,526407.0876435273,426655.0966703928,30,6382.290000690477,6087.4503572063495,157,0,1341705.514064984,1341810.3022855755,1341977.211744851
q0.7,10,2018021.8296689743,19398.125077658537,3234182.50155,1245901.0537064576,118487.69013259801,1364388.7438390558,213939.40322423278,237260.13962462667,562344.8746627659,451258.0537983261,31,6087.4503572063495,10800.0,135,0,1362813.9511249233,1361139.0756377522,1358471.2895035925
q0.7,11,2314452.8797609713,8026.466796798968,3123123.369616667,1455538.6866353294,48796.3853248276,1504335.0719601568,123099.46332577897,308735.2178591322,563274.4706088726,460602.21321934625,30,10800.0,5966.78663760053,83,0,1505950.1868694697,1507667.9471475668,1510404.0413150545
q0.7,12,2881346.1102327714,21776.21731546189,3490331.5867666667,1846545.4785936985,117177.96995890974,1963723.4485526087,37191.26308993532,380085.4740709583,641676.5200856876,519867.865931681,31,5966.78663760053,5844.692568407408,137,0,1963764.248727711,1963807.6418756077,1963876.759633413
q0.8,2,2262293.0922536706,1095.25668420476,3035354.4650166663,1414734.0865947572,5236.224384364848,1419970.3109791223,107611.34514223396,342550.2065623018,522879.60614038596,423532.48097371275,28,10800.0,10800.0,44,0,1419970.3109791223,1419970.3109791223,1419970.3109791223
q0.8,3,2108087.0794935985,10148.987417438077,3240640.0525833336,1287710.9863425547,64205.18172481919,1351916.168067374,197577.33860986476,294363.98249312164,547718.8982138976,447741.8188725141,31,10800.0,6256.098534158728,50,0,1353434.6036202142,1355049.5402804352,1357621.8542600016
q0.8,4,1761542.3229412641,11949.001729707237,3162943.2953166664,1054134.3105631496,77650.76598161647,1131785.076544766,248650.53594552024,211711.41616932975,503088.64368725446,407688.8701311334,30,6256.098534158728,6048.244373650792,46,0,1131854.535169583,1131928.4080971337,1132046.0748570326
q0.8,5,1805355.9748742739,5115.592067081534,3274848.2480000006,1103829.7535137131,34004.74342411281,1137834.496937826,291455.52724019985,236127.45501767105,483725.99100630893,387647.8712894911,31,6048.244373650792,10681.77929100529,34,0,1136286.1085744938,1134639.315513354,1132016.2598128023
q0.8,6,2332488.725628603,33532.94790173981,3456268.2931999993,1460912.4113877765,209186.4160857943,1670098.8274735706,134033.17542470485,389736.7527009995,505122.9439513052,412864.36473,30,10681.77929100529,6554.245813846562,148,0,1671478.1253356328,1672945.081689916,1675281.6887101692
