strategy,period,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,days,e_start,e_end,emergency_slots,milp_days,inventory_adjusted_min,inventory_adjusted_mean,inventory_adjusted_max
baseline,selection,4867891.550410556,647930.8145284482,9438937.812916664,2874460.255588369,3921718.8751207865,6796179.130709157,438972.5906429452,350939.05014423863,1436369.1144155783,1168385.3277970948,89,10800.0,5326.283199470901,2024,27,6798008.28265239,6799953.6826561745,6803052.367421246
baseline,validation,6847553.03067008,1024483.6337844507,14455648.706766665,4227853.690371122,6244584.148714993,10472437.83908612,718484.715168918,364704.82630056207,1698842.2304054091,1375730.8623536907,123,5326.283199470901,5694.443504682541,3025,58,10472314.810956927,10472183.964023251,10471975.54755407
baseline,holdout,7344741.170522725,1055052.4394457794,13113492.969566662,4456213.691610666,6329681.03622096,10785894.72783162,476683.10091475304,518976.4105567019,2047273.3056723108,1658666.0096752616,122,5694.443504682541,5278.185637248676,2831,45,10786033.828723181,10786181.7698912,10786417.4145106
q0.6,selection,5743356.660143251,120466.90747226501,9438937.812916664,3507587.9905594224,752626.1308060582,4260214.121365479,489535.6884729277,621536.5625239523,1574994.5975973324,1280170.21851203,89,10800.0,5883.783935343915,665,0,4261856.973287805,4263604.2333488045,4266387.315553547
q0.6,validation,8189078.974129742,232696.89834249296,14455648.706766665,5134871.039572079,1492073.061594858,6626944.101166938,784817.9900591415,785884.3964461739,2026605.3124410233,1641267.5814074327,123,5883.783935343915,6197.919124005292,1048,0,6626839.126610943,6626727.48060888,6626549.64789324
q0.6,holdout,8814712.515513673,160818.94782151992,13113492.969566662,5538174.698716079,977460.4139460862,6515635.112662165,557384.643534221,968337.6197519632,2287689.2763975128,1853406.8788485,122,6197.919124005292,5777.2913834338615,899,0,6515775.673834233,6515925.16808794,6516163.286503446
q0.7,selection,5930207.077973765,59011.25546593813,9438937.812916664,3626009.718335115,371739.9333390706,3997749.6516741873,516353.9133792563,717789.7892248712,1586858.8692355703,1289711.1759333261,89,10800.0,5960.56460831746,387,0,3999366.8457990256,4001086.8174329954,4003826.433906815
q0.7,validation,8539016.21311893,120461.94445674628,14455648.706766665,5353519.853557042,769874.3701264882,6123394.223683526,824396.4539775193,976859.0506566598,2063722.8692369796,1671235.9712288177,123,5960.56460831746,6382.290000690477,626,0,6123253.295709156,6123103.411341767,6122864.671542831
q0.7,holdout,9080680.372409558,75818.05698190405,13113492.969566662,5720662.250581965,453392.00127117615,6174054.251853139,586197.5200470253,1119454.3834633268,2293702.9530008547,1858383.229619746,122,6382.290000690477,5844.692568407408,512,0,6174233.900787085,6174424.966946499,6174729.302196909
q0.8,selection,6131922.494688535,23193.245831350072,9438937.812916664,3756579.383500459,147092.17209080054,3903671.5555912596,553839.2196976191,848625.6052247534,1573687.1480415377,1278963.16997736,89,10800.0,6048.244373650792,140,0,3905259.4497689167,3906948.2593566882,3909638.2400961537
q0.8,validation,8916734.024356104,60872.59620565747,14455648.706766665,5600238.175229833,383950.60259744496,5984188.777827281,879805.0548915945,1244680.5980429763,2036199.2299575484,1648814.017263691,123,6048.244373650792,6611.976598010581,383,0,5984000.395429866,5983800.040769337,5983480.910547797
q0.8,holdout,9361039.31546033,29110.839431385637,13113492.969566662,5917658.106342403,166254.4058196664,6083912.512162068,625003.3677509404,1321388.7862191105,2256996.2834198647,1828765.0849982006,122,6611.976598010581,5947.426122333334,219,0,6084134.584994525,6084370.771217709,6084746.9749033665
q0.85,selection,6242035.910705566,13872.590758070906,9438937.812916664,3829029.2591382186,87943.7395869785,3916972.9987251977,574974.3481225881,931689.332057774,1555118.2211302938,1263800.3373803527,89,10800.0,6183.801927984131,84,0,3918515.5936349235,3920156.2250512033,3922769.4663202665
q0.85,validation,9140859.988679964,41033.35449344211,14455648.706766665,5754213.276926965,260440.5142205222,6014653.791147486,910374.56789825,1425100.193600113,2000767.8203876426,1620084.9936459288,123,6183.801927984131,6780.402892497357,283,0,6014454.425003175,6014242.38854588,6013904.651248367
q0.85,holdout,9521711.42319618,16876.662295934027,13113492.969566662,6031273.386028905,93131.19056677072,6124404.576595676,650763.9132031758,1450268.1883695738,2224448.932598307,1802419.7511789394,122,6780.402892497357,6095.829809929892,133,0,6124633.3403826775,6124876.642790521,6125264.181323995
q0.9,selection,6383562.647668864,7447.8236076198,9438937.812916664,3923138.3700994076,46648.05797856644,3969786.4280779734,596349.9713365536,1050695.2509338206,1526570.9974503287,1240532.6859775519,89,10800.0,6344.246619126985,50,0,3971275.4071852597,3972859.0153549723,3975381.4284832682
q0.9,validation,9450961.750253474,25031.775611977875,14455648.706766665,5967052.052174056,160118.56051864362,6127170.612692701,943365.8323550747,1694193.3401359997,1958633.6888679129,1585935.0904268671,123,6344.246619126985,6964.466125952383,192,0,6126963.353940105,6126742.923275732,6126391.81546237
q0.9,holdout,9736699.959162889,8715.786565522762,13113492.969566662,6181140.498945664,45333.19915062952,6226473.698096295,681931.5878237775,1634896.1993229014,2177473.512646344,1764412.3565646084,122,6964.466125952383,6232.453546986771,74,0,6226718.3147398075,6226978.477500467,6227392.87165145
q0.95,selection,6592602.805784215,2238.728538366655,9438937.812916664,4065646.4752474437,14110.085887347977,4079756.561134791,624211.8928606686,1234871.9788653906,1482204.4834286238,1204373.7583654358,89,10800.0,6590.970235276456,22,0,4081163.0926112686,4082659.013357375,4085041.7556297593
q0.95,validation,9897236.82397247,15247.091211269028,14455648.706766665,6287552.729213209,98923.22452492343,6386475.953738133,993716.8871645218,2096919.228952971,1870711.9222819537,1514599.8781490403,123,6590.970235276456,7342.946790100533,121,0,6386224.6657328075,6385957.4076253995,6385531.711817772
q0.95,holdout,10015761.549394231,4501.3205340131035,13113492.969566662,6385231.118541246,22419.64500257242,6407650.763543819,711951.5892429635,1893227.0208396697,2107296.9538158523,1707739.496470237,122,7342.946790100533,6421.875812993388,42,0,6407958.557832239,6408285.913365535,6408807.333948353
operational,selection,6131922.494688535,23193.245831350072,9438937.812916664,3756579.383500459,147092.17209080054,3903671.5555912596,553839.2196976191,848625.6052247534,1573687.1480415377,1278963.16997736,89,10800.0,6048.244373650792,140,0,3905259.4497689167,3906948.2593566882,3909638.2400961537
operational,validation,8916734.024356104,60872.59620565747,14455648.706766665,5600238.175229833,383950.60259744496,5984188.777827281,879805.0548915945,1244680.5980429763,2036199.2299575484,1648814.017263691,123,6048.244373650792,6611.976598010581,383,0,5984000.395429866,5983800.040769337,5983480.910547797
operational,holdout,9361039.31546033,29110.839431385637,13113492.969566662,5917658.106342403,166254.4058196664,6083912.512162068,625003.3677509404,1321388.7862191105,2256996.2834198647,1828765.0849982006,122,6611.976598010581,5947.426122333334,219,0,6084134.584994525,6084370.771217709,6084746.9749033665
