日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,00:00-04:00,4167.958296613752,126.82159904761886,00:00,6451.0010871904815
2025-03-20,04:00-08:00,1067.1172985479107,5628.251694285716,24:00,6279.200642063492
2025-03-20,08:00-12:00,6103.322292857142,2777.3772166666663,,
2025-03-20,12:00-16:00,4342.1852167489715,374.7431047619041,,
2025-03-20,16:00-20:00,261.1684366666667,5898.107403809525,,
2025-03-20,20:00-24:00,5703.526642857142,2881.9947113190456,,
2025-06-21,00:00-04:00,0.0,0.0,00:00,10800.0
2025-06-21,04:00-08:00,1477.6202469135792,1196.8723999999997,24:00,10800.0
2025-06-21,08:00-12:00,0.0,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,0.0,3701.5171695238087,,
2025-06-21,20:00-24:00,6558.508780717225,1610.8749428571432,,
2025-09-23,00:00-04:00,4736.125207166371,46.315457619047606,00:00,6005.958599550267
2025-09-23,04:00-08:00,726.4986477013488,6199.113332857142,24:00,6186.501180857142
2025-09-23,08:00-12:00,5563.118735714284,1896.615716666666,,
2025-09-23,12:00-16:00,4580.506826502056,573.229993809523,,
2025-09-23,16:00-20:00,184.1525233333332,5865.702121904762,,
2025-09-23,20:00-24:00,5554.9591404761895,2546.2775294904804,,
2025-12-21,00:00-04:00,55.44589322163445,106.41932095238087,00:00,10800.0
2025-12-21,04:00-08:00,946.524610599645,1538.5101204761902,24:00,6323.471259566138
2025-12-21,08:00-12:00,5827.493985238095,7060.990220476191,,
2025-12-21,12:00-16:00,6665.196766084655,2224.7559547619044,,
2025-12-21,16:00-20:00,17.005923503819872,5772.184427619049,,
2025-12-21,20:00-24:00,5644.517938095237,2842.5257666666666,,
