strategy,period,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,days,e_start,e_end,emergency_slots,milp_days,adjusted_cost
control,development,6131922.494688533,23193.245831350076,3756579.3835004615,147092.17209080054,3903671.555591262,848625.6052247531,553839.219697619,89,10800.0,6048.244373650792,140,0,3906948.2593566906
control,later_1,8916734.024356104,60872.59620565747,5600238.1752298325,383950.6025974451,5984188.777827278,1244680.5980429763,879805.0548915946,123,6048.244373650792,6611.976598010581,383,0,5983800.040769334
control,later_2,9361039.31546033,29110.839431385637,5917658.106342404,166254.40581966637,6083912.512162071,1321388.7862191107,625003.3677509406,122,6611.976598010581,5947.426122333334,219,0,6084370.771217712
mean3,development,6968294.855194304,92933.36314651863,4465154.701171964,573079.8381919289,5038234.539363894,1728030.547338269,624515.4621615635,89,10800.0,9330.626745074074,427,2,5039247.786099592
mean3,later_1,9986476.052249571,138552.7747152698,6480301.366262844,880063.8609713721,7360365.227234216,2353917.2684269683,979622.2005958889,123,9330.626745074074,6126.079928308643,610,3,7362575.010616754
mean3,later_2,10544711.349827057,117050.97342383281,6922024.636726997,707497.0906553094,7629521.727382307,2556093.7445013705,724075.9373497659,122,6126.079928308643,9361.026245160494,559,3,7627290.981188498
mean14,development,6129531.077795225,24329.818746163965,3757562.8674847605,153967.12130820449,3911529.9887929647,850122.6862572101,551711.9279524134,89,10800.0,6037.850835317461,166,0,3914813.8597085737
mean14,later_1,8941576.53176027,81381.26859803166,5628550.930512821,519556.84558309545,6148107.7760959165,1297965.2389102995,877334.4340790162,123,6037.850835317461,6709.824993182543,453,0,6147644.397836071
mean14,later_2,9369142.986780096,38114.30202655678,5928813.821024556,219545.96230438966,6148359.783328945,1339898.1073121843,625867.693685776,122,6709.824993182543,6024.315632907403,275,0,6148832.49515983
weighted,development,6259567.83156996,60378.83004706803,3861729.2869112645,374909.6536467206,4236638.940557985,1007916.1898496345,569295.1795863901,89,10800.0,6726.295926595134,310,0,4239448.075228663
weighted,later_1,9087096.16355236,80908.12197834681,5735048.715931871,509955.21901851584,6245003.934950386,1427980.304974641,896421.6639966887,123,6726.295926595134,6102.988478718902,460,0,6245433.753742024
weighted,later_2,9566926.52507888,67127.08252285859,6086164.756726148,406407.2968545557,6492572.053580703,1549718.036778252,653520.9332212762,122,6102.988478718902,6698.1753790686225,378,0,6492161.626085928
weekday,development,5454972.586531388,13799.593777853876,3258837.328437583,89971.56042703947,3348808.888864623,305613.51320010785,384254.5901998363,89,10800.0,6288.739011972484,65,22,3351919.7529385947
weekday,later_1,8018200.008155502,58003.350289308975,4964211.843224178,358410.2410810073,5322622.084305186,534968.4121961155,648834.3390683775,123,6288.739011972484,6987.584340391537,379,31,5322140.176290728
weekday,later_2,8315639.083151335,24441.11186724415,5152717.863234115,130967.77527200781,5283685.638506123,440096.79212017107,412539.7088128007,122,6987.584340391537,6227.751905889948,164,22,5284209.601856725
residual14,development,6129317.272247387,23773.207762885122,3753097.419670961,148686.62837196322,3901784.048042924,844377.5329288684,555551.8668422077,89,10800.0,6046.512129195769,165,0,3905061.9463251536
residual14,later_1,8943648.519279335,56967.28747724585,5622224.205065864,358713.6319821167,5980937.837047981,1268047.3112018888,879071.1506411345,123,6046.512129195769,6548.333164063493,387,0,5980591.792553309
