strategy,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,days,e_start,e_end,emergency_slots,milp_days,adjusted_cost,selection_score
control,24409695.83450497,113176.68146839317,15274475.665072698,697297.180507912,15971772.84558061,3414694.98948684,2058647.6423401542,334,10800.0,5947.426122333334,742,0,15975119.071343737,3906948.2593566906
mean3,27499482.257270932,348537.11128562124,17867480.704161804,2160640.7898186105,20028121.493980415,6638041.560266608,2328213.600107218,334,10800.0,9361.026245160494,1596,8,20029113.777904842,5039247.786099592
mean14,24440250.596335594,143825.3893707524,15314927.619022137,893069.9291956896,16207997.548217827,3487986.032479694,2054914.0557172056,334,10800.0,6024.315632907403,894,0,16211290.752704477,3914813.8597085737
weighted,24913590.5202012,208414.03454827346,15682942.759569284,1291272.169519792,16974214.929089073,3985614.5316025275,2119237.776804355,334,10800.0,6698.1753790686225,1148,0,16977043.455056615,4239448.075228663
weekday,21788811.677838225,96244.055934407,13375767.034895876,579349.5767800546,13955116.611675931,1280678.7175163943,1445628.6380810144,334,10800.0,6227.751905889948,608,75,13958269.531086048,3351919.7529385947
residual14,24414638.379384313,114524.97912718386,15276432.19047156,705918.4437521575,15982350.634223718,3420553.6739584557,2056905.4499170694,334,10800.0,5922.8433035343905,813,0,15985713.811745575,3905061.9463251536
residual56,24375936.901815332,116142.12851617891,15255108.625735091,716708.3688540725,15971816.994589165,3392128.4151152577,2049592.9899457241,334,10800.0,5975.459377169307,753,0,15975143.889250506,3905311.4576877626
q0.75,23969467.41533634,171937.93788346223,14978309.991265044,1067102.7997518557,16045412.791016899,3092591.842138464,1988853.2680697523,334,10800.0,5887.844284179893,1119,0,16048800.103075026,3932069.381952272
q0.775,24184928.222059205,140259.70468034167,15122411.008649064,866977.7681154519,15989388.776764516,3245991.550193185,2023740.4210684076,334,10800.0,5907.012785972885,926,0,15992762.870655097,3913323.5136692454
q0.825,24644959.6916187,90256.82627453208,15435681.766124776,554738.6772295117,15990420.443354286,3598042.426386257,2094963.620405754,334,10800.0,6010.884258369711,615,0,15993722.909814611,3908601.326368087
q0.85,24904607.322581716,71782.60754744704,15614515.92209409,441515.4443742714,16056031.366468363,3807057.7140274597,2136112.8292240137,334,10800.0,6095.829809929892,500,0,16059275.256387606,3920156.225051203
target1200,24095948.353108816,120224.5209055551,15158947.969920652,711280.364607598,15870228.33452825,3114601.656137109,2058389.3958924587,334,10800.0,1269.2127688994724,887,0,15876800.550960105,3880577.8406052357
target3600,24174623.518717024,112958.90548192905,15177057.784045545,696122.7714472301,15873180.555492776,3181711.790723907,2058626.3908430405,334,10800.0,3598.3656256190484,740,0,15878146.640520575,3882194.5797405364
target8400,24680501.433767155,113295.17686692651,15387848.324002884,697964.9729456243,16085813.296948507,3683263.750760411,2058631.1545141577,334,10800.0,8311.905562190477,741,0,16087529.030890696,3935312.638770358
horizon48,24696881.292349484,113276.3255327265,15394821.719265858,697871.5620377855,16092693.281303644,3699450.7763388506,2058583.1215048807,334,10800.0,8461.905562190477,741,0,16094305.578620832,3937045.009990442
planned_reserve,24393876.187127877,184836.5870689215,15267709.062658641,857482.8736847214,16125191.936343364,3470610.3105689213,2075274.9298257132,334,10800.0,6000.0,4456,0,16128501.908343364,3947236.7034071945
combined,21619409.083064187,88309.57478443123,13299833.329647288,505295.8730346297,13805129.202681916,1155679.2889654827,1430853.366915595,334,10800.0,1488.7973752814803,671,77,13811549.998509863,3322942.837507891
combined48,21770871.223874856,80960.33072074261,13342464.243880166,490285.2908647098,13832749.534744876,1248335.6580926245,1435302.889349683,334,10800.0,8617.664146399999,504,77,13834254.42444696,3323967.610134554
