日期,时间段,充电量（kWh）,放电量（kWh）,时刻,储电量（kWh）
2025-03-20,00:00-04:00,8263.422626988826,34.89972666666688,00:00,1986.1235553100555
2025-03-20,04:00-08:00,1940.6723173521495,5038.257516666667,24:00,1550.5062194888894
2025-03-20,08:00-12:00,6271.698716380952,2777.3772166666668,,
2025-03-20,12:00-16:00,3335.6210344362116,401.38449876190543,,
2025-03-20,16:00-20:00,206.06902028571415,5790.179572761904,,
2025-03-20,20:00-24:00,469.7393006666673,2944.607713764762,,
2025-06-21,00:00-04:00,671.2253590476195,62.84935999999993,00:00,2910.1708693925957
2025-06-21,04:00-08:00,1236.9144093439118,1719.9539666666662,24:00,3273.515645382012
2025-06-21,08:00-12:00,9059.328804711346,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,172.24815380952373,5348.009826285712,,
2025-06-21,20:00-24:00,1136.480846761905,2485.896583333333,,
2025-09-23,00:00-04:00,7857.04478952381,0.0,00:00,2889.0253054285704
2025-09-23,04:00-08:00,1050.86433978836,5751.116684952382,24:00,2974.0764144920645
2025-09-23,08:00-12:00,5683.97496,1896.6157166666662,,
2025-09-23,12:00-16:00,4001.1821564432644,503.97417714285666,,
2025-09-23,16:00-20:00,388.72211470311777,5448.0265442857135,,
2025-09-23,20:00-24:00,1254.094723333333,2714.7861766666665,,
2025-12-21,00:00-04:00,8577.953777256906,113.74502600000028,00:00,1872.7814958687843
2025-12-21,04:00-08:00,2282.839797938862,1468.3197945714285,24:00,1866.898438401062
2025-12-21,08:00-12:00,5922.884643238096,7071.647856952381,,
2025-12-21,12:00-16:00,6559.925174045856,2220.1094166666667,,
2025-12-21,16:00-20:00,6.4571500293944455,5630.289808476188,,
2025-12-21,20:00-24:00,537.9544446666671,2850.474988666667,,
