plan_kwh,load_kwh,pv_kwh,e_start,e_end,charge_kwh,discharge_kwh,pv_load_kwh,grid_load_kwh,pv_charge_kwh,grid_charge_kwh,pv_spill_kwh,paid_grid_spill_kwh,emergency_kwh,slot,price,plan_cost,emergency_cost,total_cost,strategy,date,forecast_load_kwh,forecast_pv_kwh,margin_kwh,history_last_date
0.0,588.2882666666667,0.0,6000.0,5346.34637037037,0.0,588.2882666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4248,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,601.5881166666666,0.0,5346.34637037037,4677.9151296296295,0.0,601.5881166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4245,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,621.0933333333332,0.0,4677.9151296296295,3987.811425925926,0.0,621.0933333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4269,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,585.1051833333333,0.0,3987.811425925926,3337.694555555556,0.0,585.1051833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.4272,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,583.7604166666666,0.0,3337.694555555556,2689.0718703703706,0.0,583.7604166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.4271,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,631.1683333333333,0.0,2689.0718703703706,1987.7737222222224,0.0,631.1683333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4285,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,650.0534166666666,0.0,1987.7737222222224,1265.4921481481483,0.0,650.0534166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.4311,0.0,0.0,0.0,warmup,2025-01-01,,,0.0,NONE
0.0,652.8062666666666,0.0,1265.4921481481483,1200.0,0.0,58.942933333333485,0.0,0.0,0.0,0.0,0.0,0.0,593.8633333333331,7,0.4302,0.0,1277.4000299999998,1277.4000299999998,warmup,2025-01-01,,,0.0,NONE
0.0,636.2133333333334,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.2133333333334,8,0.4279,0.0,1361.1784266666666,1361.1784266666666,warmup,2025-01-01,,,0.0,NONE
0.0,588.8356,0.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.8356,9,0.4312,0.0,1269.5295536,1269.5295536,warmup,2025-01-01,,,0.0,NONE
