strategy,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
no_update,2025-02-01,43167.869386385464,0.0,22825.625013460918,0.0,0.0,22825.625013460918,2559.3509202332066,1833.7855467078198,1436.1139618518516,2109.1980012191357,0,0,0
no_update,2025-02-02,88455.57259451303,0.0,55784.87295435345,0.0,0.0,55784.87295435345,5935.210976423178,59.174066666666704,2109.1980012191357,1967.001709074073,0,0,0
no_update,2025-02-03,91121.66535997942,0.0,57527.534026368856,0.0,0.0,57527.534026368856,6801.470395473262,0.0,1967.001709074073,1823.4344054166663,0,0,0
no_update,2025-02-04,93596.06636759259,0.0,59528.26801285972,0.0,0.0,59528.26801285972,7974.809795953361,0.0,1823.4344054166663,1866.9226155555557,0,0,0
no_update,2025-02-05,88516.44124877229,8.400733333333278,55953.9627065649,0.0,48.795659566666345,56002.758366131566,3223.368270233198,0.0,1866.9226155555557,1957.4642221111085,0,0,1
no_update,2025-02-06,94367.9478465432,0.0,60042.57113119005,0.0,0.0,60042.57113119005,9915.83653712619,0.0,1957.4642221111085,1900.1655317777797,0,0,0
no_update,2025-02-07,44025.38602610898,0.0,22934.95071165374,0.0,0.0,22934.95071165374,3794.8461825857325,4977.853749238692,1900.1655317777797,1688.775962259259,0,0,0
no_update,2025-02-08,37905.45705293553,210.80524253333283,19623.690839874627,0.0,1288.6524476062634,20912.34328748089,278.87360999999953,2522.3349215980816,1688.775962259259,1825.2895165185178,0,0,1
no_update,2025-02-09,89384.6011516598,0.0,56465.55637363003,0.0,0.0,56465.55637363003,5685.532643360763,16.686249999999973,1825.2895165185178,1797.1784032962958,0,0,0
no_update,2025-02-10,85357.56179525377,0.0,53472.531058862674,0.0,0.0,53472.531058862674,6869.573704245545,328.1247000000001,1797.1784032962958,1630.0571363333322,0,0,0
no_update,2025-02-11,86376.68857681069,0.0,54393.21643363342,0.0,0.0,54393.21643363342,6756.218932901224,148.03829999999994,1630.0571363333322,1575.340791074072,0,0,0
no_update,2025-02-12,86466.97673396433,0.0,54263.82564048885,0.0,0.0,54263.82564048885,6753.513245761306,286.6938,1575.340791074072,1590.999873092593,0,0,0
no_update,2025-02-13,81353.7723998971,0.0,50372.22006410558,0.0,0.0,50372.22006410558,5553.115622750338,401.75736666666694,1590.999873092593,1686.7436467407376,0,0,0
no_update,2025-02-14,37367.914775185185,261.542273333328,19178.107283654557,0.0,1598.807916886634,20776.915200541192,255.7691200000005,4225.385284979415,1686.7436467407376,1530.4712489999995,0,0,1
no_update,2025-02-15,37956.74696769547,9.41804333333407,19776.989740687655,0.0,44.14347787167013,19821.133218559324,932.7563516666671,4467.396902654317,1530.4712489999995,1378.7345409629631,0,0,3
no_update,2025-02-16,86965.32302322358,0.0,54306.354790698744,0.0,0.0,54306.354790698744,7226.182712153636,30.539166666666688,1378.7345409629631,1483.7191231111124,0,0,0
no_update,2025-02-17,86882.18773066529,45.72264666666854,53850.135609842735,0.0,318.96118314667973,54169.09679298942,11124.192398271598,948.4422833333333,1483.7191231111124,1448.104418481481,0,0,1
no_update,2025-02-18,77714.12624181069,409.89096546111665,48058.727238323954,0.0,2831.3744850567496,50890.10172338071,1742.1990039506204,38.890194032920945,1448.104418481481,1616.2481009999988,0,0,2
no_update,2025-02-19,77833.1098247325,237.09066235000176,48240.23662287877,0.0,1332.938323952878,49573.17494683165,1191.1456107201593,82.86591594649639,1616.2481009999988,1200.0,0,0,9
no_update,2025-02-20,81401.18650666667,96.06421422222141,50029.524779454216,0.0,597.1063864962837,50626.6311659505,5690.923927160488,553.5938999999995,1200.0,1439.183805555556,0,0,4
no_update,2025-02-21,35356.29645753086,177.53907872777853,17993.73021902791,0.0,1026.8768545762434,19020.607073604155,93.36256000000014,6594.681360905343,1439.183805555556,1312.0779310740738,0,0,3
no_update,2025-02-22,35274.59419244856,207.29025333333476,18210.41412531061,0.0,1267.1653186266753,19477.579443937284,560.1608029423859,3596.852410041149,1312.0779310740738,1406.8896990370363,0,0,1
no_update,2025-02-23,79571.41291017941,240.453234388889,48903.99008705201,0.0,1492.1173631921054,50396.10745024411,3741.072152716043,316.8819377709162,1406.8896990370363,1313.994741148147,0,0,6
no_update,2025-02-24,76425.68401401234,167.58858997778145,47385.40308077042,0.0,972.1444935783368,48357.547574348755,3384.939049471878,967.5018999999999,1313.994741148147,1346.4642619999993,0,0,5
no_update,2025-02-25,78873.39348597777,247.14426896666782,48423.875395846335,0.0,1293.8411735623897,49717.71656940872,7498.527321707809,2147.7261666666664,1346.4642619999993,1301.6341335925927,0,0,10
no_update,2025-02-26,72049.72712132373,1681.7579971222276,43838.219769096635,0.0,11390.171072445592,55228.39084154223,729.8554560905334,0.0,1301.6341335925927,1444.5000735185183,0,0,6
no_update,2025-02-27,73241.01398216735,554.2804585722217,44862.69697066994,0.0,3741.094148600219,48603.79111927016,2082.955331358025,392.21343799725275,1444.5000735185183,1495.3125059999998,0,0,5
no_update,2025-02-28,33660.34034520576,84.04750509999626,17281.74769297289,0.0,331.61130536908877,17613.35899834198,290.9787728738006,7059.094893621406,1495.3125059999998,1319.9408664074072,0,0,5
no_update,2025-03-01,37207.570735322355,173.23764003333557,18972.78216321584,0.0,924.1325459234952,19896.914709139335,1277.953588333334,9305.079582668033,1319.9408664074072,1321.3678463703702,0,0,6
no_update,2025-03-02,81776.52536346365,370.16527094444274,50398.52259234101,0.0,2250.9501960417665,52649.47278838278,5427.958108998622,0.0,1321.3678463703702,1297.1418408518523,0,0,7
no_update,2025-03-03,84159.16466304526,944.2366985000027,51896.589382276085,0.0,6164.12416273782,58060.7135450139,8529.84096096022,439.1954999999998,1297.1418408518523,1323.4565980740738,0,0,9
no_update,2025-03-04,74905.72555101507,394.29074447778214,45917.1117352539,0.0,2359.1845158886726,48276.29625114257,1611.8358053635097,450.0949500000004,1323.4565980740738,1200.0,0,0,12
no_update,2025-03-05,78703.5924804179,286.6533487000014,48164.34085354152,0.0,1985.7489521795428,50150.089805721065,8263.037056824416,625.9976666666664,1200.0,1317.257628259259,0,0,3
no_update,2025-03-06,73794.68180393004,184.06576563333454,44910.85957392897,0.0,1116.3170049682753,46027.17657889724,3462.6609536214005,599.4014666666665,1317.257628259259,1200.0,0,0,7
no_update,2025-03-07,34247.70672685185,80.96144366666667,17770.33734550213,0.0,171.5885789889999,17941.92592449113,1218.256452037037,9051.949128765431,1200.0,1313.3177137037037,0,0,5
no_update,2025-03-08,31950.958347777778,138.1537138666642,16302.20433507978,0.0,469.43072766225396,16771.635062742032,133.08956000000035,9878.15737436214,1313.3177137037037,1300.15929,0,0,6
no_update,2025-03-09,76503.38893097805,340.25559129999766,46386.177241461846,0.0,1977.878976743068,48364.05621820492,7742.248202112477,1847.9570666666668,1300.15929,1261.9375523703702,0,0,9
no_update,2025-03-10,73441.9148171886,534.6877820500007,44197.632841722334,0.0,3123.9629714270895,47321.595813149426,1726.8979585528107,0.0,1261.9375523703702,1258.827537,0,0,12
no_update,2025-03-11,64658.95232253772,3771.6425695444464,39334.99483608406,0.0,25210.471456225376,64545.46629230943,911.5619966666626,0.0,1258.827537,1376.8817970000002,0,0,13
no_update,2025-03-12,74247.64210639951,349.09467506666937,45176.93918593204,0.0,1731.641161878684,46908.58034781072,6802.751595137166,1691.5903671261985,1376.8817970000002,1230.5486588888887,0,0,10
no_update,2025-03-13,74381.70432539094,738.6287588777785,45058.22487882698,0.0,4738.95254063845,49797.17741946543,3551.639038058984,209.46093333333317,1230.5486588888887,1202.8431,0,0,9
no_update,2025-03-14,31227.42885569959,358.30360804444393,15756.225296977744,0.0,2151.5933486784347,17907.818645656178,144.01797333333377,12391.539410082307,1202.8431,1254.5556208518515,0,0,2
no_update,2025-03-15,30641.06443376543,835.1676095666659,15394.340832213005,0.0,4121.741509764826,19516.08234197783,63.236413333335804,7582.540908641977,1254.5556208518515,1200.0,0,0,16
no_update,2025-03-16,70690.60031796296,148.6146644555518,42972.82784636676,0.0,382.0521715847891,43354.880017951546,3282.456680006859,180.25728333333336,1200.0,1200.0,0,0,8
no_update,2025-03-17,66355.66370079562,762.8353566333308,39268.710290411174,0.0,5259.791773886114,44528.50206429729,3581.810857256515,1367.482070027436,1200.0,1448.6634888518515,0,0,3
no_update,2025-03-18,74828.76372129629,85.08307126666759,45570.264489148954,0.0,376.4702935250422,45946.73478267399,7818.402026241422,2616.422569218108,1448.6634888518515,1204.5935454444445,0,0,6
no_update,2025-03-19,61643.72044268862,2376.373667988881,37551.86689796203,0.0,16051.546922568341,53603.41382053037,808.9636633333291,0.0,1204.5935454444445,1338.0642809999995,0,0,6
no_update,2025-03-20,69748.3862,376.1795874111126,42247.80168606905,0.0,2034.9882978838323,44282.78998395288,3839.517573834012,0.0,1338.0642809999995,1262.18476762963,0,0,10
no_update,2025-03-21,29571.507502695473,321.6826267611122,14937.541760923672,0.0,1373.1230096776433,16310.664770601315,219.9684711111115,14770.987870699586,1262.18476762963,1239.2650439999998,0,0,8
no_update,2025-03-22,30455.849932325098,0.0,15595.225299971115,0.0,0.0,15595.225299971115,396.5033124074082,11257.555177942384,1239.2650439999998,1341.2162080740695,0,0,0
no_update,2025-03-23,70698.21781578189,319.97446923888447,42838.215766554036,0.0,1843.1791262475072,44681.394892801545,5909.330145850478,2648.6455666666666,1341.2162080740695,1290.7608689999997,0,0,8
no_update,2025-03-24,66584.97004397119,241.17540651111165,39868.26232859165,0.0,1491.6865913533795,41359.948919945025,2459.267208312758,2444.382789506176,1290.7608689999997,1200.0,0,0,3
no_update,2025-03-25,74186.03089333333,313.1003175499979,44797.30835160199,0.0,1463.2675434820203,46260.57589508401,6932.950598744856,2830.0002091563747,1200.0,1213.9211926666667,0,0,9
no_update,2025-03-26,63868.527546762685,207.72932266666368,38525.49845925371,0.0,1106.8945650234627,39632.39302427717,3333.7125831412923,1026.8679705555587,1213.9211926666667,1232.910495851852,0,0,5
no_update,2025-03-27,67523.17610323045,225.47346185555526,40778.32997941274,0.0,957.5635180903034,41735.89349750304,3689.2382211316913,1560.9903995884765,1232.910495851852,1208.808063037037,0,0,9
no_update,2025-03-28,29726.4297298834,92.24067500000127,14886.654015913105,0.0,455.2538514625063,15341.907867375612,263.51702818244297,15847.202314224967,1208.808063037037,1208.5810227037036,0,0,1
no_update,2025-03-29,28367.45870940329,724.4478825333334,14094.968970522923,0.0,4013.342587950852,18108.311558473775,18.29157444444445,18575.78975753086,1208.5810227037036,1251.279047666667,0,0,11
no_update,2025-03-30,66064.97662255143,30.562479999999255,39319.27036303833,0.0,213.2038604799948,39532.47422351833,4027.030347112483,2856.6516136419764,1251.279047666667,1212.5757093333332,0,0,1
no_update,2025-03-31,57126.21912251029,3506.7757515559624,34571.69187287077,0.0,23774.655751368744,58346.34762423951,178.16391716049702,0.0,1212.5757093333332,1365.1875304814819,0,0,6
no_update,2025-04-01,69831.73931238682,551.4936828333365,41200.99288441354,0.0,3770.4583269437553,44971.4512113573,5092.495371906719,1482.7902333333334,1365.1875304814819,1295.4157410740738,0,0,3
no_update,2025-04-02,66349.97479325104,615.1346295000012,39528.23154629074,0.0,4255.045721176976,43783.27726746772,1065.3286946227713,1634.1406499999998,1295.4157410740738,1263.0349562592592,0,0,3
no_update,2025-04-03,67340.56327713304,134.21469386666618,40868.29134863984,0.0,575.1643119803987,41443.45566062024,4776.866594519885,3132.724982345673,1263.0349562592592,1231.923,0,0,3
no_update,2025-04-04,27424.286172455417,163.9909004166657,13575.24343022782,0.0,719.465200659286,14294.708630887106,95.03695444444412,18284.328207873805,1231.923,1251.48411,0,0,3
no_update,2025-04-05,26716.899897379968,899.3636950555542,13233.433118954954,0.0,4132.634722794661,17366.067841749616,59.29803333333325,12924.161666666663,1251.48411,1211.002419,0,0,12
no_update,2025-04-06,63257.89271080246,416.24633519444336,37118.9290150274,0.0,2825.108626609253,39944.037641636656,2434.4142633333267,2719.5476499999995,1211.002419,1278.0917284444447,0,0,4
no_update,2025-04-07,55350.92184617284,1799.8361209388904,32872.75044266183,0.0,11907.521501133298,44780.27194379513,103.14157666666699,0.0,1278.0917284444447,1225.3204186666667,0,0,7
no_update,2025-04-08,64142.442494588475,629.6002048999948,38327.8413789609,0.0,3653.531947373665,41981.373326334564,3509.0702754458234,3052.843733333333,1225.3204186666667,1200.0,0,0,14
no_update,2025-04-09,62635.718354670775,687.669343499999,37205.70450304899,0.0,4244.490415336392,41450.19491838538,120.74376816872496,0.0,1200.0,1207.4085,0,0,7
