mapping,issue_hour,samples,mae_kw,rmse_kw,bias_kw,daylight_mae_kw,energy_bias_kwh
linear,0,48096,197.49097249805948,383.0269248527167,-29.67622281478709,363.90694265098404,-237884.6020833333
linear,6,36072,158.5164766434723,271.37144712169965,-13.411839480760703,230.53263650902448,-80631.97895833335
linear,12,24048,75.2527363855622,139.7280445018992,1.7109362940785047,140.44106199198035,6857.432666666647
linear,18,12024,10.015140843313374,42.923352901561856,9.929809189953426,107.16012206886316,19899.337616666668
linear,all,120240,142.60339335370927,291.3170360024028,-14.558872792332004,264.14468810569184,-291759.81075833336
step,0,48096,371.2207801792249,648.3065024215832,-29.67622281478709,697.2598233109428,-237884.6020833333
step,6,36072,415.35934464681753,646.433000475665,-23.240829937347527,616.8773920495718,-139723.86958333335
step,12,24048,286.18706325681967,525.2976111755173,-267.10483840652023,556.4001867006225,-1070556.1923333332
step,18,12024,19.414796856287428,105.9491704237225,-19.414767282102463,279.1298604066986,-38907.193633333336
step,all,120240,332.2750078027278,591.4332205724686,-74.20518251663341,633.1672388849269,-1487071.8576333337
