strategy,issue_hour,updates,changed,increase_kwh,decrease_kwh,adjustment_cost
state_only,6,334,294,152601.52645585377,5102.2609504062075,55518.21714806421
state_only,12,334,245,107957.47601346619,201233.9914806077,82336.88271433127
state_only,18,334,261,271251.92792728613,3.4219738154206425e-11,178425.56404175702
rolling_point,6,334,333,570410.1289446059,516900.3663543971,351913.2800164337
rolling_point,12,334,332,167730.80700629472,290988.18865727476,148542.8296864241
rolling_point,18,334,296,160918.5251770683,276.4731518213978,104988.76917565228
rolling_margin,6,334,332,377268.1156312352,749277.051243375,369583.2364370827
rolling_margin,12,334,334,90067.6528424416,548776.816154106,198236.18861555567
rolling_margin,18,334,203,22238.221924763242,1272.5351872966849,15315.131705882584
rolling_scenario,6,334,310,390622.92496479145,857330.3776363344,415598.3736301546
rolling_scenario,12,334,308,104921.67911784282,553288.4672763731,210449.58646368465
rolling_scenario,18,334,140,23378.812124053668,4475.643553025048,15581.22906685602
rolling_point_step,6,334,334,577545.2212355263,474128.78465645795,326546.1188765347
rolling_point_step,12,334,334,391398.84916136204,108817.14142433721,162505.23211420645
rolling_point_step,18,334,167,23461.06143032431,2.754500000023029,15308.677326189416
