strategy,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
no_update,2025-03-20,69748.3862,376.1795874111126,42247.80168606905,0.0,2034.9882978838323,44282.78998395288,3839.517573834012,0.0,1338.0642809999995,1262.18476762963,0,0,10
no_update,2025-06-21,30076.230538854594,2204.830326594446,16230.247423659877,0.0,10241.286570560023,26471.5339942199,178.93179444444473,10292.619383333333,1200.0,1233.5919,0,0,25
no_update,2025-09-23,72267.43144806584,6.375,45790.563135770404,0.0,42.996187500000005,45833.559323270405,4916.382120720168,1151.6516902263386,2889.0294006666663,2974.080832481482,0,0,1
no_update,2025-12-21,89975.23781333333,3796.3107546944443,57143.05487664505,0.0,21040.158196268596,78183.21307291364,172.4424316666665,0.0,1226.9074319999995,1221.0530347037034,0,0,13
state_only,2025-03-20,70807.37498305213,378.5982540777795,43004.3402626569,417.9611740469256,2046.9873032171665,45469.288739920994,4865.499098367625,210.6229777777745,1495.7416283333323,1262.18476762963,3,2,10
state_only,2025-06-21,31103.92755324904,1225.7784338666659,17198.06317316525,483.90787475268894,5451.330201103982,23133.30124902192,178.93179444444473,10340.339756234567,1200.0,1233.5919,3,2,19
state_only,2025-09-23,71978.27799592592,6.375,45655.57390430153,67.49461573443787,42.996187500000005,45766.06470753597,4853.800234053502,922.5050383333362,2889.0294006666663,2974.080832481482,3,2,1
state_only,2025-12-21,92586.22210566954,1367.42456082222,59687.84928928534,1272.397206320144,6905.548967781686,67865.79546338717,172.4424316666665,0.0,1226.9074319999995,1221.0530347037034,3,3,8
rolling_point,2025-03-20,66693.05988725885,137.30097406666644,40878.1161988216,3925.830939758359,856.8735986953646,45660.82073727532,834.2771132510298,0.0,1497.976411148149,1262.18476762963,3,3,5
rolling_point,2025-06-21,30761.475730519873,1359.5597983444425,16918.49473962299,622.3386987040589,6060.2259154646745,23601.059353791723,4.836494444444497,10292.619383333333,1200.0,1233.5919,3,3,23
rolling_point,2025-09-23,69973.84471053498,6.375,44369.07061175072,710.7462620098416,42.996187500000005,45122.81306126057,3373.0197834156393,392.73555000000283,2889.0294006666663,2974.080832481482,3,2,1
rolling_point,2025-12-21,92121.33665940864,1971.0326756358013,59120.35872309019,1387.0532769756262,9907.000215549488,70414.4122156153,379.0856699588479,0.0,1226.9074319999995,1221.0530347037034,3,2,10
rolling_margin,2025-03-20,66840.42488471823,0.0,40942.7713175497,3328.2093822529628,0.0,44270.98069980266,891.9783929135801,0.0,1936.8341056296315,1642.474827229629,3,3,0
rolling_margin,2025-06-21,35190.964321697465,0.0,20827.90933624247,182.8537063145221,0.0,21010.76304255699,1206.8477913833337,11767.867371631,2995.918987111112,3594.5043632592606,3,2,0
rolling_margin,2025-09-23,70063.53392014952,6.375,44469.88166931893,1333.6064183436959,42.996187500000005,45846.48427516263,3448.545257932789,443.93678922222455,2889.0294006666663,2974.080832481482,3,2,1
rolling_margin,2025-12-21,97143.962377142,0.0,62525.24131662993,1373.9072827471282,0.0,63899.14859937706,3435.845924032921,0.0,1838.9430580271624,1860.9625091333344,3,2,0
rolling_scenario,2025-03-20,66608.25450160004,0.0,41148.85945216572,3366.115130873902,0.0,44514.97458303962,848.6848030288085,0.0,2049.2880373481507,1724.911875903705,3,3,0
rolling_scenario,2025-06-21,34656.033571807886,0.0,20286.7059048098,792.4917185125166,0.0,21079.197623322318,1472.3156975884779,11342.643848750346,2513.545029748149,2693.584199370307,3,2,0
rolling_scenario,2025-09-23,69997.91040781207,6.375,44528.8796544158,1571.1954922632804,42.996187500000005,46143.07133417908,3379.957513971194,498.52107055555905,2889.0294006666663,2974.080832481482,3,2,1
rolling_scenario,2025-12-21,95227.40210127058,43.054866666666726,61258.810428380726,2667.9117580497245,250.08419303333366,64176.806379463786,1845.377083765437,0.0,1840.3867495925933,1499.9137668148169,3,3,1
rolling_point_step,2025-03-20,68376.51707613168,1350.4740987333353,42396.0139759269,4070.091378075487,7053.358720486712,53519.4640744891,3596.6425213991733,0.0,1454.8044558888905,1262.18476762963,3,2,14
rolling_point_step,2025-06-21,30270.800194734566,2618.973454100001,17237.42218994391,222.33972358708792,8577.491512350143,26037.253425881143,976.2519292016483,10292.619383333333,1200.0,1233.5919,3,3,46
rolling_point_step,2025-09-23,73143.2403399926,444.6790666666652,47441.26083718991,1350.4981517664355,2253.344163633326,51045.10315258967,7370.423731399183,0.0,2889.0294006666663,2974.080832481482,3,2,8
rolling_point_step,2025-12-21,92497.01428716666,4093.261711100002,59372.35031291715,1521.6088466199133,20188.651183652524,81082.61034318959,3019.7430044032903,0.0,1226.9074319999995,1221.0530347037034,3,2,14
