strategy,period,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,days,e_start,e_end,updates,changed_updates,emergency_slots,inventory_adjusted_cost
no_update,development,5308562.444047558,56103.89582094484,3156371.6747286674,0.0,347763.7975556932,3504135.4722843603,244735.17753415287,337032.2386711728,89,1436.1139618518516,1237.362582296296,0,0,525,3504272.526763796
no_update,validation,6985963.846011654,486165.2940538829,4241243.1704589985,0.0,2746831.578779459,6988074.7492384575,109555.78362216735,495813.52578078874,123,1237.362582296296,1926.8842986666666,0,0,2972,6987599.270577087
no_update,evaluation,7913473.2095851265,199614.06941918933,4895600.59104117,0.0,1140904.8524229634,6036505.443464134,264319.3646047333,369748.0509060494,122,1926.8842986666666,1200.0,0,0,1129,6037006.686521598
state_only,development,5273119.172447306,14358.311043527752,3172021.8451727848,55215.074942946725,73216.80645872999,3300453.7265744614,183041.77712456908,321921.97896212275,89,1601.9050259990738,1237.362582296296,267,211,399,3300705.106841434
state_only,validation,7236953.816763869,230394.64904462834,4526736.119483263,171112.77553520433,1107173.6364319033,5805022.53145037,103205.58389554937,488096.6858818071,123,1237.362582296296,2041.0536225740725,369,304,2527,5804468.324192043
state_only,evaluation,8009998.815157568,77726.0094372557,5020918.965039733,89952.81342600143,378974.5603004799,5489846.338766214,243805.15967598872,359653.5173874001,122,2041.0536225740725,1200.0,366,285,830,5490426.310420635
rolling_point,development,5168717.590588597,10888.601339110415,3081501.6548092803,137570.64580434735,54396.22408350943,3273468.524697137,91424.685944774,297398.82354339503,89,1615.1408862037065,1237.362582296296,267,258,368,3273729.0321155
rolling_point,validation,7192560.528156423,220605.30942059882,4455174.96368222,268691.97773463704,1055575.025727368,5779441.967144226,47253.29171587429,481099.6634881956,123,1237.362582296296,2033.8414076666668,369,360,2473,5778892.733267024
rolling_point,evaluation,7924804.043546487,65062.903628017506,4941658.063933775,199182.25533952567,317120.8875167696,5457961.20679007,167143.73634845892,331589.661389316,122,2033.8414076666668,1200.0,366,343,764,5458536.205063365
rolling_margin,development,5266041.037942993,481.0384853444429,3163749.4645002694,148192.51986215415,2319.8188829980545,3314261.8032454215,161047.41254409356,323252.03820493445,89,3910.1342045925076,1678.7151728098759,267,221,21,3315800.5396028105
rolling_margin,validation,7741006.556880427,27501.7739296823,4851730.755820641,237483.81956415783,128973.1736248066,5218187.749009606,302189.540528479,593599.4999763429,123,1678.7151728098759,2489.3172474086455,369,352,509,5217628.77605751
rolling_margin,evaluation,8109469.511626136,13175.932841637763,5057506.512871912,197458.217332209,64758.526473638995,5319723.25667776,273336.39389932464,366759.95205367764,122,2489.3172474086455,1595.9336270222252,366,296,132,5320339.313921247
rolling_scenario,development,5242922.745232504,508.3410565641139,3138628.9462401685,154500.98344758814,2498.778575123065,3295628.70826288,132396.40581720756,324140.98525419197,89,2119.6221033981474,1668.9746430814828,267,190,25,3295939.4646119466
rolling_scenario,validation,7645662.155692225,10617.242227625688,4775840.279149955,256933.73673100164,53152.23242323859,5085926.248304196,229902.97154102215,545289.7535947312,123,1668.9746430814828,2325.4868035493823,369,287,198,5085473.532289861
rolling_scenario,evaluation,8092637.651992859,8236.958134611168,5044861.542961657,230194.46898210546,40644.52743628353,5315700.539380046,260113.56796847266,357007.49616124143,122,2325.4868035493823,1348.087187444445,366,281,97,5316374.53216382
rolling_point_step,development,5282468.693637657,98689.70894871662,3185525.270171613,120892.71211825634,483486.32743926253,3789904.309729132,315581.49529341393,275468.393094828,89,1615.1408862037065,1237.362582296296,267,210,895,3790164.8171474948
rolling_point_step,validation,7271548.67838891,327132.49532061757,4563848.837828795,208385.29576917202,1467076.7342471462,6239310.867845114,252763.5349139876,466126.8291930452,123,1237.362582296296,2128.776232,369,331,3450,6238696.169049086
rolling_point_step,evaluation,8023562.662926238,240092.26194954434,5027064.244193387,175082.0204295022,1187328.0000308752,6389474.264653765,466966.2749804112,309306.78865502053,122,2128.776232,1200.0,366,294,1403,6390114.727845887
