issue_hour,chosen_source,count
0,margin,248
0,point,13
0,residual_0,13
0,residual_1,9
0,residual_2,9
0,residual_3,10
0,residual_4,6
0,residual_5,8
0,residual_6,10
0,residual_7,8
6,keep_previous,24
6,margin,169
6,point,36
6,residual_0,17
6,residual_1,16
6,residual_2,16
6,residual_3,15
6,residual_4,10
6,residual_5,7
6,residual_6,8
6,residual_7,16
12,keep_previous,26
12,margin,147
12,point,72
12,residual_0,23
12,residual_1,11
12,residual_2,13
12,residual_3,4
12,residual_4,7
12,residual_5,11
12,residual_6,8
12,residual_7,12
18,keep_previous,126
18,margin,97
18,point,55
18,residual_0,14
18,residual_1,7
18,residual_2,4
18,residual_3,8
18,residual_4,4
18,residual_5,6
18,residual_6,7
18,residual_7,6
