strategy,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_margin_mean14,development,2025-02-01,49459.99731647697,0.0,22803.163596468414,1343.0146451472433,0.0,24146.178241615657,5794.0817281177715,3642.5664361929294,2119.6221033981474,4380.365070624251,3,2,0
rolling_margin_mean14,development,2025-02-02,92608.09227561041,0.0,67898.66948227538,2265.094289755638,0.0,70163.76377203102,11286.389996477072,59.174066666666704,4380.365070624251,3773.6705747301576,3,2,0
rolling_margin_mean14,development,2025-02-03,92431.41698994959,0.0,67875.44536647662,3067.0879799191484,0.0,70942.53334639576,8848.934265265103,0.0,3773.6705747301576,3407.856422769841,3,2,0
rolling_margin_mean14,development,2025-02-04,93059.18481859347,0.0,68588.71790714754,3116.072030050911,0.0,71704.78993719845,8343.582639672251,0.3517833333332874,3407.856422769841,3152.6741541684314,3,2,0
rolling_margin_mean14,development,2025-02-05,90792.53205661326,0.0,66080.68378771776,1449.1613310307898,0.0,67529.84511874855,6359.883919104937,2.052500000000009,3152.6741541684314,2947.5830148906534,3,2,0
rolling_margin_mean14,development,2025-02-06,89929.74072560307,0.0,64748.3114341617,4358.446741684201,0.0,69106.7581758459,5870.155366983632,1.400816666666742,2947.5830148906534,2689.4361424761937,3,2,0
rolling_margin_mean14,development,2025-02-07,43080.70827190966,0.0,18357.591403467035,1158.1847962985003,0.0,19515.776199765536,3097.3095724387626,4928.429839300416,2689.4361424761937,2434.093872598765,3,2,0
rolling_margin_mean14,development,2025-02-08,40595.16706881638,0.0,17332.368774829367,314.4434145106758,0.0,17646.812189340042,1698.09608030472,3459.3507411522637,2434.093872598765,2797.6114814506172,3,2,0
rolling_margin_mean14,development,2025-02-09,89442.30832427199,0.0,63924.21344403055,2175.0711152720187,0.0,66099.28455930257,6093.377286895949,0.0,2797.6114814506172,2556.7183822248667,3,2,0
rolling_margin_mean14,development,2025-02-10,81946.24685260514,0.0,55913.450604939695,4290.070063769963,0.0,60203.52066870966,3729.681542008999,193.20466666666675,2556.7183822248667,2285.635784562961,3,2,0
rolling_margin_mean14,development,2025-02-11,82444.71518166256,0.0,56539.99987632894,3037.7044424337582,0.0,59577.7043187627,3199.657026624143,148.03829999999994,2285.635784562961,2023.7731754765423,3,2,0
rolling_margin_mean14,development,2025-02-12,82145.63854719615,0.0,55905.74633135092,2940.669132509606,0.0,58846.415463860525,2651.240391632369,58.95943333333321,2023.7731754765423,1935.572920716046,3,2,0
rolling_margin_mean14,development,2025-02-13,79261.81826031687,2.25129000000004,53097.92478852641,2204.351437100986,11.319486120000201,55313.5957117474,3695.1570093744854,118.10408333333339,1935.572920716046,2019.6631750814818,3,2,1
rolling_margin_mean14,development,2025-02-14,39957.35251868724,0.0,16757.28894434812,281.0466384185953,0.0,17038.33558276672,1861.8802734259252,4954.70019320988,2019.6631750814818,1910.235023503706,3,3,0
rolling_margin_mean14,development,2025-02-15,39533.033653987644,0.0,16922.906022941836,344.2793706293585,0.0,17267.185393571195,1139.0455058806508,5922.646936625516,1910.235023503706,1728.414857049386,3,2,0
rolling_margin_mean14,development,2025-02-16,80886.05071334956,9.657056666666676,54985.93348441785,3430.092549648933,51.06651565333339,58467.092549720124,1295.1790841001332,0.0,1728.414857049386,1774.984681586422,3,3,1
rolling_margin_mean14,development,2025-02-17,76878.26027148971,0.0,51763.73072039084,4531.308167927402,0.0,56295.038888318246,1754.961850141287,82.12789333333197,1774.984681586422,1741.3543407037043,3,2,0
rolling_margin_mean14,development,2025-02-18,77619.0147009775,0.0,51615.94295264257,994.2188596885761,0.0,52610.16181233114,1372.263783922491,95.83631069958746,1741.3543407037043,1873.3499850407356,3,3,0
rolling_margin_mean14,development,2025-02-19,78772.99352828307,48.91487277778094,52666.52276187508,849.0662682721072,265.3142699466838,53780.90330009387,2301.611771287045,0.0,1873.3499850407356,1352.1125556759282,3,2,1
rolling_margin_mean14,development,2025-02-20,78181.46794515188,0.0,52653.403990053375,2454.829591630652,0.0,55108.23358168403,2419.8943862277097,391.814483333333,1352.1125556759282,1762.3539473111066,3,2,0
rolling_margin_mean14,development,2025-02-21,35773.17235597971,0.0,15244.521832694836,107.63278301632923,0.0,15352.154615711166,204.1691231316886,6718.098636687245,1762.3539473111066,1706.7271623580252,3,3,0
rolling_margin_mean14,development,2025-02-22,35413.39930275446,0.0,15233.18448089425,363.8757214642591,0.0,15597.060202358509,449.0218590534974,3792.9967449465,1706.7271623580252,1724.6420750617274,3,3,0
rolling_margin_mean14,development,2025-02-23,76575.20026702469,0.07676133333313828,50749.85988434277,2162.8312863798374,0.3968560933323249,52913.08802681594,1142.033791765437,0.0,1724.6420750617274,1451.4057455888878,3,2,1
rolling_margin_mean14,development,2025-02-24,74240.41362389144,20.91363111111093,49528.32506899086,1554.2591796246495,106.51845456222131,51189.10270317773,1558.1247459080917,442.4955518888891,1451.4057455888878,1573.5375875111106,3,3,2
rolling_margin_mean14,development,2025-02-25,72051.58158866134,55.58503333333351,46390.07924481444,3024.006810488276,282.96852498333425,49697.05458028605,2290.0763227901225,138.26427466666235,1573.5375875111106,1391.3170029222265,3,2,3
rolling_margin_mean14,development,2025-02-26,75188.1423081694,39.613050222222114,49183.53713135483,745.2319420529291,201.06308477799945,50129.83215818576,1537.467343688607,351.3131161111122,1391.3170029222265,1675.7785971018493,3,2,2
rolling_margin_mean14,development,2025-02-27,73524.5817376454,6.107575999998517,47479.02211721524,667.8209104165101,29.81107845599276,48176.654106087735,2151.2531151605067,173.93949271467386,1675.7785971018493,1609.1994947111152,3,2,1
rolling_margin_mean14,development,2025-02-28,33909.1684987572,0.0,13956.461361147092,242.7233203256161,0.0,14199.184681472709,323.9228750000004,7152.469059300418,1609.1994947111152,1492.5107970642036,3,2,0
rolling_margin_mean14,development,2025-03-01,37475.07219413442,0.0,15132.797852670185,162.04070808350468,0.0,15294.83856075369,891.7759398545927,9822.517893004113,1492.5107970642036,1484.5020488577516,3,2,0
rolling_margin_mean14,development,2025-03-02,79367.81491692105,2.8151450400002886,52725.367802174165,2593.073905354624,14.638754208001501,55333.0804617368,2927.7817927920983,0.0,1484.5020488577516,1306.0936116518524,3,3,1
rolling_margin_mean14,development,2025-03-03,78827.56142172839,0.0,51820.47020241535,3321.2383822145603,0.0,55141.708584629916,2168.451042262009,219.42949430452092,1306.0936116518524,1349.3509112962963,3,2,0
rolling_margin_mean14,development,2025-03-04,75087.85853146012,0.0,49219.72606608584,1333.5265514831292,0.0,50553.25261756896,1461.7498450000046,284.82850111111145,1349.3509112962963,1354.3104860000003,3,3,0
rolling_margin_mean14,development,2025-03-05,72233.9632059742,0.0,46006.95049758163,3189.460812528649,0.0,49196.41131011028,1981.5759420000038,0.0,1354.3104860000003,1456.0101858000005,3,3,0
