strategy,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,updates,changed_updates,emergency_slots
rolling_margin_mean14,2025-02,28,1955701.3997044358,183.11927144444587,1264197.0067958443,53472.59481946747,948.4582705928975,1318618.0598859047,92468.4526563834,42828.33536016276,2119.6221033981474,1492.5107970642036,0.7695711805555556,1319052.4059954244,84,62,12
rolling_margin_mean14,2025-03,31,1798407.8516298241,60.50591358666816,1070143.5915583333,62704.067459225465,367.0273214046227,1133214.6863389635,40126.47111887082,116305.6009961797,1492.5107970642036,2022.3477906604965,0.7255331989247312,1132868.7134429782,93,71,4
rolling_margin_mean14,2025-04,30,1506894.4048568641,144.81242112888884,869920.3203243901,41292.3841691535,479.09074273231545,911691.7952362759,26573.424402678396,159750.75698456165,2022.3477906604965,1696.9410225111126,0.6988464120370371,911896.4636534123,90,77,2
rolling_margin_mean14,2025-05,31,1505025.959442312,10286.957848616657,884991.6576663862,42642.34357811144,50051.96547876076,977685.9667232584,30588.4785324158,199374.3513050495,1696.9410225111126,3402.628152644446,0.6912003360215054,976624.8923575123,93,86,152
rolling_margin_mean14,2025-06,30,1981894.5491619287,8634.61082484111,1313137.2980583592,70051.30687221196,36532.65622743888,1419721.26115801,71238.41094029785,63941.42163083127,3402.628152644446,3496.2759724074044,0.7662756712962964,1419656.677116651,90,89,182
rolling_margin_mean14,2025-07,31,2226038.7353093587,12768.891439746661,1616927.1952116499,76694.12599389908,54439.014415473415,1748060.3356210224,95716.75175159841,91498.23001086009,3496.2759724074044,4245.050389558025,0.8300811827956989,1747500.9464225704,93,91,255
rolling_margin_mean14,2025-08,31,2010828.4785150276,139.12411333333353,1420051.6983317127,58686.29234671812,1170.6981670533348,1479908.6888454843,94345.79788759969,236652.41924006035,4245.050389558025,2496.912165927164,0.7864659722222223,1481146.0549503483,93,93,11
rolling_margin_mean14,2025-09,30,1792366.1340065883,751.7791977411157,1154844.291852567,52472.61641047953,3878.5379808199677,1211195.4462438666,123445.11474794713,181680.0661857236,2496.912165927164,2451.103143296297,0.7202801851851851,1211225.14204204,90,75,16
rolling_margin_mean14,2025-10,31,1749281.5015289655,281.63458374332765,1078655.9645878158,51320.96818685855,1442.190680689499,1131419.1234553638,30059.947296709768,131718.41701223492,2451.103143296297,1657.587419376544,0.7202710573476703,1131933.5152239045,93,79,7
rolling_margin_mean14,2025-11,30,1996881.2623689477,800.226460459994,1278354.0089177922,55068.2907874619,3423.4101397525724,1336845.7098450067,40249.65506300592,50697.80973326887,1657.587419376544,1675.8431536888922,0.7610268287037036,1336833.2060517762,90,68,40
rolling_margin_mean14,2025-12,31,2554887.5866332985,10610.575287346104,1812625.9742934029,55066.95440199596,67408.2951372742,1935101.223832673,66701.18142887612,2109.1875580493856,1675.8431536888922,1595.9336270222252,0.8617168234767025,1935163.1972778093,93,71,73
