strategy,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,solver
rolling_margin_mean14,development,2025-02-01,0,0,margin,1,32829.48219182109,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-01,6,1,margin,2,25756.12019505628,0.0,3895.522517577899,917.0854801980793,1378.9125468151497,1,LP
rolling_margin_mean14,development,2025-02-01,12,2,margin,2,22145.027679564,376.06877751518834,1636.7980569047597,425.9291649491639,631.8888896338574,1,MILP
rolling_margin_mean14,development,2025-02-01,18,3,keep_previous,2,14481.258562013285,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-02,0,0,margin,1,72193.84638159594,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-02,6,1,margin,2,62336.332485201856,217.60167629444402,2512.246819243591,1169.9838738735652,1125.3131720725291,1,LP
rolling_margin_mean14,development,2025-02-02,12,2,margin,2,43477.768412033955,112.61505822936567,3023.358134432287,1095.1104158820726,1061.0590373470686,1,LP
rolling_margin_mean14,development,2025-02-02,18,3,margin,1,21988.43787801224,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-03,0,0,margin,1,72368.7250562669,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-03,6,1,margin,2,61586.339270753975,6.761990476190249,4360.883629160299,1934.153032404494,1861.3089100507332,1,LP
rolling_margin_mean14,development,2025-02-03,12,2,margin,2,42382.0713123858,73.28510961587074,2828.5249128653686,1132.9349475146544,1062.2028706423098,1,LP
rolling_margin_mean14,development,2025-02-03,18,3,margin,1,21635.90299459143,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-04,0,0,margin,1,72546.04110509713,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-04,6,1,margin,2,62215.46433287347,45.423837698412626,3994.9575780011896,1769.4763221318835,1686.289824989252,1,LP
rolling_margin_mean14,development,2025-02-04,12,2,margin,2,41912.73402038155,105.53487785714162,3562.618711879775,1346.5957079190275,1285.525911219304,1,LP
rolling_margin_mean14,development,2025-02-04,18,3,margin,1,21087.26286840109,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-05,0,0,margin,1,66815.89375637387,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-05,6,1,margin,2,58193.78888990219,23.802860555555753,274.4800970546697,135.09174899388324,127.80550000539913,1,LP
rolling_margin_mean14,development,2025-02-05,12,2,margin,2,39717.846808675575,3.152491666666606,3111.5419867817964,1314.0695820369067,1235.9063931288138,1,LP
rolling_margin_mean14,development,2025-02-05,18,3,margin,1,20775.654120009454,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-06,0,0,margin,1,70643.36925325888,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-06,6,1,margin,2,59564.57337863989,0.0,6077.895199050067,2826.182822987887,2604.6629238433106,1,LP
rolling_margin_mean14,development,2025-02-06,12,2,margin,2,39037.87972674253,0.28564555555556126,3645.440833087403,1532.2639186963136,1445.2305578153234,1,LP
rolling_margin_mean14,development,2025-02-06,18,3,margin,1,20454.32868642566,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-07,0,0,margin,1,27754.263020082013,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-07,6,1,margin,2,21386.773019763725,0.0,2805.072194175007,629.7834867902939,953.4966105642511,1,LP
rolling_margin_mean14,development,2025-02-07,12,2,margin,2,17075.369323384482,1.532622777777874,2674.675593744852,528.4013095082063,866.2796291999822,1,MILP
rolling_margin_mean14,development,2025-02-07,18,3,keep_previous,2,12386.780755372292,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-08,0,0,margin,1,22187.545984797882,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-08,6,1,margin,2,18010.120640910754,711.2634690612794,0.0,206.58445475211545,275.7781865633839,1,LP
rolling_margin_mean14,development,2025-02-08,12,2,margin,2,16713.98592981266,1.0415788888897168,414.99649350572406,107.85895975856036,148.3007063494381,1,MILP
rolling_margin_mean14,development,2025-02-08,18,3,keep_previous,2,12571.539240176462,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-09,0,0,margin,1,64996.17727946379,0.0,0.0,0.0,0.0,0,LP
rolling_margin_mean14,development,2025-02-09,6,1,margin,2,56496.261332961716,350.99487079444293,1753.958742933332,1032.264886968914,985.2539462627258,1,LP
