strategy,period,windows,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,inventory_adjusted_cost,daily_cvar90,total_window_start_energy,total_window_end_energy,updates,changed_updates,emergency_slots
no_update_mean14,development,2,28,1464788.0841895728,32939.69285591664,849214.7714388017,0.0,192212.69014901214,1041427.4615878139,47239.91389551437,128876.83332932819,1041961.8032125051,58372.605165281035,3339.95364652415,2499.547349925926,0,0,266
no_update_mean14,validation,2,28,1721297.3049693005,80457.7611754583,1151899.2714116802,0.0,446082.43801613164,1597981.7094278117,39602.64756163617,101756.85057603566,1598377.0206693036,88146.11126929567,3742.686140365543,3160.4761986666663,0,0,681
no_update_mean14,evaluation,2,28,1903684.5872587292,66817.77078202224,1275135.339609716,0.0,443991.7030235058,1719127.042633222,81507.01831983538,91400.08609580246,1720169.604507186,117267.6990967466,6032.416558197536,4424.91496262963,0,0,345
state_only_mean14,development,2,28,1479049.9101569033,9448.489415883323,871088.3153177074,19018.3413085328,47085.063811077234,937191.7204373175,36934.75828369682,129282.89171935528,937726.0620620088,49537.93981403075,3339.95364652415,2499.547349925926,84,66,198
state_only_mean14,validation,2,28,1747385.5041018566,44613.789945491975,1192913.8950439342,30048.85971843812,196066.94884653093,1419029.7036089033,32657.055411343077,97402.26270796981,1419330.0296134064,70884.87887196922,3742.686140365543,3292.969181833331,84,61,639
state_only_mean14,evaluation,2,28,1943313.4439523467,22950.280092577766,1321036.6814801402,28755.580672686723,138038.18419693309,1487830.44634976,73877.67826091219,89922.43719919067,1488873.008223724,91299.44057223607,6032.416558197536,4424.91496262963,84,61,251
rolling_margin_mean14,development,2,28,1486408.5986308404,57.69076854666787,869830.4212248072,44351.971246522124,352.3885671966212,914534.7810385259,32301.178111768964,129181.19104314194,914529.3351274902,49503.22648273022,3339.95364652415,3347.883008333337,84,65,3
rolling_margin_mean14,validation,2,28,1837951.20573546,436.68969577777807,1254676.4102320052,56675.4045240781,3233.3427076318912,1314585.157463715,60699.83645680745,114159.58226070373,1313145.35368232,61574.68599885737,3742.686140365543,5805.783618267905,84,84,28
rolling_margin_mean14,evaluation,2,28,1966375.2802979252,439.79383008667077,1331818.7882200372,47195.88385841659,2940.471702881232,1381955.1437813349,77699.25253389563,87058.32024288407,1382504.057804077,75388.73572152916,6032.416558197536,5064.824437059261,84,63,12
rolling_scenario_mean14,development,2,28,1486448.0970183345,83.14908871999732,870312.8113695455,48886.27737276259,449.7097996529718,919648.7985419612,30268.974689894825,131489.26137496845,919592.7641988518,49772.6663489037,3339.95364652415,3424.5881226721253,84,53,5
rolling_scenario_mean14,validation,2,28,1828744.6659165635,406.5313352099966,1250097.0149267307,66948.63862985311,2897.3695466358267,1319943.0231032195,60928.051988892184,104863.34464906312,1319136.2702797097,61939.10587042426,3742.686140365543,4891.451663265827,84,66,24
rolling_scenario_mean14,evaluation,2,28,1968546.8718500212,87.95537845555408,1335722.7301928035,54976.06736965293,543.600874306403,1391242.3984367629,83604.23702767241,84007.13322067352,1392074.6872047866,76802.3044208146,6032.416558197536,4697.489333967411,84,61,5
rolling_scenario_shuffled,development,2,28,1473531.0124671892,1264.816298132121,861681.5939777637,40604.24400280231,5664.286617985754,907950.1245985518,25124.610828225676,124682.9004358635,908276.8741376945,48793.25970286654,3339.95364652415,2816.9113395691866,84,63,34
rolling_scenario_shuffled,validation,2,28,1803418.180865988,896.869229043411,1230078.2546082311,57834.939724202486,5736.308292743319,1293649.5026251771,39251.028900597725,99827.27742968999,1292845.1183734117,60852.7799813363,3742.686140365543,4900.465117644444,84,65,39
rolling_scenario_shuffled,evaluation,2,28,1963333.060731672,1218.8312824079471,1331398.9409913176,48920.10169113912,7787.3353169010825,1388106.3779993579,78790.96308654033,84044.9820590878,1388926.9226813994,77038.40063472804,6032.416558197536,4712.713044289925,84,61,14
rolling_scenario_price_update,development,2,28,1486157.5090663955,83.14908871999732,870281.826044433,48901.46073412015,449.7097996529718,919632.9965782063,30192.939673548055,131489.26137496845,919577.5803406525,49774.774442869435,3339.95364652415,3423.648145590125,84,53,5
rolling_scenario_price_update,validation,2,28,1828402.5916684265,406.5313352099966,1250121.9141624207,67073.00673722851,2897.3695466358267,1320092.2904462847,60574.36540646413,104874.46429906311,1319069.110549495,61929.617561976476,3742.686140365543,5206.32022885637,84,67,24
rolling_scenario_price_update,evaluation,2,28,1968411.6254340874,87.95537845555408,1335715.6395481005,54979.056479563595,543.600874306403,1391238.2969019702,83620.8366554896,84007.13322067352,1392070.585669994,76799.7190193804,6032.416558197536,4697.489333967411,84,61,5
