strategy,window,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,scenario_mean,scenario_cvar,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,price_bias,solver
state_only_mean14,dev_march,development,2025-03-07,6,1,point,1,12401.787125376495,12401.787125376495,12401.787125376495,0.0,2.2737367544323206e-13,7.630660547874868e-14,8.293536016675977e-14,0,0.0,MILP
state_only_mean14,dev_march,development,2025-03-07,12,2,point,1,15235.64938803088,15235.64938803088,15235.64938803088,2.2737367544323206e-13,5.684341886080801e-13,3.8667735680064653e-13,4.251284784524095e-13,0,0.0,LP
state_only_mean14,dev_march,development,2025-03-07,18,3,point,2,11139.378484954823,11139.378484954823,11139.378484954823,34.76045500000163,0.0,17.29332636250081,19.680252320661634,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-08,6,1,point,1,10594.720825361559,10594.720825361559,10594.720825361559,3.296918293926865e-12,1.6484591469634324e-12,1.7553617226440112e-12,2.3620300128511315e-12,0,0.0,MILP
state_only_mean14,dev_march,development,2025-03-08,12,2,point,1,14274.669980605668,14274.669980605668,14274.669980605668,1.6484591469634324e-12,5.684341886080801e-13,8.928310535338825e-13,1.1615518198076252e-12,0,0.0,LP
state_only_mean14,dev_march,development,2025-03-08,18,3,point,2,11258.637003346603,11258.637003346603,11258.637003346603,111.00534386666294,0.0,55.56372487245814,62.76519655580789,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-09,6,1,point,2,38821.22108287914,38821.22108287914,38821.22108287914,0.0,70.88133333333246,32.6946253521774,31.238043387936123,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-09,12,2,point,2,30578.139230185207,30578.139230185207,30578.139230185207,0.0,1755.1662298600806,445.3546209491461,477.697585824067,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-09,18,3,point,2,18506.54676485871,18506.54676485871,18506.54676485871,178.9899249999986,0.0,112.81273273458248,109.68514416499916,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-10,6,1,point,2,36430.54267686549,36430.54267686549,36430.54267686549,0.0,65.52345679012228,22.35987962962923,23.03921746913539,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-10,12,2,point,2,28436.76038874283,28436.76038874283,28436.76038874283,0.0,56.958751666665535,23.63503400408286,19.39974396944009,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-10,18,3,point,2,18640.24579528135,18640.24579528135,18640.24579528135,272.31630944444413,0.0,168.48789599966648,166.75151421234904,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-11,6,1,point,2,31469.64149792082,31469.64149792082,31469.64149792082,0.0,63.59300000000019,27.198726100000084,26.75198527500008,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-11,12,2,point,2,27387.83998043963,27387.83998043963,27387.83998043963,2408.092013333332,0.0,903.189400918833,806.7022018650079,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-11,18,3,point,2,19951.718189525745,19951.718189525745,19951.718189525745,1707.8495860722292,0.0,1105.8959213437493,1047.4024029393438,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-12,6,1,point,2,37448.78175134339,37448.78175134339,37448.78175134339,0.0,47.37666666666644,19.341524166666574,20.326958833333233,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-12,12,2,point,2,30853.45052771885,30853.45052771885,30853.45052771885,0.0,2470.4340883813447,628.898041938902,607.4400434265319,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-12,18,3,point,2,18493.44966016077,18493.44966016077,18493.44966016077,118.37989333333246,0.0,77.30989409816611,72.46684568526138,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-13,6,1,point,2,37208.37289052106,37208.37289052106,37208.37289052106,0.0,8.168333333332384,3.7100569999995687,3.6678150476186215,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-13,12,2,point,2,28371.737314491955,28371.737314491955,28371.737314491955,0.0,2843.7091876063087,845.0519447946695,661.9722056769969,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-13,18,3,point,2,19287.70428686837,19287.70428686837,19287.70428686837,1066.1310730277783,0.0,687.9529809211421,654.6213790218293,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-14,6,1,point,1,9920.980158682323,9920.980158682323,9920.980158682323,3.296918293926865e-12,1.6342482922482304e-12,1.8095349219038326e-12,2.2763641384569512e-12,0,0.0,MILP
state_only_mean14,dev_march,development,2025-03-14,12,2,point,1,13695.868197561374,13695.868197561374,13695.868197561374,1.6342482922482304e-12,2.7036151095671812e-12,1.4965312544745758e-12,1.844869831505288e-12,0,0.0,LP
state_only_mean14,dev_march,development,2025-03-14,18,3,point,2,11412.775339746626,11412.775339746626,11412.775339746626,423.7553038111137,0.0,221.05195423306745,237.9295226191444,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-15,6,1,point,1,9402.560534612621,9402.560534612621,9402.560534612621,2.2737367544323206e-13,0.0,8.798224371275865e-14,1.0213950320446331e-13,0,0.0,MILP
state_only_mean14,dev_march,development,2025-03-15,12,2,point,1,12213.51011082334,12213.51011082334,12213.51011082334,2.6618605804782177e-13,2.2737367544323206e-13,1.2802993614605344e-13,1.6191538519707378e-13,0,0.0,MILP
state_only_mean14,dev_march,development,2025-03-15,18,3,point,2,11445.735963349542,11445.735963349542,11445.735963349542,372.1474383333314,3.410605131648481e-13,195.97284102633247,208.99667227000504,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-16,6,1,point,2,35093.150111628536,35093.150111628536,35093.150111628536,0.0,2.221399176954492,0.8212512757200756,0.748119641387338,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-16,12,2,point,2,29368.022899312116,29368.022899312116,29368.022899312116,0.0,495.47660004801105,131.15595512432793,118.45199060872352,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-16,18,3,point,2,18523.026275107015,18523.026275107015,18523.026275107015,185.68897108888848,0.0,119.61155072690751,113.76035861291729,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-17,6,1,point,2,31340.849650239958,31340.849650239958,31340.849650239958,0.0,72.27818930040985,22.680895802468612,20.84683674897071,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-17,12,2,point,2,26688.69725503033,26688.69725503033,26688.69725503033,1.5916157281026244e-12,950.1841852674927,242.25676356226674,242.99674997702954,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-17,18,3,point,2,19101.063366916205,19101.063366916205,19101.063366916205,712.1600331666633,0.0,435.14874359677293,436.87829816754675,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-18,6,1,point,2,37568.10183678061,37568.10183678061,37568.10183678061,0.0,45.135333333334216,21.42334545866709,19.852841287583725,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-18,12,2,point,2,29672.02866067894,29672.02866067894,29672.02866067894,0.0,4477.307396666667,1188.2650159876666,1098.5063778439999,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-18,18,3,point,2,18633.82986779215,18633.82986779215,18633.82986779215,85.25592999999924,0.0,53.56884171749954,52.1248079296781,1,0.0,LP
state_only_mean14,dev_march,development,2025-03-19,6,1,point,2,29392.098391550295,29392.098391550295,29392.098391550295,0.0,9.370666666668114,3.920686933333939,3.8919056000006007,1,0.0,LP
