strategy,window,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,daily_cvar90,updates,changed_updates,emergency_slots
no_update_mean14,dev_march,development,14,834379.4507764009,10978.001658638876,493785.9015553993,0.0,63955.382002600636,557741.2835579999,41573.967084012314,46653.07922169444,1637.1139451629633,1262.18476762963,0.7306390376984127,557987.8276621301,58778.87307792889,0,0,121
no_update_mean14,dev_april,development,14,630408.633413172,21961.691197277763,355428.8698834024,0.0,128257.30814641151,483686.178029814,5665.946811502054,82223.75410763375,1702.8397013611866,1237.362582296296,0.6869833333333333,483973.975550375,53899.52127877648,0,0,145
no_update_mean14,val_june,validation,14,819607.7564042127,72865.74869319267,522546.5018170974,0.0,387645.945639581,910192.4474566784,7363.952863529169,27919.385233621404,1980.7640098607806,1233.5919,0.7637298611111111,910706.0213431994,88429.82898764001,0,0,615
no_update_mean14,val_august,validation,14,901689.5485650878,7592.012482265631,629352.7695945827,0.0,58436.49237655063,687789.2619711333,32238.694698107,73837.46534241426,1761.9221305047624,1926.8842986666666,0.7965640873015873,687670.9993261042,74125.0933084352,0,0,66
no_update_mean14,eval_september,evaluation,14,852960.594472411,1176.335657888887,545055.7433263639,0.0,6214.7287231371,551270.472049501,76827.82843407406,91400.08609580246,4786.287876925929,3203.861927925927,0.7184592261904762,552293.6897200411,50569.17110979796,0,0,16
no_update_mean14,eval_december,evaluation,14,1050723.992786318,65641.43512413335,730079.5962833524,0.0,437776.9743003687,1167856.570583721,4679.189885761308,0.0,1246.1286812716075,1221.0530347037034,0.857148759920635,1167875.9147871449,119703.71439882809,0,0,329
state_only_mean14,dev_march,development,14,832376.1839729164,2209.5101146333263,498252.4313885581,9594.949931423293,9875.940054502911,517723.32137448434,31659.352489842233,45307.270506810695,1637.1139451629633,1262.18476762963,0.7306390376984127,517969.8654786145,49987.62541046852,42,33,84
state_only_mean14,dev_april,development,14,646673.7261839868,7238.979301249997,372835.8839291493,9423.391377109509,37209.12375657432,419468.39906283317,5275.405793854589,83975.62121254457,1702.8397013611866,1237.362582296296,0.6869833333333333,419756.1965833942,41083.25324618758,42,33,114
state_only_mean14,val_june,validation,14,848376.1138401561,42700.572151830864,558692.6228603857,22428.209830028227,184386.1225404377,765506.9552308517,5926.641354998761,26659.290272825794,1980.7640098607806,1233.5919,0.7637298611111111,766020.5291173727,72139.87803997163,42,36,584
state_only_mean14,val_august,validation,14,899009.3902617006,1913.2177936611092,634221.2721835485,7620.649888409896,11680.82630609323,653522.7483780517,26730.414056344318,70742.97243514402,1761.9221305047624,2059.377281833331,0.7965640873015873,653309.5004960336,63211.66462498224,42,25,55
state_only_mean14,eval_september,evaluation,14,843540.685736197,1181.9097706666626,540914.0122616508,3244.0100201253736,6237.891540352645,550395.9138221288,68865.87924387516,89922.43719919067,4786.287876925929,3203.861927925927,0.7184592261904762,551419.1314926689,49915.96578163322,42,19,16
state_only_mean14,eval_december,evaluation,14,1099772.7582161496,21768.370321911105,780122.6692184894,25511.57065256135,131800.29265658045,937434.5325276313,5011.799017037028,0.0,1246.1286812716075,1221.0530347037034,0.857148759920635,937453.8767310552,92078.55354179819,42,42,235
rolling_margin_mean14,dev_march,development,14,820624.2177614861,57.69076854666787,489286.2682140186,29715.717070080762,352.3885671966212,519354.37385129597,19817.949857236712,42281.06060797667,1637.1139451629633,1650.9419858222243,0.7306390376984127,519345.2808756075,49613.551801252135,42,30,3
rolling_margin_mean14,dev_april,development,14,665784.3808693542,0.0,380544.15301078855,14636.254176441362,0.0,395180.4071872299,12483.228254532252,86900.13043516527,1702.8397013611866,1696.9410225111126,0.6869833333333333,395184.0542518827,38447.122362243565,42,35,0
rolling_margin_mean14,val_june,validation,14,922902.045160821,297.6628284444446,609536.2399427901,26471.27117902947,2063.432184555557,638070.9433063752,29654.885844552682,32887.51331902195,1980.7640098607806,3308.8714523407407,0.7637298611111111,637158.0595250479,59422.75122764286,42,42,18
rolling_margin_mean14,val_august,validation,14,915049.1605746388,139.02686733333348,645140.1702892149,30204.133345048624,1169.9105230763346,676514.2141573399,31044.95061225476,81272.06894168178,1761.9221305047624,2496.912165927164,0.7965640873015873,675987.2941572721,62034.62835762914,42,42,10
rolling_margin_mean14,eval_september,evaluation,14,823711.7738538819,51.00918344444726,529055.4699362161,21979.909220479683,258.12638374695996,551293.5055404428,52155.38917844959,85839.38259283469,4786.287876925929,3203.861927925927,0.7184592261904762,552316.7232109829,50582.83372662183,42,34,3
rolling_margin_mean14,eval_december,evaluation,14,1142663.5064440432,388.7846466422235,802763.318283821,25215.974637936913,2682.345319134272,830661.6382408921,25543.863355446043,1218.9376500493886,1246.1286812716075,1860.9625091333344,0.857148759920635,830187.3345930941,75566.50599874728,42,29,9
rolling_scenario_mean14,dev_march,development,14,818461.4302748764,36.732187053332154,489188.5189959718,33187.33139472913,227.43075493131232,522603.28114563227,18723.191350849145,41299.19334807957,1637.1139451629633,1731.440832185703,0.7306390376984127,522541.2541302652,50222.388435619505,42,29,3
rolling_scenario_mean14,dev_april,development,14,667986.6667434581,46.41690166666517,381124.29237357376,15698.94597803346,222.27904472165946,397045.5173963289,11545.78333904568,90190.0680268889,1702.8397013611866,1693.1472904864224,0.6869833333333333,397051.5100685866,38774.82879969229,42,24,2
rolling_scenario_mean14,val_june,validation,14,930794.9634097945,62.47918577777784,618699.7641767665,35415.32231304135,427.25663638022274,654542.343126188,41179.637403919376,29913.00498027161,1980.7640098607806,2549.47953379052,0.7637298611111111,654151.4326008956,60859.074283303635,42,35,4
rolling_scenario_mean14,val_august,validation,14,897949.7025067689,344.05214943221876,631397.250749964,31533.316316811757,2470.112910255604,665400.6799770314,19748.414584972812,74950.33966879151,1761.9221305047624,2341.972129475307,0.7965640873015873,664984.8376788141,62089.89840632005,42,31,20
