strategy,period,date,issue_hour,plan_version,chosen_source,candidate_count,chosen_score,scenario_mean,scenario_cvar,increase_kwh,decrease_kwh,adjustment_cost,decision_adjustment_cost,changed,scenario_count,solver
rolling_scenario_mean14,development,2025-02-01,0,0,residual_6,10,25599.00559634724,25434.57660792865,26092.29256160301,0.0,0.0,0.0,0.0,0,9,LP+MILP
rolling_scenario_mean14,development,2025-02-01,6,1,margin,11,19519.965248272652,19475.300477182154,19653.95956154415,737.8991223750023,2577.4881403703694,1040.4069326763858,1365.4842701361129,1,9,MILP
rolling_scenario_mean14,development,2025-02-01,12,2,keep_previous,11,15878.86808111119,15820.713209736352,16053.332695235706,0.0,0.0,0.0,0.0,0,9,MILP
rolling_scenario_mean14,development,2025-02-01,18,3,keep_previous,11,12363.14572601438,12317.006427835713,12501.563620550378,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-02,0,0,margin,10,64183.55747168476,64125.25837511599,64358.45476139109,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-02,6,1,margin,11,54109.70892614269,54060.23372676046,54258.13452428937,5.373641944444557,4291.550751941009,1798.5830297859147,1748.8874615464008,1,9,LP
rolling_scenario_mean14,development,2025-02-02,12,2,residual_3,11,36958.32458855033,36911.23576778035,37099.59105086024,36.882925283330906,1411.937737239378,545.1577205359702,528.3303256202155,1,9,LP
rolling_scenario_mean14,development,2025-02-02,18,3,point,11,19863.928984587,19815.113738155116,20010.374723882655,76.28102784722216,117.6761190030195,89.97386960242181,90.877206097319,1,9,LP
rolling_scenario_mean14,development,2025-02-03,0,0,margin,10,65445.36533085696,65373.69011933375,65660.3909654266,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-03,6,1,margin,11,54873.93009474197,54806.91023177276,55074.989683649605,0.0,5732.521910051435,2514.606928988649,2407.263700547689,1,9,LP
rolling_scenario_mean14,development,2025-02-03,12,2,residual_2,11,36887.17173629609,36824.388909620415,37075.52021632311,0.0,1547.5190885253826,636.0364201573749,612.3040971809615,1,9,LP
rolling_scenario_mean14,development,2025-02-03,18,3,point,11,19708.713168159302,19645.018656479122,19899.79670319985,75.64982188703732,79.15337921701013,67.58347821846203,65.67080037468637,1,9,LP
rolling_scenario_mean14,development,2025-02-04,0,0,margin,10,67316.86891374696,67224.45737976232,67594.1035157009,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-04,6,1,margin,11,57347.00110050949,57283.237632985605,57538.29150308116,167.0778669444461,5138.105770534981,2323.069544120821,2224.7153318906185,1,9,LP
rolling_scenario_mean14,development,2025-02-04,12,2,margin,11,37661.73618033147,37586.17807173125,37888.410506132146,12.83145916666706,2138.6830838717387,857.4145556206479,823.0365635643143,1,9,LP
rolling_scenario_mean14,development,2025-02-04,18,3,margin,10,19458.259595755575,19380.77170019406,19690.723282440133,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-05,0,0,margin,10,62664.74686673246,62379.77836161629,63519.65238208095,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-05,6,1,margin,11,54898.4026498929,54826.25479686619,55114.84620897303,454.3301233333304,464.7933126611782,448.79943509089514,428.7536236184019,1,9,LP
rolling_scenario_mean14,development,2025-02-05,12,2,margin,11,36966.51398870478,36800.44158143735,37464.73121050705,0.04876999999999043,2259.717890816183,1008.6075863458511,964.6675095999034,1,9,LP
rolling_scenario_mean14,development,2025-02-05,18,3,margin,10,19504.69756353316,19413.929714045084,19777.001111997382,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-06,0,0,margin,10,67288.99675576098,66873.00339387164,68536.976841429,0.0,0.0,0.0,0.0,0,9,LP
rolling_scenario_mean14,development,2025-02-06,6,1,margin,11,56410.90042784623,56312.77860783227,56705.26588788813,0.0,5834.145271176229,2618.636883394065,2406.144680328741,1,9,LP
rolling_scenario_mean14,development,2025-02-06,12,2,margin,11,36712.19274148196,36615.292897720836,37002.89227276533,3.4567033333336212,3133.1647000857733,1315.1890075154415,1246.4842918859677,1,9,LP
