strategy,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_scenario_mean14,development,2025-02-01,41975.53297082151,0.0,18187.899475396986,1040.4069326763858,0.0,19228.30640807337,1497.1100061419731,2107.215031481482,2119.6221033981474,2591.1146078103407,3,1,0
rolling_scenario_mean14,development,2025-02-02,86152.39899141644,0.0,60423.2272201212,2433.7146199243066,0.0,62856.94184004551,4337.3535022860715,0.0,2591.1146078103407,1991.5467536486515,3,3,0
rolling_scenario_mean14,development,2025-02-03,87463.41732531691,0.0,61964.92143646272,3218.226827364486,0.0,65183.14826382721,3060.755335785316,0.0,1991.5467536486515,1923.64898266709,3,3,0
rolling_scenario_mean14,development,2025-02-04,89907.56933389527,0.0,64525.88076800157,3180.4840997414685,0.0,67706.36486774303,4321.0536145747665,0.3517833333332874,1923.64898266709,2106.67898398148,3,2,0
rolling_scenario_mean14,development,2025-02-05,88486.15858487654,0.0,63467.71964570839,1457.4070214367462,0.0,64925.12666714514,3548.363210414948,2.052500000000009,2106.67898398148,2153.5677745925946,3,2,0
rolling_scenario_mean14,development,2025-02-06,87577.69756809327,4.617086666666637,62487.054689093064,3933.8258909095066,33.40462203333312,66454.28520203591,3271.984882476677,0.0,2153.5677745925946,2027.1980897185206,3,2,1
rolling_scenario_mean14,development,2025-02-07,41113.01382424331,0.0,17376.404704869317,1242.6619559684946,0.0,18619.066660837812,1677.0300731275765,4214.648089300415,2027.1980897185206,1855.6256165679026,3,2,0
rolling_scenario_mean14,development,2025-02-08,38415.46919819876,0.0,16194.690940484215,332.5609567558723,0.0,16527.251897240087,484.24503333333354,2645.23420888203,1855.6256165679026,1994.6582720740732,3,3,0
rolling_scenario_mean14,development,2025-02-09,87378.33488287241,0.0,61922.87250031199,2053.9190505273837,0.0,63976.79155083938,3870.9261551357986,0.0,1994.6582720740732,1819.1242695555527,3,2,0
rolling_scenario_mean14,development,2025-02-10,81088.14164632928,0.0,54767.2942684744,3361.6174863261267,0.0,58128.91175480052,2575.1455715843667,127.33024999999998,1819.1242695555527,1725.6557120370355,3,3,0
rolling_scenario_mean14,development,2025-02-11,81728.55346458765,0.0,55752.94297417894,2020.2225875140539,0.0,57773.16556169299,2376.6278855486894,0.0,1725.6557120370355,1616.345161592592,3,3,0
rolling_scenario_mean14,development,2025-02-12,81660.6296478339,0.0,55311.1014099762,2063.8270846119754,0.0,57374.92849458818,2045.3537288392524,0.0,1616.345161592592,1614.6407485185193,3,3,0
rolling_scenario_mean14,development,2025-02-13,78763.92521347184,15.444513333333475,52538.652292518396,1629.6604948722588,77.65501304000072,54245.967800430655,3032.647150506139,118.10408333333339,1614.6407485185193,1814.5811112518502,3,2,1
rolling_scenario_mean14,development,2025-02-14,38070.88358819333,0.0,16001.695520835394,240.55264808196765,0.0,16242.248168917362,643.3573134525899,4301.438408436205,1814.5811112518502,1663.6121934444443,3,3,0
