strategy,period,days,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,daily_cvar90,updates,changed_updates,emergency_slots
rolling_scenario_mean14,2025-02,28,1917050.1064602148,131.24273252000376,1229094.7110776973,46439.16807323154,681.5431858522802,1276215.4223367812,55624.68033862467,38008.70364597256,2119.6221033981474,1742.0660272518546,0.7695711805555556,1276476.9229845025,66538.2745288717,84,57,12
rolling_scenario_mean14,2025-03,31,1800583.1062266403,36.732187053332154,1072006.9567298812,66770.39064022002,227.43075493131232,1139004.7781250325,42107.65900980862,117048.65051052951,1742.0660272518546,1917.4864670654317,0.7255331989247312,1138890.2321074633,54163.1194827344,93,64,3
rolling_scenario_mean14,2025-04,30,1517776.0572652358,455.6448546472274,874613.6497663271,47776.75117282355,2072.62846703683,924463.0294061876,30840.60356867852,166126.87047212064,1917.4864670654317,1693.1472904864224,0.6988464120370371,924604.130171956,43274.00543129676,90,59,19
rolling_scenario_mean14,2025-05,31,1497093.5576518336,2470.2723578267137,884828.1672140763,43286.54200421495,12248.212284723604,940362.9215030147,24851.494373706217,190260.17424168726,1693.1472904864224,2465.47339927654,0.6912003360215054,939882.4726436923,42711.73510263732,93,72,36
rolling_scenario_mean14,2025-06,30,1977928.0107850165,3109.2056289988886,1310172.4505979836,81564.17802535597,16023.609690393372,1407760.238313733,67668.75358141246,56937.17441106175,2465.47339927654,2240.492880185187,0.7662756712962964,1407915.3957021986,63077.929716085,90,73,55
rolling_scenario_mean14,2025-07,31,2219732.0285271085,5735.132447431465,1604639.2087768666,86235.04804742908,29315.559104192394,1720189.815928488,82438.09378201365,90591.60116493824,2240.492880185187,2350.159147829005,0.8300811827956989,1720107.8872138453,75384.36305599549,93,79,96
rolling_scenario_mean14,2025-08,31,1936447.8616583468,602.1541238988855,1357696.390014097,60045.39583543665,4620.827854884904,1422362.6137044185,46219.64735471601,205685.7029155789,2350.159147829005,2341.972129475307,0.7864659722222223,1422368.4086346328,61668.64114835139,93,68,37
rolling_scenario_mean14,2025-09,30,1778875.8499622685,746.0905799555541,1145209.3906012834,53833.534336089506,3884.4980559504033,1202927.4229933233,114596.21133423348,176342.45801142935,2341.972129475307,2451.103143296297,0.7202801851851851,1202856.6785771633,51083.853123297835,90,71,14
rolling_scenario_mean14,2025-10,31,1750079.1756875098,255.61437668222175,1078403.1562154298,67430.15468337832,1280.1557089304251,1147113.4666077385,30198.415167809966,132347.5706348381,2451.103143296297,1646.8735347777774,0.7202710573476703,1147634.8035871687,51804.377403591556,93,78,8
rolling_scenario_mean14,2025-11,30,1995755.9707582584,383.6462839700189,1278679.4491949317,56397.51363958717,1693.9826920469723,1336770.9455265657,41206.63194155464,48139.54908656104,1646.8735347777774,1597.9057051432103,0.7610268287037036,1336804.4847754515,62299.44093370202,90,58,17
rolling_scenario_mean14,2025-12,31,2555389.884213292,5914.291615214242,1811509.6148090088,65391.242497509316,38208.29262078087,1915109.149927299,63128.06699941606,1341.989954836757,1597.9057051432103,1348.087187444445,0.8617168234767025,1915302.8954648643,83047.59070378172,93,68,51
