strategy,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_scenario_mean14,warmup,2025-01-01,84473.41829280899,6494.741429833332,68450.41827006984,6980.27942022569,41248.09771954271,116678.79540983825,0.0,0.0,6000.0,1200.0,3,3,35
rolling_scenario_mean14,warmup,2025-01-02,97824.75081056857,157.7891041666681,75645.99676580125,2305.265242568736,374.86440476042264,78326.1264131304,293.02369999999974,0.0,1200.0,1365.1683916666664,3,3,8
rolling_scenario_mean14,warmup,2025-01-03,90937.38099331528,0.0,54667.92883050206,2648.9933638019606,0.0,57316.92219430402,31331.135971947868,4707.5778,1365.1683916666664,8262.900507983537,3,3,0
rolling_scenario_mean14,warmup,2025-01-04,69414.88236261773,0.0,40518.97178996644,2304.249755244684,0.0,42823.22154521113,20509.00539032236,4544.029799999999,8262.900507983537,6082.985622950619,3,2,0
rolling_scenario_mean14,warmup,2025-01-05,79328.54463069756,10045.169084270681,64512.839371947994,8475.93010320774,62773.5482068823,135762.31768203803,0.0,0.0,6082.985622950619,1200.0,3,3,47
rolling_scenario_mean14,warmup,2025-01-06,99769.83739978257,0.0,77831.36414073466,1687.6225243300712,0.0,79518.98666506473,3948.219029807958,0.0,1200.0,1894.7035344351866,3,3,0
rolling_scenario_mean14,warmup,2025-01-07,103316.54252363888,0.0,81471.82852009666,2331.499318352392,0.0,83803.32783844905,5842.792858504797,0.0,1894.7035344351866,2510.332331435184,3,2,0
rolling_scenario_mean14,warmup,2025-01-08,101387.84619229948,0.0,79284.00714982858,4595.173158901296,0.0,83879.18030872988,7355.453275777337,0.0,2510.332331435184,2836.38996886905,3,2,0
rolling_scenario_mean14,warmup,2025-01-09,101778.61232314569,0.0,80604.39748027793,1821.2674720997354,0.0,82425.66495237766,6661.763102483832,0.0,2836.38996886905,2743.130003597884,3,2,0
rolling_scenario_mean14,warmup,2025-01-10,98147.03653638007,0.0,59088.78088699249,4314.730001865092,0.0,63403.510888857585,39126.531266359976,4626.603016666666,2743.130003597884,9354.267226805548,3,2,0
rolling_scenario_mean14,warmup,2025-01-11,91260.698234143,0.0,58001.02955063279,2228.1304597039602,0.0,60229.16001033675,39716.89680726176,5610.417316666667,9354.267226805548,9027.50840087963,3,2,0
rolling_scenario_mean14,warmup,2025-01-12,95236.03005463697,0.0,78335.24025110979,3194.98836240101,0.0,81530.2286135108,7447.265133203504,0.0,9027.50840087963,2640.616872447092,3,2,0
rolling_scenario_mean14,warmup,2025-01-13,99900.67790581765,0.0,78218.25424210979,2707.212982197557,0.0,80925.46722430734,7948.718255516361,0.0,2640.616872447092,2288.0283917724905,3,2,0
rolling_scenario_mean14,warmup,2025-01-14,96320.65559041822,0.0,73706.15965559073,2462.329001115131,0.0,76168.48865670586,3367.9233644934366,0.0,2288.0283917724905,1577.030236492064,3,2,0
rolling_scenario_mean14,warmup,2025-01-15,105878.91574406138,0.0,83948.43372300865,2327.828541232899,0.0,86276.26226424155,10001.987654908582,0.0,1577.030236492064,3249.668779009126,3,3,0
rolling_scenario_mean14,warmup,2025-01-16,103094.5299052858,0.0,81348.59621494755,3348.1419578793652,0.0,84696.73817282692,9837.398353504803,0.0,3249.668779009126,3538.8401813563014,3,2,0
rolling_scenario_mean14,warmup,2025-01-17,55707.698916226684,0.0,28525.29503162532,762.9755230789576,0.0,29288.270554704275,6174.7268662316355,3423.108833333333,3538.8401813563014,3898.738371488536,3,1,0
rolling_scenario_mean14,warmup,2025-01-18,55513.12143752508,0.0,28556.859336675876,1291.5293607764731,0.0,29848.38869745235,5540.822349181859,3711.8559,3898.738371488536,3919.2039469555543,3,2,0
rolling_scenario_mean14,warmup,2025-01-19,101951.92229223922,0.0,81015.16737338013,3205.7672401899367,0.0,84220.93461357006,9898.988480816977,0.0,3919.2039469555543,3383.367856452645,3,3,0
rolling_scenario_mean14,warmup,2025-01-20,100492.21190895156,0.0,78956.26161889105,1717.4627715553065,0.0,80673.72439044635,8206.833365516326,0.0,3383.367856452645,3612.4475332804254,3,3,0
rolling_scenario_mean14,warmup,2025-01-21,97645.72387367244,0.0,74904.14495195315,3044.830037583679,0.0,77948.97498953683,10147.920562306486,27.84333333333325,3612.4475332804254,3869.471111393389,3,2,0
rolling_scenario_mean14,warmup,2025-01-22,101010.67453342631,0.0,79417.63086810731,2045.0528417773205,0.0,81462.68370988463,8878.152409641389,0.0,3869.471111393389,3198.694456031747,3,2,0
rolling_scenario_mean14,warmup,2025-01-23,93764.35796384017,0.0,72222.2089113856,2623.7732637976233,0.0,74845.98217518324,1356.2501701552203,0.0,3198.694456031747,1629.2654946165062,3,3,0
rolling_scenario_mean14,warmup,2025-01-24,45354.38663324874,0.0,20585.16020348018,664.4530791477658,0.0,21249.613282627946,955.3376344824387,268.68933888889,1629.2654946165062,1974.5167175185177,3,3,0
rolling_scenario_mean14,warmup,2025-01-25,44546.31357951701,0.0,19974.04004261807,938.2930743071872,0.0,20912.33311692526,1242.3204266117957,1324.3368162208474,1974.5167175185177,1758.8469358040536,3,2,0
rolling_scenario_mean14,warmup,2025-01-26,94703.57518806476,0.0,71437.28610631052,3538.7321176557593,0.0,74976.01822396628,2469.341712996704,0.0,1758.8469358040536,1840.6841632469136,3,2,0
rolling_scenario_mean14,warmup,2025-01-27,90000.26065575273,0.0,66117.40565321769,2929.1190830885557,0.0,69046.52473630625,1730.2164138202977,0.0,1840.6841632469136,1706.1038614320987,3,2,0
rolling_scenario_mean14,warmup,2025-01-28,92744.51963058984,0.0,68400.86011403926,2097.6585073511233,0.0,70498.51862139038,1309.8607206035635,0.0,1706.1038614320987,1646.6962893518476,3,2,0
