method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
blend_a000,development,2,28,1551890.310781276,5350.602847455227,903173.2120824587,34051.217471222444,937224.4295536813,73659.046717639,161866.81795605292,502531.2625604385,407141.23150539905,937289.1283088902,3225.7401396730165,3124.730326957675,14,8,7.16227077646181e-11
blend_a000,validation,2,28,1937897.733262314,2758.770674650464,1324247.3933990519,21358.587987657993,1345605.98138671,150391.8160927678,129106.82096874075,497553.0824346149,401487.5074758257,1344430.943123603,3959.5157250529114,5660.0593875111135,40,5,3.9449332689400766e-12
blend_a000,evaluation,2,28,2018921.0140286905,338.4003679999983,1369985.812559419,1839.9267120493244,1371825.7392714685,119189.48964285711,99132.5201810523,559788.682066829,454685.81946071424,1372676.9686900019,6237.627060207406,4840.974852893127,8,4,2.595470505184494e-10
blend_a025,development,2,28,1552193.875974631,5064.244900898085,902874.9294471021,32220.101581962797,935095.0310290649,73194.22852952025,161941.9964056614,504672.56248311105,408875.6844427638,935159.7297842738,3225.7401396730165,3124.730326957675,14,8,1.1118572729174048e-10
blend_a025,validation,2,28,1938694.1665897672,2761.5586428809324,1321931.2597720607,19568.888593275115,1341500.1483653358,150745.90403094474,129404.25647659966,499026.13809098233,402812.8652825453,1340425.7898746391,3959.5157250529114,5513.189692997885,43,5,6.536993168992922e-12
blend_a025,evaluation,2,28,2019076.4314233772,981.1963139952388,1368924.0557798904,5292.7905646217005,1374216.8463445122,120143.18356744267,99094.73420543325,559169.2367600681,454184.0687622381,1375068.0757630456,6237.627060207406,4840.974852893127,11,4,5.60476109967567e-11
blend_a050,development,2,28,1553214.7150858622,5074.9309484780815,903048.2724970353,32005.301202279315,935053.5736993147,73438.03054041971,161769.67163437506,509725.4462683656,412968.52030881995,935118.2724545237,3225.7401396730165,3124.730326957675,16,8,5.6009715384182826e-11
blend_a050,validation,2,28,1938567.8291292852,2424.941121475216,1320258.020906391,16419.812421262784,1336677.833327654,149249.42582947333,130660.66578156027,497853.05343110516,401862.6667080447,1335603.4748369574,3959.5157250529114,5513.189692997885,40,5,3.3026026358129457e-11
blend_a050,evaluation,2,28,2019089.6210565672,1010.5277346666652,1368924.6975939486,5456.870531857659,1374381.5681258063,120222.9229078001,99107.20686132391,558907.705484348,453972.2284289048,1375232.7975443397,6237.627060207406,4840.974852893127,11,4,5.900346877751872e-11
blend_a075,development,2,28,1553227.4089398282,5011.731146859038,903162.8939071426,31856.200143874095,935019.0940510167,73420.19265203406,161704.89647137333,509894.4310248618,413105.39796158194,935083.7928062256,3225.7401396730165,3124.730326957674,16,8,7.747126397185235e-11
