method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
blend_a000,dev_march,development,14,862499.650172526,124.16455175904503,514942.2950446329,800.7892815968004,515743.08432622976,52151.87319948142,53719.91850791769,266101.3455022669,215593.5356687143,1607.6682326867735,1550.5062194888894,0.7306390376984127,515780.672644714,3,4,3.069544618483633e-12
blend_a000,dev_april,development,14,689390.6606087501,5226.438295696182,388230.9170378258,33250.42818962564,421481.3452274515,21507.173518157575,108146.89944813523,236429.91705817162,191547.69583668475,1618.0719069862432,1574.2241074687856,0.6869833333333333,421508.45566417614,11,4,7.16227077646181e-11
blend_a000,val_june,validation,14,1020426.3562151475,98.94922438095239,683167.6799039962,685.0159083032381,683852.6958122994,119541.84857757557,43455.0691976167,244697.9680507172,196862.40953638093,1781.3549957153423,3273.515645382012,0.7637298611111111,682827.0489311465,9,1,2.5579538487363607e-12
blend_a000,val_august,validation,14,917471.3770471663,2659.821450269512,641079.7134950558,20673.572079354755,661753.2855744106,30849.96751519224,85651.75177112405,252855.1143838977,204625.09793944476,2178.160729337569,2386.5437421291017,0.7965640873015873,661603.8941924565,31,4,3.9449332689400766e-12
blend_a000,eval_september,evaluation,14,828108.9719726166,310.38018333333156,527712.6044541514,1632.7536600333237,529345.3581141847,50358.51697889947,93039.34928527806,241802.04155820102,197490.60166642856,4786.2408636984155,2974.0764144920645,0.7184592261904762,530517.1277553007,6,4,2.595470505184494e-10
blend_a000,eval_december,evaluation,14,1190812.042056074,28.02018466666675,842273.2081052677,207.1730520160006,842480.3811572837,68830.97266395764,6093.170895774245,317986.64050862787,257195.2177942857,1451.3861965089911,1866.898438401062,0.857148759920635,842159.840934701,2,0,1.0231815394945443e-12
blend_a025,dev_march,development,14,862499.650172526,124.16455175904503,514791.2551630627,800.7892815968004,515592.0444446595,52077.366657462604,53769.93131896296,266230.25987581187,215697.9563112857,1607.6682326867735,1550.5062194888894,0.7306390376984127,515629.63276314375,3,4,3.069544618483633e-12
blend_a025,dev_april,development,14,689694.2258021048,4940.08034913904,388083.67428403936,31419.312300365997,419502.98658440536,21116.861872057638,108172.06508669844,238442.30260729918,193177.72813147807,1618.0719069862432,1574.2241074687856,0.6869833333333333,419530.09702113003,11,4,1.1118572729174048e-10
blend_a025,val_june,validation,14,1020644.1351716379,98.94922438095239,682610.4570575104,685.0159083032381,683295.4729658137,119525.41039853856,43948.481592331584,244073.10076333917,196496.73750819045,1781.3549957153423,3117.437340286773,0.7637298611111111,682377.1075807064,9,1,6.536993168992922e-12
blend_a025,val_august,validation,14,918050.0314181292,2662.60941849998,639320.8027145503,18883.872684971877,658204.6753995221,31220.493632406196,85455.77488426807,254953.03732764316,206316.12777435483,2178.160729337569,2395.7523527111116,0.7965640873015873,658048.6822939328,34,4,5.4569682106375694e-12
blend_a025,eval_september,evaluation,14,828264.3893673033,953.1761293285721,527796.4133968254,5085.6175126057,532882.0309094312,51186.95296598236,93001.56330965902,241841.8485540858,197522.84533309523,4786.2408636984155,2974.0764144920645,0.7184592261904762,534053.8005505472,9,4,5.60476109967567e-11
blend_a025,eval_december,evaluation,14,1190812.042056074,28.02018466666675,841127.642383065,207.1730520160006,841334.815435081,68956.23060146031,6093.170895774245,317327.38820598234,256661.22342914285,1451.3861965089911,1866.898438401062,0.857148759920635,841014.2752124984,2,0,1.0231815394945443e-12
blend_a050,dev_march,development,14,862942.1739852838,124.16455175904503,514807.3593255061,800.7892815968004,515608.1486071029,52376.1162160846,53507.140794459716,268370.0745002281,217431.20615706284,1607.6682326867735,1550.5062194888894,0.7306390376984127,515645.7369255872,3,4,9.322320693172514e-12
blend_a050,dev_april,development,14,690272.5411005785,4950.7663967190365,388240.9131715293,31204.511920682515,419445.4250922118,21061.91432433512,108262.53083991536,241355.37176813753,195537.31415175713,1618.0719069862432,1574.2241074687856,0.6869833333333333,419472.5355289365,13,4,5.6009715384182826e-11
blend_a050,val_june,validation,14,1019937.7341179211,98.94922438095239,681642.5060859184,685.0159083032381,682327.5219942217,118185.12888958384,45132.50288788831,241177.62265639854,194151.40024156854,1781.3549957153423,3117.437340286773,0.7637298611111111,681409.1566091144,9,1,1.6086687537608668e-11
blend_a050,val_august,validation,14,918630.0950113642,2325.9918970942635,638615.5148204728,15734.796512959547,654350.3113334323,31064.296939889486,85528.16289367195,256675.43077470662,207711.2664664762,2178.160729337569,2395.7523527111116,0.7965640873015873,654194.318227843,31,4,3.3026026358129457e-11
blend_a050,eval_september,evaluation,14,828270.4784764473,982.5075499999984,527720.2723832293,5249.697479841659,532969.969863071,51235.89788742855,93014.03596554967,241705.0219881834,197412.01581471428,4786.2408636984155,2974.0764144920645,0.7184592261904762,534141.739504187,9,4,5.900346877751872e-11
blend_a050,eval_december,evaluation,14,1190819.14258012,28.02018466666675,841204.4252107192,207.1730520160006,841411.5982627353,68987.02502037154,6093.170895774245,317202.68349616457,256560.21261419047,1451.3861965089911,1866.898438401062,0.857148759920635,841091.0580401527,2,0,1.0231815394945443e-12
blend_a075,dev_march,development,14,862949.5681719081,118.95763139904466,514855.6349009418,766.3507103357576,515621.9856112776,52399.367906310355,53445.36137170252,268584.3639675744,217604.78062561335,1607.6682326867735,1550.5062194888894,0.7306390376984127,515659.5739297618,3,4,2.021099337273174e-12
blend_a075,dev_april,development,14,690277.84076792,4892.773515459993,388307.2590062008,31089.849433538337,419397.10843973915,21020.82474572371,108259.5350996708,241310.06705728744,195500.61733596856,1618.0719069862432,1574.2241074687847,0.6869833333333333,419424.2188764638,13,4,7.747126397185235e-11
blend_a075,val_june,validation,14,1019628.3471345855,95.86818352380942,681415.5592094077,663.9693182080946,682079.5285276158,118315.44729355797,45152.50943584951,238741.87015046086,192178.44071175903,1781.3549957153423,3117.437340286773,0.7637298611111111,681161.1631425085,8,1,1.1368683772161603e-12
