method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed,development,2,28,1551890.310781276,5350.602847455227,903173.2120824587,34051.217471222444,937224.4295536813,73659.046717639,161866.81795605292,502531.2625604385,407141.23150539905,937289.1283088902,3225.7401396730165,3124.730326957675,14,8,7.16227077646181e-11
fixed,validation,2,28,1937897.733262314,2758.770674650464,1324247.3933990519,21358.587987657993,1345605.98138671,150391.8160927678,129106.82096874075,497553.0824346149,401487.5074758257,1344430.943123603,3959.5157250529114,5660.0593875111135,40,5,3.9449332689400766e-12
fixed,evaluation,2,28,2018921.0140286905,338.4003679999983,1369985.812559419,1839.9267120493244,1371825.7392714685,119189.48964285711,99132.5201810523,559788.682066829,454685.81946071424,1372676.9686900019,6237.627060207406,4840.974852893127,8,4,2.595470505184494e-10
mean7,development,2,28,1552925.1643495236,5009.490145732369,903114.0342114887,31800.17924191044,934914.2134533991,72285.0070936061,162299.7893333098,510831.7488140058,413806.90864566574,934939.261780394,3225.7401396730165,3188.860021538627,17,8,7.044320682325633e-11
mean7,validation,2,28,1935944.158871465,2427.455443260931,1319885.5821207669,16470.859840815134,1336356.4419615818,146834.16311770494,132799.99988399766,485509.7517116107,391864.59231525427,1335282.0834708852,3959.5157250529114,5513.189692997885,40,5,8.736833478906192e-11
mean7,evaluation,2,28,2012888.3946760378,1004.1527346666652,1367175.2922501243,5412.790594357659,1372588.082844482,115123.82428724633,99260.03625428793,552074.3842973227,448400.239394819,1373412.7300816406,6237.627060207406,4882.08471133228,10,4,4.663595626671179e-12
mean14,development,2,28,1552912.2645076918,4956.9399850114205,902724.781762094,31515.78192172364,934240.5636838176,72101.00022517574,162191.15014171076,512028.517442234,414776.48121641716,934265.7425252025,3225.7401396730165,3188.6489305534415,17,8,7.747126397185235e-11
mean14,validation,2,28,1936848.51702085,2348.4670311495024,1319408.63088842,15972.976054675724,1335381.6069430956,147777.02044616232,131991.40872880426,489147.1388906102,394810.87593024375,1334307.248452399,3959.5157250529114,5513.189692997885,39,5,4.092726157978177e-12
mean14,evaluation,2,28,2014268.4592713423,1004.1527346666652,1367055.907670631,5412.790594357659,1372468.6982649886,116739.51418120044,99314.12391456202,550623.8801403563,447239.44819677615,1373303.4881125349,6237.627060207406,4866.398967887835,10,4,4.042198674546348e-12
rolling_cost_selector,development,2,28,1552723.685770334,5006.780172374278,902534.4321966819,31847.789662295374,934382.2218589771,72809.89304007993,161964.1737811076,509064.68448928744,412433.30326776666,934446.9206141861,3225.7401396730165,3124.730326957675,14,8,1.1118572729174048e-10
rolling_cost_selector,validation,2,28,1937327.400878078,2348.4670311495024,1320009.3606298082,15972.976054675724,1335982.336684484,147858.7527301788,132002.9161199471,491176.84511202463,396454.9379695895,1334907.9781937874,3959.5157250529114,5513.189692997885,39,5,8.736833478906192e-11
rolling_cost_selector,evaluation,2,28,2013447.0413964328,1004.1527346666652,1366925.4952715929,5412.790594357659,1372338.2858659506,115808.61174930393,99260.03625428793,551410.4856569935,447862.48149615235,1373162.9331031092,6237.627060207406,4882.08471133228,10,4,4.663595626671179e-12
load_scenario_selector,development,2,28,1552912.2645076918,4956.9399850114205,902724.781762094,31515.78192172364,934240.5636838176,72101.00022517574,162191.15014171076,512028.517442234,414776.48121641716,934265.7425252025,3225.7401396730165,3188.6489305534415,17,8,1.1118572729174048e-10
load_scenario_selector,validation,2,28,1937086.8406760544,2730.7684349333144,1319647.198343283,19298.309067343365,1338945.5074106264,148349.53125722051,131440.70807623985,491559.47797433974,396624.400113479,1337763.8674238843,3959.5157250529114,5669.267998093123,41,5,3.98535525568554e-12
load_scenario_selector,evaluation,2,28,2013994.6207581148,1004.1527346666652,1367069.4896841429,5412.790594357659,1372482.2802785006,116423.50580447854,99314.12391456202,550845.8267903267,447419.22498325235,1373317.070126047,6237.627060207406,4866.398967887835,10,4,1.6370904631912708e-11
joint_scenario_selector,development,2,28,1552985.9135903763,4956.9399850114205,902814.9101207152,31515.78192172364,934330.6920424388,71977.59301527803,162293.96630923456,512524.51810043503,415178.24174956,934355.8708838234,3225.7401396730165,3188.6489305534415,17,8,5.6009715384182826e-11
joint_scenario_selector,validation,2,28,1936799.148317517,2746.4940599809333,1319907.3854768462,19430.768246655887,1339338.153723502,148148.8311586385,131535.6479668748,490684.7067872733,395915.8354519552,1338156.51373676,3959.5157250529114,5669.267998093123,41,5,3.98535525568554e-12
joint_scenario_selector,evaluation,2,28,2012704.3219728433,1004.1527346666652,1366881.012853128,5412.790594357659,1372293.8034474854,115070.32143509111,99261.0067562068,551456.3675401739,447913.76299062854,1373128.5932950317,6237.627060207406,4866.398967887835,10,4,4.663595626671179e-12
