selector,target_date,history_start,history_end,candidate,score,chosen
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,fixed,44099.8238837612,0
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,blend25,44081.50453365575,0
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,blend50,44072.79878551967,0
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,blend75,44049.17257277962,0
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,mean14,44024.67318254667,1
rolling_cost_selector,2025-03-07,2025-02-07,2025-03-06,mean7,44088.92815915771,0
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,fixed,43948.729871412914,0
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,blend25,43929.06341953517,0
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,blend50,43920.35767139908,0
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,blend75,43897.93232143358,0
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,mean14,43873.82013698693,1
rolling_cost_selector,2025-03-08,2025-02-08,2025-03-07,mean7,43937.95663311709,0
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,fixed,43805.068150670435,0
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,blend25,43786.51330933145,0
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,blend50,43777.090732086435,0
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,blend75,43754.64735216447,0
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,mean14,43730.53516771782,1
rolling_cost_selector,2025-03-09,2025-02-09,2025-03-08,mean7,43796.16364109858,0
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,fixed,43332.73694608354,0
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,blend25,43316.6196612657,0
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,blend50,43307.575791913354,0
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,blend75,43284.96681501183,0
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,mean14,43255.85765049635,1
rolling_cost_selector,2025-03-10,2025-02-10,2025-03-09,mean7,43320.555558634966,0
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,fixed,42936.38377640171,0
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,blend25,42922.24320116827,0
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,blend50,42913.76258289743,0
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,blend75,42894.019209960716,0
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,mean14,42863.28590016869,1
rolling_cost_selector,2025-03-11,2025-02-11,2025-03-10,mean7,42922.38117847026,0
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,fixed,42502.28834203648,0
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,blend25,42486.851079300344,0
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,blend50,42476.79326356701,0
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,blend75,42460.05201854019,0
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,mean14,42426.92523149835,1
rolling_cost_selector,2025-03-12,2025-02-12,2025-03-11,mean7,42485.01203189931,0
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,fixed,42085.31109384722,0
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,blend25,42070.76350947188,0
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,blend50,42059.33380511727,0
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,blend75,42044.06941556411,0
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,mean14,42010.02942972846,1
rolling_cost_selector,2025-03-13,2025-02-13,2025-03-12,mean7,42066.61926154676,0
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,fixed,41734.91970814037,0
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,blend25,41719.95822195111,0
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,blend50,41707.77453401974,0
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,blend75,41695.7978752069,0
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,mean14,41652.26527842024,1
rolling_cost_selector,2025-03-14,2025-02-14,2025-03-13,mean7,41705.49606826903,0
rolling_cost_selector,2025-03-15,2025-02-15,2025-03-14,fixed,41619.25974806824,0
rolling_cost_selector,2025-03-15,2025-02-15,2025-03-14,blend25,41605.11639069548,0
rolling_cost_selector,2025-03-15,2025-02-15,2025-03-14,blend50,41593.86669138551,0
