date,candidate,inventory_adjusted_cost
2025-02-07,blend25,18206.56841465793
2025-02-07,blend50,18206.56841465793
2025-02-07,blend75,18201.58999151021
2025-02-07,fixed,18133.682898367126
2025-02-07,mean14,18201.58999151021
2025-02-07,mean7,18239.9778720782
2025-02-08,blend25,17589.517664840652
2025-02-08,blend50,17609.001149499392
2025-02-08,blend75,17609.001149499392
2025-02-08,fixed,17592.279319853507
2025-02-08,mean14,17609.001149499392
2025-02-08,mean7,17592.061960759274
2025-02-09,blend25,62025.88760927977
2025-02-09,blend50,62025.88760927977
2025-02-09,blend75,62025.88760927977
2025-02-09,fixed,62059.45980029801
2025-02-09,mean14,62018.7072045788
2025-02-09,mean7,62036.50369371169
2025-02-10,blend25,60406.04551319788
2025-02-10,blend50,60390.27448291588
2025-02-10,blend75,60314.3001337857
2025-02-10,fixed,60450.976714893884
2025-02-10,mean14,60269.15725391431
2025-02-10,mean7,60370.06117348892
2025-02-11,blend25,60260.6060818175
2025-02-11,blend50,60284.68797893839
2025-02-11,blend75,60256.72414079554
2025-02-11,fixed,60204.79883174199
2025-02-11,mean14,60216.345877320964
2025-02-11,mean7,60240.16727501038
2025-02-12,blend25,58814.58831310483
2025-02-12,blend50,58861.081713617124
2025-02-12,blend75,58817.91459655022
2025-02-12,fixed,58847.42164643817
2025-02-12,mean14,58776.246778220266
2025-02-12,mean7,58848.874167249254
2025-02-13,blend25,57826.12062911808
2025-02-13,blend50,57845.45417342473
2025-02-13,blend75,57756.35927835815
2025-02-13,fixed,57864.776676747446
2025-02-13,mean14,57832.92413968206
2025-02-13,mean7,57979.9125336029
2025-02-14,blend25,15999.091122827263
2025-02-14,blend50,15999.091122827263
2025-02-14,blend75,15999.091122827263
2025-02-14,fixed,16036.48356668994
2025-02-14,mean14,15999.091122827263
2025-02-14,mean7,15979.19598214721
2025-02-15,blend25,16215.31769279081
2025-02-15,blend50,16215.31769279081
2025-02-15,blend75,16215.31769279081
2025-02-15,fixed,16267.86398390569
2025-02-15,mean14,16215.31769279081
2025-02-15,mean7,16245.234359457476
2025-02-16,blend25,56215.436290230224
2025-02-16,blend50,56167.51038236203
2025-02-16,blend75,56089.64370453207
2025-02-16,fixed,56242.00673844229
2025-02-16,mean14,56088.816101518416
2025-02-16,mean7,56156.6509160198
2025-02-17,blend25,55717.34056534053
2025-02-17,blend50,55738.568994093264
2025-02-17,blend75,55692.9598593008
2025-02-17,fixed,55685.754246747725
2025-02-17,mean14,55706.48497887461
2025-02-17,mean7,55779.04560326225
2025-02-18,blend25,54199.84089098845
2025-02-18,blend50,54205.01092911369
2025-02-18,blend75,54193.96136540923
2025-02-18,fixed,54255.714688023596
2025-02-18,mean14,54166.22218014163
2025-02-18,mean7,54330.62010537327
2025-02-19,blend25,54423.578582651
2025-02-19,blend50,54420.186029818506
2025-02-19,blend75,54320.54959080723
2025-02-19,fixed,54412.80914951299
2025-02-19,mean14,54328.220146138316
2025-02-19,mean7,54594.29982048707
2025-02-20,blend25,54338.02193353898
2025-02-20,blend50,54372.52751567046
2025-02-20,blend75,54399.48228580348
2025-02-20,fixed,54444.30376173703
2025-02-20,mean14,54379.36130365918
2025-02-20,mean7,54424.91477918403
2025-02-21,blend25,15521.069131488668
2025-02-21,blend50,15512.21166451219
2025-02-21,blend75,15512.21166451219
2025-02-21,fixed,15531.661418721693
2025-02-21,mean14,15512.649635504538
2025-02-21,mean7,15503.538120574916
2025-02-22,blend25,15258.914195819596
2025-02-22,blend50,15256.452869525738
2025-02-22,blend75,15249.269061728039
2025-02-22,fixed,15254.204849860738
2025-02-22,mean14,15249.269061728039
2025-02-22,mean7,15312.313822414479
2025-02-23,blend25,52782.45844522928
2025-02-23,blend50,52786.92013626943
2025-02-23,blend75,52724.47547569408
2025-02-23,fixed,52840.874231333735
2025-02-23,mean14,52673.79398044787
2025-02-23,mean7,52840.386986776924
2025-02-24,blend25,52027.05676462044
2025-02-24,blend50,51999.88847448525
2025-02-24,blend75,51948.13449277748
2025-02-24,fixed,52021.476880265676
2025-02-24,mean14,51998.412609334555
2025-02-24,mean7,52008.154455378375
2025-02-25,blend25,50922.83775695514
2025-02-25,blend50,50928.33837948679
2025-02-25,blend75,50888.15989583701
2025-02-25,fixed,50914.974417697355
2025-02-25,mean14,50894.895476210266
2025-02-25,mean7,50927.02330835944
2025-02-26,blend25,50723.10220341113
2025-02-26,blend50,50734.52101338447
2025-02-26,blend75,50775.59148332901
2025-02-26,fixed,50757.042570281905
2025-02-26,mean14,50799.010923896065
2025-02-26,mean7,50924.05982000968
2025-02-27,blend25,49349.24863091117
2025-02-27,blend50,49349.24863091117
2025-02-27,blend75,49349.24863091117
2025-02-27,fixed,49372.88341832572
2025-02-27,mean14,49311.15477542952
2025-02-27,mean7,49418.38555069845
2025-02-28,blend25,14439.382773703786
2025-02-28,blend50,14367.133261199753
2025-02-28,blend75,14361.799927866421
2025-02-28,fixed,14435.132773703785
2025-02-28,mean14,14361.79992786642
2025-02-28,mean7,14448.837898628417
2025-03-01,blend25,14126.600732706918
2025-03-01,blend50,14121.219395609076
2025-03-01,blend75,14098.915732868043
2025-03-01,fixed,14183.24690510091
2025-03-01,mean14,14098.915732868043
2025-03-01,mean7,14114.350732706918
2025-03-02,blend25,64503.0157546425
2025-03-02,blend50,64363.41455152872
2025-03-02,blend75,64352.842718459295
2025-03-02,fixed,64491.84285962407
2025-03-02,mean14,63865.879264498784
2025-03-02,mean7,64031.34452265237
2025-03-03,blend25,59593.461391898534
2025-03-03,blend50,59492.46468886803
