method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,predicted_plan_cost,actual_mean_price,forecast_mean_price,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
fixed_attachment1,dev_march,development,2025-03-07,1607.6682326867735,1799.9208019068776,34105.28322439623,0.0,14008.337912463985,0.0,14008.337912463985,531.8709466337457,9508.771124961786,15628.043721943555,12485.688102476191,17721.275919301814,0.6085013888888889,0.7661972222222223,0,MILP,0.10646219999762252,1.6484591469634324e-12,0
fixed_attachment1,dev_march,development,2025-03-08,1799.9208019068776,1746.895154250794,32969.960558318635,0.0,13541.24789812807,0.0,13541.24789812807,563.4289694779532,10443.300079954148,15514.816184791303,12614.724192571428,17189.87143889511,0.5972631944444444,0.7661972222222223,0,MILP,0.0808277000032831,1.8189894035458565e-12,0
fixed_attachment1,dev_march,development,2025-03-09,1746.895154250794,1497.0878818254,76750.47358346672,0.0,48657.96499606651,0.0,48657.96499606651,7712.446859951785,2236.020816666666,19438.46001069019,15969.979153841903,47175.12314788354,0.7838090277777777,0.7661972222222223,0,LP,0.004419999982928857,9.094947017729282e-13,0
fixed_attachment1,dev_march,development,2025-03-10,1497.0878818254,1447.0377217671992,75521.66717870541,0.0,49316.9414253954,0.0,49316.9414253954,3105.24458788124,360.69671666666625,21361.57667478895,17347.922250631425,46203.5632776528,0.802451388888889,0.7661972222222223,0,LP,0.0046135000011418015,6.821210263296962e-13,0
fixed_attachment1,dev_march,development,2025-03-11,1447.0377217671992,1662.895132055023,75262.66522095354,0.0,48203.48337611959,0.0,48203.48337611959,5802.47982500058,1440.661016666667,20454.38900014344,16373.783420857144,45863.8744789865,0.7893930555555556,0.7661972222222223,0,LP,0.004376299999421462,7.736034035588091e-13,0
fixed_attachment1,dev_march,development,2025-03-12,1662.895132055023,1466.3308394402127,74693.54267349679,0.0,47034.040833374136,0.0,47034.040833374136,6507.771753599042,2172.9285666666665,19759.029122373904,16181.721452476197,45572.822798988724,0.7801680555555556,0.7661972222222223,0,LP,0.00428480000118725,9.094947017729282e-13,0
fixed_attachment1,dev_march,development,2025-03-13,1466.3308394402127,1411.4148678222232,73995.93129645856,73.52254619047426,47548.45323696023,465.8430567662733,48014.2962937265,2437.0919926325587,0.0,21769.30635687361,17682.562523523808,45105.1792037283,0.7996374999999999,0.7661972222222223,2,LP,0.004593999998178333,1.0231815394945443e-12,0
fixed_attachment1,dev_march,development,2025-03-14,1411.4148678222232,1920.35807457037,32440.350287762503,0.0,13068.888752193583,0.0,13068.888752193583,386.3359957801317,12578.228842984125,15727.95041890299,12281.590953238094,16812.55007279237,0.5913868055555556,0.7661972222222223,0,MILP,0.10263949999352917,1.5347723092418164e-12,0
fixed_attachment1,dev_march,development,2025-03-15,1920.35807457037,1370.7079328285708,31490.085345136973,0.0,13187.485332857166,0.0,13187.485332857166,542.021766380952,7684.6754266843045,14915.516471786003,12576.253469714287,16414.90883155408,0.6047722222222222,0.7661972222222223,0,MILP,0.08756940002785996,3.069544618483633e-12,0
fixed_attachment1,dev_march,development,2025-03-16,1370.7079328285708,1822.317553566139,73654.39127774484,0.0,46140.495111215314,0.0,46140.495111215314,5546.367084458558,488.8266500000001,20324.747112048208,16056.596502095239,44724.493824988866,0.784895138888889,0.7661972222222223,0,LP,0.004802800016477704,9.094947017729282e-13,0
