method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed_attachment1,development,2,28,1551890.310781276,5350.602847455227,903173.2120824589,34051.21747122244,937224.4295536813,73659.046717639,161866.81795605292,502531.2625604385,407141.23150539905,937289.1283088903,3225.7401396730165,3124.730326957675,14,8,7.16227077646181e-11
fixed_attachment1,validation,2,28,1937897.733262314,2758.770674650463,1324247.3933990519,21358.58798765799,1345605.98138671,150391.8160927678,129106.82096874072,497553.0824346149,401487.5074758257,1344430.9431236028,3959.5157250529114,5660.0593875111135,40,5,3.9449332689400766e-12
fixed_attachment1,evaluation,2,28,2018921.0140286903,338.4003679999983,1369985.8125594188,1839.9267120493246,1371825.739271468,119189.48964285714,99132.5201810523,559788.6820668288,454685.8194607143,1372676.9686900014,6237.627060207406,4840.974852893127,8,4,2.595470505184494e-10
lag1,development,2,28,1557124.270203272,5007.295479693324,907485.2311163641,31581.406538632033,939066.6376549962,71066.24139932112,163315.31127138747,534127.073174341,432702.0780620838,939109.4147165344,3225.7401396730165,3160.019260931219,16,8,4.729372449219227e-11
lag1,validation,2,28,1941516.0037680524,2486.412069053313,1323093.3934399518,17183.951182688586,1340277.3446226404,149711.17063605765,130461.6094638392,511369.04738324974,412631.70356270764,1339067.3305469498,3959.5157250529114,5711.987744747093,41,5,1.1937117960769683e-11
lag1,evaluation,2,28,2021040.60254979,1004.1527346666652,1371154.364713674,5412.790594357659,1376567.1553080317,116981.83115302173,98844.0728835855,587699.5394000304,477315.23011884757,1377443.1472718886,6237.627060207406,4816.956832626459,10,4,9.634876299216198e-12
mean7,development,2,28,1552925.1643495234,5009.490145732368,903114.0342114889,31800.17924191043,934914.2134533993,72285.00709360608,162299.7893333098,510831.7488140058,413806.9086456657,934939.2617803942,3225.7401396730165,3188.860021538627,17,8,7.044320682325633e-11
mean7,validation,2,28,1935944.158871465,2427.455443260931,1319885.5821207669,16470.85984081513,1336356.4419615818,146834.1631177049,132799.99988399763,485509.7517116108,391864.5923152543,1335282.0834708852,3959.5157250529114,5513.189692997885,40,5,8.736833478906192e-11
mean7,evaluation,2,28,2012888.3946760378,1004.1527346666652,1367175.2922501243,5412.790594357659,1372588.082844482,115123.8242872463,99260.03625428793,552074.3842973227,448400.239394819,1373412.7300816406,6237.627060207406,4882.08471133228,10,4,4.663595626671179e-12
mean14,development,2,28,1552912.2645076918,4956.939985011419,902724.7817620941,31515.78192172364,934240.5636838179,72101.00022517575,162191.1501417107,512028.517442234,414776.48121641716,934265.7425252026,3225.7401396730165,3188.6489305534415,17,8,7.747126397185235e-11
mean14,validation,2,28,1936848.51702085,2348.4670311495024,1319408.6308884197,15972.97605467572,1335381.6069430956,147777.02044616232,131991.4087288042,489147.1388906102,394810.87593024387,1334307.248452399,3959.5157250529114,5513.189692997885,39,5,4.092726157978177e-12
