method,period,days,mae,rmse,rank_correlation,high_quartile_overlap,low_quartile_overlap
fixed_attachment1,development,28,0.08628519345238095,0.12519413112742145,0.9356571593664926,0.8402777777777778,0.7003968253968255
fixed_attachment1,validation,28,0.09663675595238097,0.12647190907360503,0.9072942535886616,0.8382936507936508,0.5882936507936508
fixed_attachment1,evaluation,28,0.10487358630952381,0.1453418625565557,0.9324440697104539,0.8283730158730158,0.7321428571428571
fixed_attachment1,all,84,0.09593184523809524,0.13265616113959294,0.9251318275552026,0.8356481481481479,0.6736111111111113
lag1,development,28,0.08556785714285713,0.12543526452045878,0.9251769325356495,0.8680555555555555,0.6666666666666666
lag1,validation,28,0.08347852182539682,0.12076178973959897,0.9442051598146392,0.875,0.7073412698412699
lag1,evaluation,28,0.08133762400793651,0.12033323404106509,0.9490301870502963,0.9037698412698413,0.7281746031746034
lag1,all,84,0.08346133432539683,0.1221986124596761,0.939470759800195,0.8822751322751323,0.7007275132275131
mean7,development,28,0.07961629464285715,0.10412260720028602,0.9417703642930751,0.8898809523809524,0.6855158730158729
mean7,validation,28,0.0817935834750567,0.10443594968109998,0.956713296705445,0.8799603174603174,0.7420634920634921
mean7,evaluation,28,0.08105067318594104,0.10082358042208481,0.9585098047489481,0.9186507936507935,0.7500000000000001
mean7,all,84,0.08082018376795162,0.10314032396870279,0.9523311552491561,0.896164021164021,0.7258597883597885
mean14,development,28,0.0780687287414966,0.10388610515760992,0.9446136172421199,0.8918650793650793,0.7053571428571429
mean14,validation,28,0.08528295068027213,0.10655371002119284,0.9579872445376061,0.8878968253968254,0.7410714285714287
mean14,evaluation,28,0.08516031923185942,0.10462849079574664,0.9589772542843197,0.9136904761904762,0.7549603174603173
mean14,all,84,0.08283733288454272,0.10502878502311334,0.9538593720213487,0.8978174603174606,0.7337962962962963
mean28,development,28,0.07632945454223354,0.10521013732262925,0.9455493904728124,0.8918650793650792,0.7162698412698412
mean28,validation,28,0.08945168739370749,0.10937345653205748,0.9536010709581719,0.8878968253968252,0.7311507936507937
mean28,evaluation,28,0.09508582943594104,0.12037101609886829,0.9518203276110574,0.8769841269841271,0.7509920634920636
mean28,all,84,0.0869556571239607,0.11183456160163603,0.9503235963473473,0.8855820105820107,0.7328042328042329
weekday35,development,28,0.04225781746031745,0.05510163240819294,0.9527615444116184,0.9047619047619048,0.7341269841269841
weekday35,validation,28,0.04537729662698413,0.059839927898791286,0.9551609176755339,0.9117063492063491,0.726190476190476
weekday35,evaluation,28,0.06879410218253969,0.09604800121089008,0.9460780573943098,0.8313492063492064,0.7351190476190478
weekday35,all,84,0.05214307208994711,0.07266871266596857,0.9513335064938208,0.8826058201058201,0.7318121693121695
ewma14,development,28,0.08812648947085848,0.11680606309414772,0.9367396959602973,0.886904761904762,0.6726190476190474
ewma14,validation,28,0.08956698088980754,0.11598937053709707,0.9540414047332907,0.8799603174603174,0.740079365079365
ewma14,evaluation,28,0.08840039685190779,0.11348705299328148,0.9555449494300061,0.9136904761904762,0.7480158730158729
ewma14,all,84,0.0886979557375246,0.1154361319088697,0.9487753500411978,0.8935185185185185,0.7202380952380953
lag1_shift6h,development,28,0.41689697420634925,0.49474070346563825,-0.3217619008439017,0.07837301587301589,0.15376984126984125
lag1_shift6h,validation,28,0.43405644841269847,0.5293819546262685,-0.2054881959819915,0.2123015873015873,0.1884920634920635
lag1_shift6h,evaluation,28,0.45639437003968253,0.5459085062262163,-0.2686980311113331,0.1656746031746032,0.13392857142857142
lag1_shift6h,all,84,0.4357825975529101,0.5237778519944443,-0.2653160426457421,0.15211640211640215,0.15873015873015875
oracle,development,28,0.0,0.0,1.0,1.0,1.0
oracle,validation,28,0.0,0.0,1.0,1.0,1.0
oracle,evaluation,28,0.0,0.0,1.0,1.0,1.0
oracle,all,84,0.0,0.0,1.0,1.0,1.0
