method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
fixed_attachment1,dev_march,development,14,862499.6501725259,124.16455175904503,514942.29504463304,800.7892815968004,515743.0843262299,52151.87319948142,53719.9185079177,266101.3455022669,215593.5356687143,1607.6682326867735,1550.5062194888894,0.7306390376984127,515780.6726447141,3,4,3.069544618483633e-12
fixed_attachment1,dev_april,development,14,689390.6606087502,5226.438295696182,388230.9170378258,33250.428189625636,421481.3452274515,21507.17351815758,108146.89944813523,236429.91705817162,191547.69583668475,1618.0719069862432,1574.2241074687856,0.6869833333333333,421508.45566417614,11,4,7.16227077646181e-11
fixed_attachment1,val_june,validation,14,1020426.3562151477,98.94922438095239,683167.6799039962,685.0159083032381,683852.6958122993,119541.84857757557,43455.0691976167,244697.96805071726,196862.40953638093,1781.3549957153423,3273.515645382012,0.7637298611111111,682827.0489311464,9,1,2.5579538487363607e-12
fixed_attachment1,val_august,validation,14,917471.3770471665,2659.821450269511,641079.7134950558,20673.57207935475,661753.2855744106,30849.96751519224,85651.75177112402,252855.11438389766,204625.09793944482,2178.160729337569,2386.5437421291017,0.7965640873015873,661603.8941924565,31,4,3.9449332689400766e-12
fixed_attachment1,eval_september,evaluation,14,828108.9719726165,310.38018333333156,527712.6044541512,1632.753660033324,529345.3581141846,50358.516978899475,93039.34928527806,241802.04155820105,197490.60166642856,4786.2408636984155,2974.0764144920645,0.7184592261904762,530517.1277553006,6,4,2.595470505184494e-10
fixed_attachment1,eval_december,evaluation,14,1190812.042056074,28.02018466666675,842273.2081052675,207.1730520160006,842480.3811572836,68830.97266395765,6093.170895774245,317986.6405086278,257195.21779428574,1451.3861965089911,1866.898438401062,0.857148759920635,842159.8409347009,2,0,1.0231815394945443e-12
lag1,dev_march,development,14,864871.5988870218,67.60319119142935,517490.8937901121,434.1469946458842,517925.04078475793,51171.843681214115,54130.99836883597,281269.63981491944,227877.4929700895,1607.6682326867735,1553.1296549037052,0.7306390376984127,517960.9039973479,3,4,2.3874235921539366e-12
lag1,dev_april,development,14,692252.6713162503,4939.692288501894,389994.337326252,31147.259543986147,421141.59687023825,19894.397718107015,109184.3129025515,252857.43335942153,204824.5850919943,1618.0719069862432,1606.8896060275138,0.6869833333333333,421148.5107191865,13,4,4.729372449219227e-11
lag1,val_june,validation,14,1021622.5811778711,98.94922438095239,683053.7169542287,685.0159083032381,683738.732862532,119321.73753658673,44104.83185414139,248371.57649593998,199769.44463441617,1781.3549957153423,3349.72424826561,0.7637298611111111,682660.703474253,9,1,9.094947017729282e-13
lag1,val_august,validation,14,919893.4225901812,2387.462844672361,640039.6764857231,16498.93527438535,656538.6117601085,30389.43309947091,86356.7776096978,262997.47088730976,212862.25892829144,2178.160729337569,2362.2634964814824,0.7965640873015873,656406.6270726968,32,4,1.1937117960769683e-11
lag1,eval_september,evaluation,14,828970.1678011055,976.1325499999984,527985.7128283326,5205.617542341658,533191.3303706743,47816.76418781422,92781.3668261922,264337.47557834216,215699.35224124283,4786.2408636984155,3024.0219494920643,0.7184592261904762,534330.8045644052,8,4,9.634876299216198e-12
lag1,eval_december,evaluation,14,1192070.4347486845,28.02018466666675,843168.6518853415,207.1730520160006,843375.8249373575,69165.06696520752,6062.706057393292,323362.0638216883,261615.87787760474,1451.3861965089911,1792.9348831343946,0.857148759920635,843112.3427074833,2,0,1.0231815394945443e-12
mean7,dev_march,development,14,862811.2110648098,66.6998232352372,514815.4499747875,428.4773619293751,515243.92733671685,51806.214900904124,53682.474872339786,269455.01970182126,218310.01177035333,1607.6682326867735,1550.5062194888894,0.7306390376984127,515281.5156552011,3,4,3.467448550509289e-12
mean7,dev_april,development,14,690113.9532847137,4942.790322497131,388298.58423670137,31371.701879981058,419670.2861166824,20478.792192701963,108617.31446097001,241376.72911218455,195496.89687531235,1618.0719069862432,1638.3538020497374,0.6869833333333333,419657.7461251931,14,4,7.044320682325633e-11
mean7,val_june,validation,14,1018111.4117926502,95.86818352380942,680838.9625129967,663.9693182080946,681502.9318312048,117368.3655358754,45744.992350467975,232624.30963008586,187223.2166902552,1781.3549957153423,3117.437340286773,0.7637298611111111,680584.5664460975,8,1,8.736833478906192e-11
mean7,val_august,validation,14,917832.7470788145,2331.5872597371217,639046.61960777,15806.890522607035,654853.510130377,29465.797581829524,87055.00753352966,252885.442081525,204641.3756249991,2178.160729337569,2395.7523527111116,0.7965640873015873,654697.5170247877,32,4,8.021237994802909e-12
