method,window,period,date,issue_slot,issue_hour,e_start,ordinary_plan_sum,price_rho,observed_price_error,terminal_value,forecast_deficit_kwh,forecast_discharge_kwh,solve_seconds,max_reserve_audit
fixed_greedy,dev_march,development,2025-03-07,0,0.0,1607.6682326867735,34105.28322439623,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-08,0,0.0,1799.9208019068776,32969.960558318635,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-09,0,0.0,1746.895154250794,76750.47358346672,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-10,0,0.0,1497.0878818254,75521.66717870542,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-11,0,0.0,1447.0377217671992,75262.66522095355,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-12,0,0.0,1662.895132055023,74693.54267349676,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-13,0,0.0,1466.3308394402127,73995.93129645854,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-14,0,0.0,1411.4148678222232,32440.35028776249,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-15,0,0.0,1920.35807457037,31490.085345136977,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-16,0,0.0,1370.7079328285708,73654.39127774484,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-17,0,0.0,1822.317553566139,72292.89841194474,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-18,0,0.0,1941.2955254317476,70198.11963049616,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-19,0,0.0,1796.3681319396808,70013.77680179071,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_march,development,2025-03-20,0,0.0,1986.1235553100555,69110.50468185419,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_april,development,2025-04-17,0,0.0,1618.0719069862432,60586.326353179305,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_april,development,2025-04-18,0,0.0,1945.3748361206358,26954.930240705467,,,0.0,0.0,0.0,0.0,0.0
fixed_greedy,dev_april,development,2025-04-19,0,0.0,2146.0427089597865,26817.021450395066,,,0.0,0.0,0.0,0.0,0.0
