method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,preserved_emergency_kwh,emergency_slots,reserve_solves,reserve_failures,max_audit,plan_solver,price_level,price_intercept,price_netload_coef
fixed_greedy,dev_march,development,2025-03-07,1607.6682326867735,1799.9208019068776,34105.28322439623,0.0,14008.337912463983,0.0,14008.337912463983,531.8709466337457,9508.771124961786,15628.04372194356,12485.688102476191,0.0,0,0,0,1.6484591469634324e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-08,1799.9208019068776,1746.895154250794,32969.960558318635,0.0,13541.247898128067,0.0,13541.247898128067,563.4289694779532,10443.300079954146,15514.816184791298,12614.724192571426,0.0,0,0,0,1.8189894035458565e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-09,1746.895154250794,1497.0878818254,76750.47358346674,0.0,48657.964996066505,0.0,48657.964996066505,7712.446859951786,2236.0208166666666,19438.460010690185,15969.979153841905,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-10,1497.0878818254,1447.0377217671992,75521.66717870542,0.0,49316.9414253954,0.0,49316.9414253954,3105.2445878812405,360.69671666666625,21361.576674788947,17347.92225063143,0.0,0,0,0,6.821210263296962e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-11,1447.0377217671992,1662.895132055023,75262.66522095354,0.0,48203.483376119584,0.0,48203.483376119584,5802.47982500058,1440.661016666667,20454.389000143445,16373.783420857146,0.0,0,0,0,7.736034035588091e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-12,1662.895132055023,1466.3308394402127,74693.54267349676,0.0,47034.04083337411,0.0,47034.04083337411,6507.771753599041,2172.9285666666665,19759.029122373908,16181.721452476191,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-13,1466.3308394402127,1411.4148678222232,73995.93129645854,73.52254619047426,47548.45323696022,465.8430567662733,48014.29629372649,2437.0919926325582,0.0,21769.306356873603,17682.562523523808,0.0,2,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-14,1411.4148678222232,1920.35807457037,32440.35028776249,0.0,13068.888752193583,0.0,13068.888752193583,386.3359957801317,12578.228842984125,15727.950418902996,12281.590953238094,0.0,0,0,0,1.5347723092418164e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-15,1920.35807457037,1370.7079328285708,31490.085345136977,0.0,13187.485332857172,0.0,13187.485332857172,542.0217663809522,7684.6754266843045,14915.516471786006,12576.253469714286,0.0,0,0,0,3.069544618483633e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-16,1370.7079328285708,1822.317553566139,73654.39127774484,0.0,46140.495111215314,0.0,46140.495111215314,5546.367084458555,488.8266500000001,20324.747112048204,16056.59650209524,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-17,1822.317553566139,1941.2955254317476,72292.89841194473,0.0,44291.79878210785,0.0,44291.79878210785,8171.39584364609,2635.277233333333,18531.65119448912,14903.557292857142,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-18,1941.2955254317476,1796.3681319396808,70198.11963049616,0.0,43415.931037321745,0.0,43415.931037321745,3916.050307040562,1253.98175,21224.020320693704,17321.89111390476,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-19,1796.3681319396808,1986.1235553100555,70013.77680179071,0.0,43151.856206012206,0.0,43151.856206012206,4492.030850397409,1902.2185999999997,20964.615896631396,16810.558995238094,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,dev_march,development,2025-03-20,1986.1235553100555,1550.5062194888894,69110.50468185419,50.64200556857077,43375.3701444172,334.94622483052706,43710.316369247725,2437.336416600817,1014.3316833333329,20487.22301611052,16986.706245288573,0.0,1,0,0,9.601208716958354e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-17,1618.0719069862432,1945.3748361206358,60586.326353179305,0.0,36046.37008216521,0.0,36046.37008216521,1816.2643498542097,1838.5459606502077,19834.742402389176,15771.568709714284,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-18,1945.3748361206358,2146.0427089597865,26954.930240705464,0.0,10742.513159618442,0.0,10742.513159618442,425.43538914285807,17502.61197581893,13116.655825553202,10443.890133142859,0.0,0,0,0,1.8189894035458565e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-19,2146.0427089597865,2102.49358338201,26817.021450395066,0.0,10663.355379304434,0.0,10663.355379304434,460.78709580952443,17185.327325582595,12765.378905383895,10379.15112638095,0.0,0,0,0,5.002220859751105e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-20,2102.49358338201,1969.5795107566153,59747.4441886408,0.0,35529.08940691601,0.0,35529.08940691601,1745.2272619870696,2416.319024331574,19725.135180798352,16096.982161809523,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-21,1969.5795107566153,1477.9647709417982,59458.541821912986,0.0,35032.65098685312,0.0,35032.65098685312,3323.12891760024,4615.290849020582,18135.078619958833,15131.866947999999,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-22,1477.9647709417982,1705.933222255025,59504.85570919106,0.0,35669.2333402151,0.0,35669.2333402151,1367.2054475097,2114.6451166666666,19288.96959034803,15418.893762,0.0,0,0,0,7.602807272633072e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-23,1705.933222255025,1854.0215778994727,59679.406479073485,0.0,36165.28066013353,0.0,36165.28066013353,2269.3696329582617,2345.5203256754867,18585.89622996355,14921.296426190474,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-24,1854.0215778994727,1815.1178250148155,58569.88284902175,0.0,35028.95903495897,0.0,35028.95903495897,2881.8494467113474,5185.066208582019,18146.704585918866,14733.844092190477,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-25,1815.1178250148155,1757.9912371132332,26130.68592015638,0.0,9921.243356010873,0.0,9921.243356010873,275.16554114285805,21542.94785706643,12440.151584518519,10127.936712571427,0.0,0,0,0,2.021099337273174e-12,MILP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-26,1757.9912371132332,1528.5528376656105,26058.808989927096,0.0,10141.486427671343,0.0,10141.486427671343,55.844195619047696,23790.702848652552,12360.857220131682,10218.788907809521,0.0,0,0,0,7.16227077646181e-11,MILP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-27,1528.5528376656105,1485.078089274073,55806.05916888888,421.9215317190496,32769.71795103319,2768.016208842825,35537.73415987602,1395.4226033274592,2472.5914878600825,20134.85631389182,16348.360887804758,0.0,1,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-28,1485.078089274073,1504.9808207925923,55359.6419113933,4712.870446783804,33268.75329225127,29875.89665359737,63144.64994584864,526.7388490487943,0.0,15294.177547868314,12370.371355406669,0.0,9,0,0,8.810729923425242e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-29,1504.9808207925923,1708.2381589777765,57695.52719732746,91.64631719332829,33786.26278987742,606.5153271854466,34392.77811706287,2280.3068751122846,4399.810942798355,18373.212503035862,14699.370523092384,0.0,1,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,dev_april,development,2025-04-30,1708.2381589777765,1574.2241074687856,57021.52832893709,0.0,33466.00117081689,0.0,33466.00117081689,2684.427912333919,2737.51952542975,18228.100548411523,14885.374090571428,0.0,0,0,0,8.86402062860725e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-08,1781.3549957153423,2091.7393678433887,87212.15475059376,19.011776857142877,59417.901733807645,131.58670150204773,59549.48843530969,17048.347067354498,1625.3386999999998,16280.060834286889,12907.503340857142,0.0,3,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-09,2091.7393678433887,2138.257540046561,85600.55768052791,26.182083523809524,59853.91208420841,184.1079778854762,60038.020062093885,9990.273379124048,964.5978262504459,19459.41826505819,15720.262439714284,0.0,2,0,0,7.958078640513122e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-10,2138.257540046561,2282.374572296298,86109.13882866432,0.0,59749.35941490385,0.0,59749.35941490385,10115.54059810465,458.2999333333329,19932.36176246443,16015.507698571428,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-11,2282.374572296298,2422.400642355555,86739.14585020929,2.011921428571327,60517.83627938927,13.950663185713582,60531.78694257498,6125.3137054615,0.0,23186.180455033504,18654.78270552381,0.0,1,0,0,8.526512829121202e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-12,2422.400642355555,2566.0141590010576,87550.81384353674,0.0,61331.46358869936,0.0,61331.46358869936,10744.046098071723,448.5068666666666,19876.933055179306,15971.063609714285,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-13,2566.0141590010576,2734.6829980497337,39993.47707032922,0.0,20261.94030099058,0.0,20261.94030099058,2186.1517375637877,6867.050122007057,12858.73450323457,10263.77299247619,0.0,0,0,0,8.526512829121202e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-14,2734.6829980497337,2707.518913704762,39995.372729863615,0.0,20826.84635701605,0.0,20826.84635701605,2086.145180571431,9432.85866846561,12144.59898282658,9861.572852,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-15,2707.518913704762,3274.0756011640224,88662.27846445503,0.0,61756.662950542974,0.0,61756.662950542974,13451.292645938858,298.84709999999995,19869.80719194474,15584.642806761904,0.0,0,0,0,8.526512829121202e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-16,3274.0756011640224,3108.256751350266,87373.6088789171,0.0,61654.1592923644,0.0,61654.1592923644,10850.552538245738,134.01041666666652,20232.789853528517,16537.796746190477,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-17,3108.256751350266,2638.249502263491,86624.1233323539,3.081040857142966,60960.273915664635,21.046590095143603,60981.32050575977,8598.900744894763,82.02935000000014,19643.52413593533,16334.261074285714,0.0,1,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-18,2638.249502263491,2937.999764022223,87422.56425730394,0.0,61136.70289757007,0.0,61136.70289757007,12640.244880777194,88.67290000000003,18397.26495233627,14632.009375809523,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-19,2937.999764022223,2684.164723368255,85270.74818475603,48.66240171428569,58838.403693467786,334.32397563485705,59172.72766910264,12153.630595467377,1556.9697499999997,18830.30303995532,15480.996998952378,0.0,2,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-20,2684.164723368255,2910.1708693925957,36665.507066768965,0.0,18738.365262744195,0.0,18738.365262744195,1894.275361809525,9942.38456893827,11709.793445259262,9281.527159238092,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_june,validation,2025-06-21,2910.1708693925957,3273.515645382012,35206.86527686772,0.0,18123.852132626984,0.0,18123.852132626984,1657.1340441904772,11555.502995288654,12276.197573674306,9616.709736285711,0.0,0,0,0,2.5579538487363607e-12,MILP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-18,2178.160729337569,2168.930028625398,72442.89799171193,132.611270952381,53395.62923482186,1115.5127389771433,54511.14197379901,2431.3564427783695,2044.6419833333339,19545.804476457368,15840.409256571427,0.0,5,0,0,8.668621376273222e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-19,2168.930028625398,1852.4128791502637,72283.00706105233,115.82866466666655,53193.5115401163,987.5119954816656,54181.02353559797,2148.776426036449,2802.007333333332,17975.0386888254,14844.64677247619,0.0,4,0,0,8.526512829121202e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-20,1852.4128791502637,1630.2109173555552,72871.02814889594,2099.437016692373,54088.80807922131,16170.35038621617,70259.15846543747,816.5785796907725,0.0,19490.406762348033,15987.211243117148,0.0,11,0,0,8.810729923425242e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-21,1630.2109173555552,1854.9618214603195,74223.70503470546,0.0,53980.209930799865,0.0,53980.209930799865,2773.6052160975864,1838.26615,18763.89142936978,14996.476244095238,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-22,1854.9618214603195,1486.6533281999998,40303.6915216214,36.176268870474175,22890.479933394883,73.87194103350826,22964.351874428394,74.96739666666656,16787.300608947677,13571.094888483243,11324.064503605714,0.0,1,0,0,1.0231815394945443e-12,MILP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-23,1486.6533281999998,2018.5248978264526,40956.32355367901,0.0,22897.271353670483,0.0,22897.271353670483,293.5958798600827,15060.614300124631,13649.593742265726,10577.486518571428,0.0,0,0,0,1.1368683772161603e-12,MILP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-24,2018.5248978264526,2100.0782866380923,76078.14630069723,0.0,55178.69278616475,0.0,55178.69278616475,4252.593057452084,4261.4937493356865,19774.062950766613,15943.592940190476,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-25,2100.0782866380923,1707.2043083703695,76204.94830689124,194.44487727809246,55730.98425194171,1651.7392593657878,57382.72351130749,1420.112332058792,671.1679166666668,20466.38157483245,16931.35565605524,0.0,3,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-26,1707.2043083703695,2289.724857334393,77810.48083583773,0.0,55600.937990611346,0.0,55600.937990611346,5546.897169327447,2347.2462063786024,20332.897803845968,15945.378727047619,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-27,2289.724857334393,1885.1668969915347,76984.80180751321,16.225255619048085,55755.491352859244,134.3372614190515,55889.828614278296,3521.03750377895,2044.1890781892992,20451.335677925927,16929.684063428573,0.0,2,0,0,7.673861546209082e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-28,1885.1668969915347,1928.8909241407414,76463.18450198119,46.880709523809514,55516.81030758883,388.3171611380952,55905.127468726925,1669.2331361222814,0.0,21229.923513763664,17156.886421714284,0.0,3,0,0,8.242295734817162e-13,LP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-29,1928.8909241407414,1942.5849956095235,41237.63937088066,0.0,23169.69554602252,0.0,23169.69554602252,743.8070314285724,15221.776714796004,14234.26637017989,11517.431095523809,0.0,0,0,0,1.3642420526593924e-12,MILP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-30,1942.5849956095235,1681.5598685100535,41316.22081616931,0.0,23595.195894540757,0.0,23595.195894540757,620.7335938142277,19944.003730018812,13019.4014389077,10780.637779904762,0.0,0,0,0,3.9449332689400766e-12,MILP,0.7661972222222223,,
fixed_greedy,val_august,validation,2025-08-31,1681.5598685100535,2386.5437421291017,78295.30179552968,18.217386666666698,56085.99529330196,151.93133572333358,56237.92662902529,4536.673750079955,2629.044000000001,20351.015065925923,15849.836717142858,0.0,2,0,0,9.348077867343818e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-10,4786.2408636984155,4596.088809841269,67698.08154233157,296.37601666666484,45826.57312729453,1550.4782996166568,47377.05142691118,3030.138715517931,0.0,20102.405483956492,16454.085290476192,0.0,4,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-11,4596.088809841269,4802.587337518519,69292.72779655732,0.0,45621.4232963086,0.0,45621.4232963086,7376.391981236923,4680.02805,18707.22793198706,14967.005949999997,0.0,0,0,0,8.952838470577262e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-12,4802.587337518519,5081.5353283544955,35096.85593575714,0.0,17573.089670070796,0.0,17573.089670070796,1114.4127548571428,19754.775256190474,12762.939647142855,10086.927922433333,0.0,0,0,0,2.595470505184494e-10,MILP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-13,5081.5353283544955,5445.944860185186,35163.44751505238,0.0,17574.14102364605,0.0,17574.14102364605,725.114016449148,23648.584592557316,12919.362337184011,10136.714914471428,0.0,0,0,0,3.637978807091713e-12,MILP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-14,5445.944860185186,4487.227906111115,68054.8780643198,0.0,45883.59070573429,0.0,45883.59070573429,5239.808548095237,146.7241269077006,18062.4520946502,15493.431455333332,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-15,4487.227906111115,3986.774659746033,67434.65243069135,0.0,44723.64273783499,0.0,44723.64273783499,5790.8465656507915,3405.924111568486,19059.25811509112,15888.40699495238,0.0,0,0,0,7.105427357601002e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-16,3986.774659746033,3583.5142666084644,67472.52043429276,0.0,45423.07443436827,0.0,45423.07443436827,3415.045558430334,1430.3384217530897,18412.10960315696,15276.74313238095,0.0,0,0,0,7.673861546209082e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-17,3583.5142666084644,3671.113625460318,68723.97640009523,7.62916666666672,45735.48047756736,38.19542291666694,45773.67590048403,4892.949583912992,0.0,19998.41136780129,16119.87378495238,0.0,1,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-18,3671.113625460318,3584.4259127671953,68750.67448494297,0.0,45113.874370229845,0.0,45113.874370229845,4748.000187830686,1438.4827399271005,19400.83885232804,15792.698411809522,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-19,3584.4259127671953,4496.983348915345,35408.8122466549,0.0,17400.263404604873,0.0,17400.263404604873,656.0110295943559,15192.384391969425,13882.962188900648,10423.89768047619,0.0,0,0,0,2.362159850438022e-12,MILP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-20,4496.983348915345,4610.873304386246,34562.68968055261,0.0,16697.63108239267,0.0,16697.63108239267,643.1293042857142,15593.405164015287,13569.581678918279,10888.8602,0.0,0,0,0,3.637978807091713e-12,MILP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-21,4610.873304386246,3822.106488999998,70831.37160496414,0.0,47587.24739538965,0.0,47587.24739538965,6657.11060067372,3438.259664204584,16623.178897895355,14174.66504114286,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-22,3822.106488999998,2889.0253054285704,68842.22145939565,0.0,46003.90879754232,0.0,46003.90879754232,3110.8421889512074,2524.7006999999994,18065.430275396826,15472.771588285717,0.0,0,0,0,8.881784197001252e-13,LP,0.7661972222222223,,
fixed_greedy,eval_september,evaluation,2025-09-23,2889.0253054285704,2974.0764144920645,70776.06237700881,6.375,46548.66393116708,44.0799375,46592.74386866709,2958.7159434132855,1785.7420661846013,20235.883083791887,16314.519299714284,0.0,1,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-08,1451.3861965089911,1823.0339727153448,97047.73554554262,0.0,73539.80345687535,0.0,73539.80345687535,4296.472355580245,0.0,24050.363551105234,19146.311477809526,0.0,0,0,0,9.663381206337363e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-09,1823.0339727153448,1681.167125725927,97025.4308092275,28.02018466666675,72807.03663373034,207.1730520160006,73014.20968574633,5190.994365547322,0.0,24219.381705108757,19745.379343428573,0.0,2,0,0,6.821210263296962e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-10,1681.167125725927,1640.7699979100528,97156.0579509171,0.0,73953.31585766921,0.0,73953.31585766921,4351.228607746026,0.0,23439.833113361554,19022.622236857147,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-11,1640.7699979100528,1849.5066304476222,97611.2482016355,0.0,72779.32110963792,0.0,72779.32110963792,7002.810531696645,0.0,23470.105266605526,18822.922296666664,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-12,1849.5066304476222,1922.1565517195847,50946.63655140623,0.0,23509.787370302518,0.0,23509.787370302518,2013.7868539047677,1328.8133463915274,20127.56809806231,16237.945230285712,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-13,1922.1565517195847,2001.8885422253966,51821.586006790116,0.0,24280.336647571185,0.0,24280.336647571185,2989.16600656555,1132.38245,20156.5546075579,16255.050440666666,0.0,0,0,0,7.958078640513122e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-14,2001.8885422253966,1739.627803660316,98139.69736302528,0.0,75089.10147889526,0.0,75089.10147889526,5065.773709824811,0.0,23848.613252152845,19553.41139895238,0.0,0,0,0,6.821210263296962e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-15,1739.627803660316,1911.330116133336,100030.52489955556,0.0,76709.60206295438,0.0,76709.60206295438,5856.427744505584,0.0,23947.405827145212,19242.8666387619,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-16,1911.330116133336,1830.002305755558,99834.15257543915,0.0,76167.15781345079,0.0,76167.15781345079,5982.549789894176,0.0,23719.50779764021,19285.99634542857,0.0,0,0,0,7.958078640513122e-13,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-17,1830.002305755558,1875.848881186245,99460.17511320517,0.0,75719.4197189186,0.0,75719.4197189186,6785.611360997062,0.0,23376.077724493818,18893.36103895238,0.0,0,0,0,1.0231815394945443e-12,LP,0.7661972222222223,,
fixed_greedy,eval_december,evaluation,2025-12-18,1875.848881186245,1865.7872980433888,98902.3976058154,0.0,74868.0547461868,0.0,74868.0547461868,7016.272324981762,0.0,23836.38809997649,19316.529785809525,0.0,0,0,0,9.094947017729282e-13,LP,0.7661972222222223,,
