method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,preserved_emergency_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,reserve_solves,reserve_failures,max_audit
fixed_greedy,development,2,28,1551890.310781276,5350.602847455227,903173.2120824587,34051.217471222444,937224.4295536813,73659.046717639,161866.81795605292,502531.2625604385,407141.23150539905,0.0,937289.1283088902,3225.7401396730165,3124.730326957675,14,0,0,7.16227077646181e-11
fixed_greedy,validation,2,28,1937897.733262314,2758.770674650464,1324247.3933990519,21358.587987657993,1345605.98138671,150391.8160927678,129106.82096874075,497553.0824346149,401487.5074758257,0.0,1344430.943123603,3959.5157250529114,5660.0593875111135,40,0,0,3.9449332689400766e-12
fixed_greedy,evaluation,2,28,2018921.0140286905,338.4003679999983,1369985.812559419,1839.9267120493244,1371825.7392714685,119189.48964285711,99132.5201810523,559788.682066829,454685.81946071424,0.0,1372676.9686900019,6237.627060207406,4840.974852893127,8,0,0,2.595470505184494e-10
mean7_greedy,development,2,28,1552925.1643495236,5009.490145732369,903114.0342114887,31800.17924191044,934914.2134533991,72285.0070936061,162299.7893333098,510831.7488140058,413806.90864566574,0.0,934939.261780394,3225.7401396730165,3188.860021538627,17,0,0,7.044320682325633e-11
mean7_greedy,validation,2,28,1935944.158871465,2427.455443260931,1319885.5821207669,16470.859840815134,1336356.4419615818,146834.16311770494,132799.99988399766,485509.7517116107,391864.59231525427,0.0,1335282.0834708852,3959.5157250529114,5513.189692997885,40,0,0,8.736833478906192e-11
mean7_greedy,evaluation,2,28,2012888.3946760378,1004.1527346666652,1367175.2922501243,5412.790594357659,1372588.082844482,115123.82428724633,99260.03625428793,552074.3842973227,448400.239394819,0.0,1373412.7300816406,6237.627060207406,4882.08471133228,10,0,0,4.663595626671179e-12
netload_shape_greedy,development,2,28,1551904.3579831475,5015.469873362849,902861.8582101488,31812.126799907674,934673.9850100565,71949.57714056433,162338.15824936156,507086.5703463644,410779.49577978,0.0,934703.2800570481,3225.7401396730165,3181.9914738677257,16,0,0,1.5575096767861396e-11
netload_shape_greedy,validation,2,28,1939011.5692820314,2391.281036394264,1320233.3588682264,16216.24529040173,1336449.6041586283,152238.52300406122,128513.49567945916,495580.1744583597,400021.63474012096,0.0,1335375.2456679316,3959.5157250529114,5513.189692997885,37,0,0,8.355982572538778e-12
netload_shape_greedy,evaluation,2,28,2017077.892725841,1004.1527346666652,1369573.9207621976,5412.790594357659,1374986.7113565553,119843.85361390829,99328.42822259493,549150.4402311615,446075.2185738238,0.0,1375842.5209526557,6237.627060207406,4833.891519559793,10,0,0,2.0463630789890885e-11
mean7_value_update,development,2,28,1551586.3922613636,7748.794542947611,902528.5041977429,40384.30215624814,942912.806353991,73722.63110055964,162690.18481996472,507664.9572322375,411067.6042484505,7716.170872947611,942810.5750108962,3225.7401396730165,3382.4191504084706,203,112,0,7.044320682325633e-11
