method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,preserved_emergency_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,reserve_solves,reserve_failures,max_audit
fixed_greedy,dev_march,development,14,862499.650172526,124.16455175904503,514942.2950446329,800.7892815968004,515743.08432622976,52151.87319948142,53719.91850791769,266101.3455022669,215593.5356687143,0.0,1607.6682326867735,1550.5062194888894,0.7306390376984127,515780.672644714,3,0,0,3.069544618483633e-12
fixed_greedy,dev_april,development,14,689390.6606087501,5226.438295696182,388230.9170378258,33250.42818962564,421481.3452274515,21507.173518157575,108146.89944813523,236429.91705817162,191547.69583668475,0.0,1618.0719069862432,1574.2241074687856,0.6869833333333333,421508.45566417614,11,0,0,7.16227077646181e-11
fixed_greedy,val_june,validation,14,1020426.3562151475,98.94922438095239,683167.6799039962,685.0159083032381,683852.6958122994,119541.84857757557,43455.0691976167,244697.9680507172,196862.40953638093,0.0,1781.3549957153423,3273.515645382012,0.7637298611111111,682827.0489311465,9,0,0,2.5579538487363607e-12
fixed_greedy,val_august,validation,14,917471.3770471663,2659.821450269512,641079.7134950558,20673.572079354755,661753.2855744106,30849.96751519224,85651.75177112405,252855.1143838977,204625.09793944476,0.0,2178.160729337569,2386.5437421291017,0.7965640873015873,661603.8941924565,31,0,0,3.9449332689400766e-12
fixed_greedy,eval_september,evaluation,14,828108.9719726166,310.38018333333156,527712.6044541514,1632.7536600333237,529345.3581141847,50358.51697889947,93039.34928527806,241802.04155820102,197490.60166642856,0.0,4786.2408636984155,2974.0764144920645,0.7184592261904762,530517.1277553007,6,0,0,2.595470505184494e-10
fixed_greedy,eval_december,evaluation,14,1190812.042056074,28.02018466666675,842273.2081052677,207.1730520160006,842480.3811572837,68830.97266395764,6093.170895774245,317986.64050862787,257195.2177942857,0.0,1451.3861965089911,1866.898438401062,0.857148759920635,842159.840934701,2,0,0,1.0231815394945443e-12
mean7_greedy,dev_march,development,14,862811.2110648099,66.6998232352372,514815.44997478736,428.4773619293751,515243.92733671673,51806.21490090413,53682.474872339786,269455.01970182126,218310.01177035333,0.0,1607.6682326867735,1550.5062194888894,0.7306390376984127,515281.515655201,3,0,0,3.467448550509289e-12
mean7_greedy,dev_april,development,14,690113.9532847137,4942.7903224971315,388298.5842367013,31371.701879981065,419670.2861166824,20478.79219270196,108617.31446097002,241376.72911218455,195496.89687531238,0.0,1618.0719069862432,1638.3538020497374,0.6869833333333333,419657.7461251931,14,0,0,7.044320682325633e-11
mean7_greedy,val_june,validation,14,1018111.4117926501,95.86818352380942,680838.9625129967,663.9693182080946,681502.9318312048,117368.36553587542,45744.992350467975,232624.30963008577,187223.2166902552,0.0,1781.3549957153423,3117.437340286773,0.7637298611111111,680584.5664460975,8,0,0,8.736833478906192e-11
mean7_greedy,val_august,validation,14,917832.7470788147,2331.5872597371217,639046.61960777,15806.890522607038,654853.510130377,29465.797581829516,87055.0075335297,252885.44208152496,204641.37562499905,0.0,2178.160729337569,2395.7523527111116,0.7965640873015873,654697.5170247877,32,0,0,8.021237994802909e-12
mean7_greedy,eval_september,evaluation,14,823497.6456085059,976.1325499999984,525970.5702887916,5205.617542341658,531176.1878311333,46115.820232388,93166.86535851369,242499.97736470896,198018.93079710475,0.0,4786.2408636984155,3015.186272931218,0.7184592261904762,532321.3752908746,8,0,0,4.663595626671179e-12
mean7_greedy,eval_december,evaluation,14,1189390.749067532,28.02018466666675,841204.7219613327,207.1730520160006,841411.8950133488,69008.00405485832,6093.170895774245,309574.4069326137,250381.30859771426,0.0,1451.3861965089911,1866.898438401062,0.857148759920635,841091.3547907661,2,0,0,1.0231815394945443e-12
netload_shape_greedy,dev_march,development,14,862037.1720426267,72.98611897428509,514722.98651286645,469.970099674778,515192.9566125412,51881.737227073434,53543.037140654895,265750.6127495649,215309.44213902572,0.0,1607.6682326867735,1550.5062194888894,0.7306390376984127,515230.5449310255,3,0,0,1.5575096767861396e-11
netload_shape_greedy,dev_april,development,14,689867.1859405208,4942.483754388564,388138.87169728236,31342.156700232896,419481.02839751524,20067.839913490894,108795.12110870666,241335.9575967995,195470.05364075428,0.0,1618.0719069862432,1631.4852543788363,0.6869833333333333,419472.7351260226,13,0,0,1.4438228390645236e-11
netload_shape_greedy,val_june,validation,14,1021514.5262776717,91.49543457142852,681883.5142521892,633.4845994593807,682516.9988516486,122540.66935011647,41732.578177848336,244407.74170612692,196767.79667184854,0.0,1781.3549957153423,3117.437340286773,0.7637298611111111,681598.6334665413,6,0,0,8.355982572538778e-12
netload_shape_greedy,val_august,validation,14,917497.0430043597,2299.7856018228354,638349.8446160372,15582.76069094235,653932.6053069796,29697.85365394475,86780.91750161082,251172.43275223277,203253.8380682724,0.0,2178.160729337569,2395.7523527111116,0.7965640873015873,653776.6122013903,31,0,0,3.069544618483633e-12
netload_shape_greedy,eval_september,evaluation,14,829058.8911445958,976.1325499999984,527775.7841633892,5205.617542341658,532981.4017057309,51583.25810473486,93235.25732682069,242862.02772276892,198355.56545972856,0.0,4786.2408636984155,2966.993081158731,0.7184592261904762,534157.7515244139,8,0,0,2.0463630789890885e-11
netload_shape_greedy,eval_december,evaluation,14,1188019.001581245,28.02018466666675,841798.1365988083,207.1730520160006,842005.3096508244,68260.59550917342,6093.170895774245,306288.41250839265,247719.6531140952,0.0,1451.3861965089911,1866.898438401062,0.857148759920635,841684.7694282418,2,0,0,1.0231815394945443e-12
mean7_value_update,dev_march,development,14,862291.3330783949,1310.569216081907,514595.15876131505,6265.950782493427,520861.10954380844,52541.27327374482,53748.11404007641,268134.44417482894,217066.14237750668,1310.569216081907,1607.6682326867735,1744.0653483587332,0.7306390376984127,520771.418192203,79,56,0,4.092726157978177e-12
mean7_value_update,dev_april,development,14,689295.0591829688,6438.225326865704,387933.34543642786,34118.35137375471,422051.6968101826,21181.357826814827,108942.07077988831,239530.51305740856,194001.4618709438,6405.601656865704,1618.0719069862432,1638.3538020497374,0.6869833333333333,422039.1568186933,124,56,0,7.044320682325633e-11
mean7_value_update,val_june,validation,14,1018111.4117926501,792.1834940799952,680838.9625129967,4214.952017267786,685053.9145302644,118182.95419676194,45790.05222113228,231764.66109853494,186526.90137969903,696.3153105561858,1781.3549957153423,3117.437340286773,0.7637298611111111,684135.5491451571,34,56,0,8.736833478906192e-11
mean7_value_update,val_august,validation,14,917055.9978818035,5142.823708699999,638683.8474285852,26792.728347096323,665476.5757756815,31506.83877234216,87694.03401319576,249487.65040664663,201889.1643683476,4765.639030795237,2178.160729337569,2395.7523527111116,0.7965640873015873,665320.5826700922,151,56,0,8.021237994802909e-12
mean7_value_update,eval_september,evaluation,14,823497.6456085059,2175.7173984761916,525970.5702887916,10382.215547849055,536352.7858366406,47034.52841924867,93509.05489831381,241239.07963804816,196819.34594862856,2049.962889714294,4786.2408636984155,3213.250372798943,0.7184592261904762,537369.9024144476,64,56,0,4.663595626671179e-12
mean7_value_update,eval_december,evaluation,14,1189196.1937564397,746.5148714390461,841117.5082254519,3798.490469086112,844915.998694538,69686.08028393179,6102.452456620804,308692.49383160134,249662.81391094188,718.4946867723794,1451.3861965089911,1871.5040772370414,0.857148759920635,844591.9055261002,62,56,0,3.637978807091713e-12
netload_shape_value_update,dev_march,development,14,861559.2981606254,1191.7038764104807,514530.6859909288,5761.367148442262,520292.05313937104,52576.22620307461,53582.28379777424,264539.00323444325,214190.7243815895,1191.7038764104807,1607.6682326867735,1703.0773863640222,0.7306390376984127,520229.3144523637,72,56,0,1.5575096767861396e-11
netload_shape_value_update,dev_april,development,14,688938.7417031346,6435.625494635231,387746.8592830965,34288.854699603,422035.7139826995,20718.917655084075,109051.9373355297,239529.6604096637,194006.95291917428,6435.625494635231,1618.0719069862432,1631.4852543788363,0.6869833333333333,422027.42071120685,115,56,0,1.4438228390645236e-11
netload_shape_value_update,val_june,validation,14,1021514.5262776717,773.3746549714268,681883.5142521892,4101.69827210263,685985.2125242918,123337.43567747684,41777.63804851265,243565.91550810222,196085.91745144853,681.8792203999983,1781.3549957153423,3117.437340286773,0.7637298611111111,685066.8471391845,29,56,0,8.355982572538778e-12
netload_shape_value_update,val_august,validation,14,916706.2860343021,5111.153560414285,637977.1536695,26525.745225223993,664502.898894724,31706.291032731344,87452.54779300294,247701.60811199644,200442.47010968096,4765.639030795237,2178.160729337569,2395.7523527111116,0.7965640873015873,664346.9057891347,150,56,0,3.069544618483633e-12
netload_shape_value_update,eval_september,evaluation,14,829058.8911445958,2217.4864827619067,527775.7841633892,10545.496002789534,538321.2801661788,52773.60428439388,93577.4468666208,241329.49200330977,197114.21152696665,2091.731974000009,4786.2408636984155,2966.993081158731,0.7184592261904762,539497.6299848618,64,56,0,2.0463630789890885e-11
netload_shape_value_update,eval_december,evaluation,14,1187858.2424040905,592.9317354285688,841728.4115685188,3229.1919230974213,844957.6034916163,68782.8590622951,6102.452456620804,305596.1082172698,247154.74156333331,564.9115507619022,1451.3861965089911,1871.5040772370414,0.857148759920635,844633.5103231785,54,56,0,3.637978807091713e-12
mean7_value_shift6h,dev_march,development,14,862291.3330783949,1310.569216081907,514595.15876131505,6265.950782493427,520861.10954380844,52541.27327374482,53748.11404007641,268134.44417482894,217066.14237750668,1310.569216081907,1607.6682326867735,1744.0653483587332,0.7306390376984127,520771.418192203,79,56,0,4.092726157978177e-12
mean7_value_shift6h,dev_april,development,14,686218.3762364903,8930.338513513327,386774.99182919937,45874.50521633991,432649.4970455393,21123.819894148157,108999.60871255497,236453.83011093002,191509.3486842962,8930.338513513327,1618.0719069862432,1638.3538020497374,0.6869833333333333,432636.95705405,129,56,0,1.1095835361629725e-10
mean7_value_shift6h,val_june,validation,14,1018111.4117926501,792.1834940799952,680838.9625129967,4214.952017267786,685053.9145302644,118182.95419676194,45790.05222113228,231764.66109853494,186526.90137969903,696.3153105561858,1781.3549957153423,3117.437340286773,0.7637298611111111,684135.5491451571,34,56,0,8.736833478906192e-11
mean7_value_shift6h,val_august,validation,14,917042.0039335132,5154.158806815224,638677.0757570075,26885.001713303318,665562.0774703108,31506.83877234216,87694.03401319576,249473.65645835624,201877.82927023238,4776.974128910463,2178.160729337569,2395.7523527111116,0.7965640873015873,665406.0843647216,152,56,0,8.021237994802909e-12
mean7_value_shift6h,eval_september,evaluation,14,815712.2922652272,9324.354029483808,522762.17942193,56299.91894114384,579062.0983630739,47034.528419248665,93527.27921901339,233886.77958983183,190121.98693338284,9198.599520721911,4786.2408636984155,4037.690346343916,0.7184592261904762,579546.1210859906,75,56,0,4.234834705130197e-11
mean7_value_shift6h,eval_december,evaluation,14,1189196.1937564397,746.5148714390461,841117.5082254519,3798.490469086112,844915.998694538,69686.08028393179,6102.452456620804,308692.49383160134,249662.81391094188,718.4946867723794,1451.3861965089911,1871.5040772370414,0.857148759920635,844591.9055261002,62,56,0,3.637978807091713e-12
oracle_greedy,dev_march,development,14,865194.598420124,103.88407772380845,509769.91127756506,671.8768545048797,510441.7881320699,51689.39008759388,53540.854654883005,283561.4966111005,229737.47203906285,0.0,1607.6682326867735,1549.1573614962977,0.7306390376984127,510480.2634260293,3,0,0,2.0463630789890885e-12
oracle_greedy,dev_april,development,14,693252.386149252,5226.54445257237,383666.36221870396,33624.001377306886,417290.36359601084,23375.169136330416,106155.33055229396,257313.58343064663,208445.95723411333,0.0,1618.0719069862432,1593.67784555344,0.6869833333333333,417305.4460782838,11,0,0,1.2656897752094665e-10
oracle_greedy,val_june,validation,14,1021587.1953255403,98.94922438095239,676453.8356829694,685.0159083032381,677138.8515912727,119690.53486303004,42842.880607635525,253690.44021946614,204230.54029021045,0.0,1781.3549957153423,3179.9286485566154,0.7637298611111111,676177.5323757984,9,0,0,1.1368683772161603e-12
oracle_greedy,val_august,validation,14,919534.5047063394,2665.5055042666513,634895.4996626476,20136.814176996068,655032.3138396437,31285.130808405647,85611.9698018401,261619.02301398703,211715.57618029334,0.0,2178.160729337569,2395.7523527111125,0.7965640873015873,654876.3207340544,31,0,0,2.546585164964199e-11
oracle_greedy,eval_september,evaluation,14,829540.1161827501,982.5075499999984,520688.13049511355,5249.697479841659,525937.8279749552,49036.46697382832,92030.66151385655,265043.1908784891,216297.74163342378,0.0,4786.2408636984155,2994.28861720106,0.7184592261904762,527096.528136905,9,0,0,7.617018127348274e-12
oracle_greedy,eval_december,evaluation,14,1192300.0359188437,28.02018466666675,837447.3374327674,207.1730520160006,837654.5104847834,69201.39151165666,6062.706057393292,323997.60470746143,262058.14213966762,0.0,1451.3861965089911,1873.5169447047635,0.857148759920635,837328.8645221771,2,0,0,1.0231815394945443e-12
oracle_value_update,dev_march,development,14,864659.2999913151,1397.6572085904802,509553.9711764188,6430.309370825962,515984.28054724477,52499.100836253485,53637.351097574356,282119.9909909406,228443.69890819618,1397.6572085904802,1607.6682326867735,1689.3280043153468,0.7306390376984127,515930.58311197953,92,56,0,2.0463630789890885e-12
oracle_value_update,dev_april,development,14,692444.7153872685,6815.758187374275,383331.7911639442,36043.63379753636,419375.42496148054,24092.49766127574,106589.5424464233,255366.22845035035,206868.59970007333,6815.758187374275,1618.0719069862432,1593.67784555344,0.6869833333333333,419390.50744375354,127,56,0,1.2656897752094665e-10
oracle_value_update,val_june,validation,14,1021569.1896307725,790.2846439952368,676445.808744242,4210.476666285685,680656.2854105276,120480.96981564026,42887.94047829984,252836.93970142383,203539.20487059618,691.3354196142843,1781.3549957153423,3179.9286485566154,0.7637298611111111,679694.9661950533,35,56,0,3.637978807091713e-12
oracle_value_update,val_august,validation,14,918754.8445553621,5704.282321344752,634531.200773948,30645.694217587738,665176.8949915358,33625.053681406236,86219.03468543797,257998.64885347322,208783.07311027715,5315.442866487609,2178.160729337569,2395.7523527111125,0.7965640873015873,665020.9018859465,163,56,0,7.394697200248225e-11
oracle_value_update,eval_september,evaluation,14,829540.1161827501,2266.955989428574,520688.13049511355,10745.932390097154,531434.0628852107,50155.123532337435,92351.09086322515,263604.1049706114,215013.29319399523,2141.872103523819,4786.2408636984155,3126.276232809525,0.7184592261904762,532507.4180990015,69,56,0,7.617018127348274e-12
oracle_value_update,eval_december,evaluation,14,1192126.6894517608,725.2663314190454,837370.5976279239,3759.4671271602174,841130.0647550841,69874.44381928275,6071.987618239851,323141.9243719059,261360.89599291523,697.2461467523786,1451.3861965089911,1878.1225835407429,0.857148759920635,840800.8658466225,70,56,0,3.637978807091713e-12
