method,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
fixed,2025-02-01,10800.0,2585.557588044534,35664.161264715876,0.0,16198.279198450278,0.0,16198.279198450278,3144.028226971389,3771.3344999999995,9282.214606163532,14911.59200175238,21014.766166435293,0,LP,0.005873999994946644,9.094947017729282e-13,0
fixed,2025-02-02,2585.557588044534,2389.8125533694874,90835.8570738394,0.0,64033.47745723728,0.0,64033.47745723728,8492.117674933863,59.174066666666704,21602.410070770624,17674.12268853175,64180.824409748275,0,LP,0.004778300004545599,7.958078640513122e-13,0
fixed,2025-02-03,2389.8125533694874,2241.0594688730175,89869.5067517764,0.0,64138.94136260954,0.0,64138.94136260954,5613.754190951891,0.0,21961.651773007055,17922.81571218254,64252.04000622441,0,LP,0.004030499985674396,7.673861546209082e-13,0
fixed,2025-02-04,2241.0594688730175,2170.5872977883614,89709.3020531261,0.0,63873.34273057001,0.0,63873.34273057001,4048.7928564290664,0.0,23837.211582490687,19371.56633579365,63927.20254080999,0,LP,0.00407289998838678,8.810729923425242e-13,0
fixed,2025-02-05,2170.5872977883614,2243.8106476746043,89828.88076103762,0.0,64171.04251034094,0.0,64171.04251034094,4575.608706077803,0.0,23362.86345646776,18858.018384841267,64115.14169986648,0,LP,0.004155500006163493,9.094947017729282e-13,0
fixed,2025-02-06,2243.8106476746043,2114.9921521410943,90090.1225539947,15.52750726190527,64461.430699869314,111.79141034024167,64573.22211020956,5703.592243905061,1.400816666666742,22344.928578938852,18215.328794920635,64671.06853332726,2,LP,0.004630500014172867,9.094947017729282e-13,0
fixed,2025-02-07,2114.9921521410943,1964.5471375830684,43242.55970200725,0.0,18046.479702353783,0.0,18046.479702353783,3213.6569815925923,4695.309410082307,19280.600825094254,15752.68718142857,18133.682898367126,0,LP,0.004816299973754212,9.094947017729282e-13,0
fixed,2025-02-08,1964.5471375830684,2238.8040688253936,42148.55391451029,0.0,17750.83170847983,0.0,17750.83170847983,2704.6272819047617,4052.0446478183458,18778.358052644322,14963.638784523811,17592.279319853507,0,LP,0.004617999977199361,9.841016890277388e-13,0
fixed,2025-02-09,2238.8040688253936,1945.429582518518,87640.48085253498,0.0,61837.30325405551,0.0,61837.30325405551,4027.506111240441,0.0,22745.241117389778,18687.682342761906,62059.45980029801,0,LP,0.0044034000020474195,9.094947017729282e-13,0
fixed,2025-02-10,1945.429582518518,1734.3430826962983,87864.86845520008,0.0,60295.56269625103,0.0,60295.56269625103,9451.043870442882,499.6630333333335,19881.588515423868,16294.064547333332,60450.976714893884,0,LP,0.004411300003994256,9.094947017729282e-13,0
fixed,2025-02-11,1734.3430826962983,1652.8239410857113,87153.02744246148,0.0,60144.014644244155,0.0,60144.014644244155,7563.363549017038,352.0303666666666,21528.44010996826,17511.40371652381,60204.79883174199,0,LP,0.004726499988464639,7.958078640513122e-13,0
fixed,2025-02-12,1652.8239410857113,1671.007955137566,85949.91340420341,0.0,58860.94658650468,0.0,58860.94658650468,6253.6398733333235,286.6938,21718.305183631994,17575.46158609524,58847.42164643817,0,LP,0.004681199992774054,1.0231815394945443e-12,0
fixed,2025-02-13,1671.007955137566,1738.6591384867686,85418.8064756602,0.0,57914.38609285522,0.0,57914.38609285522,9584.367780202238,732.2808000000005,19535.75165145796,15763.07277266667,57864.776676747446,0,LP,0.004341799998655915,6.821210263296962e-13,0
fixed,2025-02-14,1738.6591384867686,1684.7622044497364,38033.405703049975,0.0,16005.870647126247,0.0,16005.870647126247,653.4392956319805,4149.543165990585,18300.67718628455,14872.055761523807,16036.48356668994,0,MILP,0.10179370001424104,8.171241461241152e-13,0
fixed,2025-02-15,1684.7622044497364,1555.9082139788366,37464.72983736037,0.0,16193.893740000989,0.0,16193.893740000989,465.86601636096594,4443.509399406232,17848.58901587889,14573.325694285713,16267.86398390569,0,MILP,0.022432500001741573,1.4210854715202004e-12,0
fixed,2025-02-16,1555.9082139788366,1526.72331020106,82366.85632885243,7.19500000000005,56182.5349241982,37.66222750000026,56220.197151698194,2725.6548194015263,30.539166666666688,22456.55082202234,18216.072579238098,56242.00673844229,1,LP,0.004717800009530038,9.094947017729282e-13,0
fixed,2025-02-17,1526.72331020106,1451.899140809524,82207.74288798326,0.0,55630.712278320345,0.0,55630.712278320345,6430.446689161661,882.1082833333332,19887.718427757794,16176.393678936192,55685.754246747725,0,LP,0.0045556999975815415,8.384404281969182e-13,0
fixed,2025-02-18,1451.899140809524,1730.3004070317447,81739.64104515291,0.0,54459.80213025233,0.0,54459.80213025233,5021.597450987655,337.9783681258109,21253.243700558487,16964.566257852377,54255.714688023596,0,LP,0.004427500010933727,9.094947017729282e-13,0
fixed,2025-02-19,1730.3004070317447,1230.8840336084652,80993.2891819317,26.642250000000104,53901.33698916147,144.50756400000054,54045.84455316147,4201.713297817749,190.23952732275146,22095.39978704645,18346.74856358857,54412.80914951299,1,LP,0.004234899999573827,8.419931418757187e-13,0
fixed,2025-02-20,1230.8840336084652,1660.237109568254,81071.89367213503,0.0,54759.93247839331,0.0,54759.93247839331,5039.949597205171,526.9084070076348,21713.074559079374,17201.17262449048,54444.30376173703,0,LP,0.004401100013637915,6.821210263296962e-13,0
fixed,2025-02-21,1660.237109568254,1570.4168942867734,36177.44179775426,0.0,15481.473026129936,0.0,15481.473026129936,636.638591904762,6710.575252263369,17635.81112634803,14365.845206095237,15531.661418721693,0,MILP,0.05794130000867881,1.3073986337985843e-12,0
fixed,2025-02-22,1570.4168942867734,1550.8805622127004,35781.13501112052,0.0,15243.034842105519,0.0,15243.034842105519,408.26588913580105,4207.775538171659,17567.965259717814,14247.634559238091,15254.204849860738,0,MILP,0.10680119998869486,1.3642420526593924e-12,0
fixed,2025-02-23,1550.8805622127004,1366.9086605989423,79036.1488690573,0.0,52705.86817607105,0.0,52705.86817607105,3067.893383588471,417.62383333333355,22022.90884344503,18004.13087464286,52840.874231333735,0,LP,0.0046730000176467,8.633094239485217e-13,0
fixed,2025-02-24,1366.9086605989423,1555.1592120910027,78655.63697871957,2.3866676190474436,52146.220241828676,12.194678199522915,52158.4149200282,5112.176652981779,1224.353383333333,20784.39208954732,16665.932096190478,52021.476880265676,1,LP,0.004690300003858283,9.094947017729282e-13,0
fixed,2025-02-25,1555.1592120910027,1405.6030787545003,77966.19079463962,16.30746428571433,50723.46834241172,84.62026971428597,50808.088612126005,6656.244340245729,1869.2859833333332,19843.395905346275,16207.751203333333,50914.974417697355,2,LP,0.005154200014658272,8.100187187665142e-13,0
fixed,2025-02-26,1405.6030787545003,1742.1718194243408,77434.9485982857,0.0,51001.04964838097,0.0,51001.04964838097,3464.348574346854,790.2927499999998,21381.828284224568,17016.369043619045,50757.042570281905,0,LP,0.004840799985686317,9.094947017729282e-13,0
fixed,2025-02-27,1742.1718194243408,1729.4163171301627,76617.05092290652,0.0,49363.72342904603,0.0,49363.72342904603,4589.1955092228145,791.3014666666667,22586.577363588473,18306.607616571426,49372.88341832572,0,LP,0.005777100013801828,9.094947017729282e-13,0
fixed,2025-02-28,1729.4163171301627,1625.3280828021225,34707.59282836096,0.0,14377.362697714232,0.0,14377.362697714232,489.8729850029391,7796.6919726043525,16958.493324467952,13830.059003714283,14435.132773703785,0,MILP,0.10035180000704713,1.6484591469634324e-12,0
fixed,2025-03-01,1625.3280828021225,1670.9657889947052,34330.01281419517,0.0,14208.47542908417,0.0,14208.47542908417,113.1979307877723,7402.656184820693,16391.151735158135,13235.758969904762,14183.24690510091,0,MILP,0.11245899999630637,3.410605131648481e-12,0
fixed,2025-03-02,1670.9657889947052,1378.6695038296302,75138.22875220342,2462.4745770304735,49085.76238067298,15192.39326060724,64278.155641280224,1509.15202857143,0.0,21033.215213917698,17299.970979921905,64491.84285962407,9,LP,0.004695800016634166,9.094947017729282e-13,0
fixed,2025-03-03,1378.6695038296302,1390.6224389407405,76209.81527506879,1664.5742314790411,49453.760095461614,10160.640096268044,59614.400191729655,1453.25674425632,0.0,23122.25519662199,18718.269067663816,59605.6666003967,9,LP,0.0049912999966181815,7.602807272633072e-13,0
fixed,2025-03-04,1390.6224389407405,1444.8234474804217,78006.45152734678,0.0,51047.554312837165,0.0,51047.554312837165,4036.482170279834,600.6831000000002,21689.723242357435,17519.894918623813,51008.49896311877,0,LP,0.004630300012649968,7.580602812140569e-13,0
fixed,2025-03-05,1444.8234474804217,1558.67724358307,79010.81560277635,0.0,50738.153815975325,0.0,50738.153815975325,8236.369828164607,756.9464333333331,19918.73109536508,16031.703770753335,50656.742587913504,0,LP,0.004201200004899874,8.419931418757187e-13,0
fixed,2025-03-06,1558.67724358307,1607.6682326867735,78875.91974513786,0.0,51257.40271501318,0.0,51257.40271501318,7745.506963215756,1476.7504499999995,19310.085833660196,15597.07763507143,51222.488245569904,0,LP,0.004600899992510676,7.958078640513122e-13,0
fixed,2025-03-07,1607.6682326867735,1799.9208019068776,34105.28322439623,0.0,14008.337912463983,0.0,14008.337912463983,531.8709466337457,9508.771124961786,15628.04372194356,12485.688102476191,13903.05055261488,0,MILP,0.10939090000465512,1.6484591469634324e-12,0
fixed,2025-03-08,1799.9208019068776,1746.895154250794,32969.960558318635,0.0,13541.247898128067,0.0,13541.247898128067,563.4289694779532,10443.300079954146,15514.816184791298,12614.724192571426,13569.75113906397,0,MILP,0.08522040001116693,1.8189894035458565e-12,0
fixed,2025-03-09,1746.895154250794,1497.0878818254,76750.47358346674,0.0,48657.964996066505,0.0,48657.964996066505,7712.446859951786,2236.0208166666666,19438.460010690185,15969.979153841905,48834.18607186491,0,LP,0.004702800011727959,9.094947017729282e-13,0
fixed,2025-03-10,1497.0878818254,1447.0377217671992,75521.66717870542,0.0,49316.9414253954,0.0,49316.9414253954,3105.2445878812405,360.69671666666625,21361.576674788947,17347.92225063143,49353.08796380294,0,LP,0.005322799988789484,6.821210263296962e-13,0
fixed,2025-03-11,1447.0377217671992,1662.895132055023,75262.66522095354,0.0,48203.483376119584,0.0,48203.483376119584,5802.47982500058,1440.661016666667,20454.389000143445,16373.783420857146,48050.12666951531,0,LP,0.0044129999878350645,7.736034035588091e-13,0
fixed,2025-03-12,1662.895132055023,1466.3308394402127,74693.54267349676,0.0,47034.04083337411,0.0,47034.04083337411,6507.771753599041,2172.9285666666665,19759.029122373908,16181.721452476191,47172.058697138964,0,LP,0.004274100007023662,9.094947017729282e-13,0
fixed,2025-03-13,1466.3308394402127,1411.4148678222232,73995.93129645854,73.52254619047426,47548.45323696022,465.8430567662733,48014.29629372649,2437.0919926325582,0.0,21769.306356873603,17682.562523523808,48053.8178769557,2,LP,0.004361400002380833,1.0231815394945443e-12,0
fixed,2025-03-14,1411.4148678222232,1920.35807457037,32440.35028776249,0.0,13068.888752193583,0.0,13068.888752193583,386.3359957801317,12578.228842984125,15727.950418902996,12281.590953238094,12798.004684670395,0,MILP,0.1051926999934949,1.5347723092418164e-12,0
fixed,2025-03-15,1920.35807457037,1370.7079328285708,31490.085345136977,0.0,13187.485332857172,0.0,13187.485332857172,542.0217663809522,7684.6754266843045,14915.516471786006,12576.253469714286,13486.657156756524,0,MILP,0.08765989998937584,3.069544618483633e-12,0
fixed,2025-03-16,1370.7079328285708,1822.317553566139,73654.39127774484,0.0,46140.495111215314,0.0,46140.495111215314,5546.367084458555,488.8266500000001,20324.747112048204,16056.59650209524,45821.47553482218,0,LP,0.005042499979026616,9.094947017729282e-13,0
fixed,2025-03-17,1822.317553566139,1941.2955254317476,72292.89841194473,0.0,44291.79878210785,0.0,44291.79878210785,8171.39584364609,2635.277233333333,18531.65119448912,14903.557292857142,44210.39903595997,0,LP,0.005109099991386756,9.094947017729282e-13,0
fixed,2025-03-18,1941.2955254317476,1796.3681319396808,70198.11963049616,0.0,43415.931037321745,0.0,43415.931037321745,3916.050307040562,1253.98175,21224.020320693704,17321.89111390476,43517.15050284751,0,LP,0.004579200001899153,9.094947017729282e-13,0
fixed,2025-03-19,1796.3681319396808,1986.1235553100555,70013.77680179071,0.0,43151.856206012206,0.0,43151.856206012206,4492.030850397409,1902.2185999999997,20964.615896631396,16810.558995238094,43020.041770988,0,LP,0.004666299995733425,1.0231815394945443e-12,0
fixed,2025-03-20,1986.1235553100555,1550.5062194888894,69110.50468185419,50.64200556857077,43375.3701444172,334.94622483052706,43710.316369247725,2437.336416600817,1014.3316833333329,20487.22301611052,16986.706245288573,44015.58583549697,1,LP,0.004585500020766631,9.601208716958354e-13,0
fixed,2025-03-21,1550.5062194888894,1569.8333724000017,31062.576495811874,0.0,12428.905259736162,0.0,12428.905259736162,630.195938,15522.189187992943,15049.117976485595,12172.391123333331,12418.985381074064,0,MILP,0.08868620000430383,1.8189894035458565e-12,0
fixed,2025-03-22,1569.8333724000017,1989.4346450793637,30837.701445714283,0.0,12357.669091940248,0.0,12357.669091940248,306.45470030452765,11449.223259597886,14858.855826669012,11658.032074190476,12135.847141389098,0,MILP,0.06591340000159107,1.4779288903810084e-12,0
