method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
fixed,development,2,28,1551890.310781276,5350.602847455227,903173.2120824587,34051.217471222444,937224.4295536813,73659.046717639,161866.81795605292,502531.2625604385,407141.23150539905,937289.1283088902,3225.7401396730165,3124.730326957675,14,8,7.16227077646181e-11
fixed,validation,2,28,1937897.733262314,2758.770674650464,1324247.3933990519,21358.587987657993,1345605.98138671,150391.8160927678,129106.82096874075,497553.0824346149,401487.5074758257,1344430.943123603,3959.5157250529114,5660.0593875111135,40,5,3.9449332689400766e-12
fixed,evaluation,2,28,2018921.0140286905,338.4003679999983,1369985.812559419,1839.9267120493244,1371825.7392714685,119189.48964285711,99132.5201810523,559788.682066829,454685.81946071424,1372676.9686900019,6237.627060207406,4840.974852893127,8,4,2.595470505184494e-10
mean7,development,2,28,1552925.1643495236,5009.490145732369,903114.0342114887,31800.17924191044,934914.2134533991,72285.0070936061,162299.7893333098,510831.7488140058,413806.90864566574,934939.261780394,3225.7401396730165,3188.860021538627,17,8,7.044320682325633e-11
mean7,validation,2,28,1935944.158871465,2427.455443260931,1319885.5821207669,16470.859840815134,1336356.4419615818,146834.16311770494,132799.99988399766,485509.7517116107,391864.59231525427,1335282.0834708852,3959.5157250529114,5513.189692997885,40,5,8.736833478906192e-11
mean7,evaluation,2,28,2012888.3946760378,1004.1527346666652,1367175.2922501243,5412.790594357659,1372588.082844482,115123.82428724633,99260.03625428793,552074.3842973227,448400.239394819,1373412.7300816406,6237.627060207406,4882.08471133228,10,4,4.663595626671179e-12
mean14,development,2,28,1552912.2645076918,4956.9399850114205,902724.781762094,31515.78192172364,934240.5636838176,72101.00022517574,162191.15014171076,512028.517442234,414776.48121641716,934265.7425252025,3225.7401396730165,3188.6489305534415,17,8,7.747126397185235e-11
mean14,validation,2,28,1936848.51702085,2348.4670311495024,1319408.63088842,15972.976054675724,1335381.6069430956,147777.02044616232,131991.40872880426,489147.1388906102,394810.87593024375,1334307.248452399,3959.5157250529114,5513.189692997885,39,5,4.092726157978177e-12
mean14,evaluation,2,28,2014268.4592713423,1004.1527346666652,1367055.907670631,5412.790594357659,1372468.6982649886,116739.51418120044,99314.12391456202,550623.8801403563,447239.44819677615,1373303.4881125349,6237.627060207406,4866.398967887835,10,4,4.042198674546348e-12
saa_load,development,2,28,1519245.7307887496,4723.345095560007,905659.1248112019,29990.454993232863,935649.5798044348,43860.64973041077,160942.45410363862,478498.5878590117,385657.6337087513,934263.5047376289,3225.7401396730165,5365.987314171043,16,0,5.7980287238024175e-12
saa_load,validation,2,28,1885453.2710679283,1758.2851025659795,1319398.2486748444,11346.870612443268,1330745.1192872878,103650.17821342255,130971.66697826229,447542.6677108613,360045.24864871847,1328849.715072086,3959.5157250529114,6697.640388474243,16,0,2.376054908381775e-11
saa_load,evaluation,2,28,1963818.825417662,379.5298666190465,1368621.8150416317,1981.4878560374227,1370603.3028976691,69551.96482701815,103259.80893436141,499053.6367641622,403501.59720792726,1369785.7377558772,6237.627060207406,7050.792139145366,5,0,8.901679393602535e-11
saa_joint,development,2,28,1522077.0167211602,4757.979396638452,905709.7824228788,30168.285965024785,935878.0683879035,45256.60931781461,163042.88287645855,479918.81881925394,387708.33279572835,935147.7696379749,3225.7401396730165,4365.640637303426,16,0,7.275957614183426e-12
saa_joint,validation,2,28,1877973.9922067993,1880.6881643296938,1320706.46599113,12443.566697062906,1333150.032688193,96787.66642653407,131700.71957679058,440820.2065368688,354546.20408573106,1331212.5767053687,3959.5157250529114,6757.474846311423,16,0,4.120181882156342e-10
saa_joint,evaluation,2,28,1963210.6266039466,389.54306611904616,1368927.525595122,2033.4463482429207,1370960.971943365,70813.54694921535,100920.38958660269,501968.699908712,405937.00874113105,1370207.7790988772,6237.627060207406,6968.3361545693115,5,0,1.2280452210688964e-09
saa_shuffled,development,2,28,1522639.869342219,4757.979396638451,905555.9458782098,30168.299980588126,935724.2458587979,45515.11212166837,163029.02175471958,481600.84395865566,389072.1469961859,934994.8909123633,3225.7401396730165,4364.114151145441,16,0,1.801625515440719e-11
saa_shuffled,validation,2,28,1877206.0199740487,1880.6881643296954,1320523.7979393066,12443.566697062915,1332967.3646363695,96263.3641215225,131796.35035956744,439006.64517109166,353071.9434304697,1331025.7755190658,3959.5157250529114,6763.337011846872,16,0,7.219114195322618e-11
saa_shuffled,evaluation,2,28,1963015.4585966538,389.54306611904593,1369017.6663239496,2033.4463482429196,1371051.1126721925,70633.360772326,100841.73015544517,501996.2534464787,405900.88467814354,1370247.8259725221,6237.627060207406,7033.272186323235,5,0,2.3646862246096134e-11
