method,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
fixed,2025-02-01,10800.0,2585.557588044534,35664.161264715876,0.0,16198.279198450278,0.0,16198.279198450278,3144.028226971389,3771.3344999999995,9282.214606163532,14911.59200175238,21014.766166435293,0,LP,0.008539800008293241,9.094947017729282e-13,0
fixed,2025-02-02,2585.557588044534,2389.8125533694874,90835.8570738394,0.0,64033.47745723728,0.0,64033.47745723728,8492.117674933863,59.174066666666704,21602.410070770624,17674.12268853175,64180.824409748275,0,LP,0.008438799995929003,7.958078640513122e-13,0
fixed,2025-02-03,2389.8125533694874,2241.0594688730175,89869.5067517764,0.0,64138.94136260954,0.0,64138.94136260954,5613.754190951891,0.0,21961.651773007055,17922.81571218254,64252.04000622441,0,LP,0.006863000016892329,7.673861546209082e-13,0
fixed,2025-02-04,2241.0594688730175,2170.5872977883614,89709.3020531261,0.0,63873.34273057001,0.0,63873.34273057001,4048.7928564290664,0.0,23837.211582490687,19371.56633579365,63927.20254080999,0,LP,0.005363000003853813,8.810729923425242e-13,0
fixed,2025-02-05,2170.5872977883614,2243.8106476746043,89828.88076103762,0.0,64171.04251034094,0.0,64171.04251034094,4575.608706077803,0.0,23362.86345646776,18858.018384841267,64115.14169986648,0,LP,0.006347799993818626,9.094947017729282e-13,0
fixed,2025-02-06,2243.8106476746043,2114.9921521410943,90090.1225539947,15.52750726190527,64461.430699869314,111.79141034024167,64573.22211020956,5703.592243905061,1.400816666666742,22344.928578938852,18215.328794920635,64671.06853332726,2,LP,0.005269899993436411,9.094947017729282e-13,0
fixed,2025-02-07,2114.9921521410943,1964.5471375830684,43242.55970200725,0.0,18046.479702353783,0.0,18046.479702353783,3213.6569815925923,4695.309410082307,19280.600825094254,15752.68718142857,18133.682898367126,0,LP,0.005377800000132993,9.094947017729282e-13,0
fixed,2025-02-08,1964.5471375830684,2238.8040688253936,42148.55391451029,0.0,17750.83170847983,0.0,17750.83170847983,2704.6272819047617,4052.0446478183458,18778.358052644322,14963.638784523811,17592.279319853507,0,LP,0.005047599988756701,9.841016890277388e-13,0
fixed,2025-02-09,2238.8040688253936,1945.429582518518,87640.48085253498,0.0,61837.30325405551,0.0,61837.30325405551,4027.506111240441,0.0,22745.241117389778,18687.682342761906,62059.45980029801,0,LP,0.005089100013719872,9.094947017729282e-13,0
fixed,2025-02-10,1945.429582518518,1734.3430826962983,87864.86845520008,0.0,60295.56269625103,0.0,60295.56269625103,9451.043870442882,499.6630333333335,19881.588515423868,16294.064547333332,60450.976714893884,0,LP,0.004821699985768646,9.094947017729282e-13,0
fixed,2025-02-11,1734.3430826962983,1652.8239410857113,87153.02744246148,0.0,60144.014644244155,0.0,60144.014644244155,7563.363549017038,352.0303666666666,21528.44010996826,17511.40371652381,60204.79883174199,0,LP,0.0052056000276934355,7.958078640513122e-13,0
fixed,2025-02-12,1652.8239410857113,1671.007955137566,85949.91340420341,0.0,58860.94658650468,0.0,58860.94658650468,6253.6398733333235,286.6938,21718.305183631994,17575.46158609524,58847.42164643817,0,LP,0.006020100001478568,1.0231815394945443e-12,0
fixed,2025-02-13,1671.007955137566,1738.6591384867686,85418.8064756602,0.0,57914.38609285522,0.0,57914.38609285522,9584.367780202238,732.2808000000005,19535.75165145796,15763.07277266667,57864.776676747446,0,LP,0.00499889999628067,6.821210263296962e-13,0
fixed,2025-02-14,1738.6591384867686,1684.7622044497364,38033.405703049975,0.0,16005.870647126247,0.0,16005.870647126247,653.4392956319805,4149.543165990585,18300.67718628455,14872.055761523807,16036.48356668994,0,MILP,0.13358080000034533,8.171241461241152e-13,0
fixed,2025-02-15,1684.7622044497364,1555.9082139788366,37464.72983736037,0.0,16193.893740000989,0.0,16193.893740000989,465.86601636096594,4443.509399406232,17848.58901587889,14573.325694285713,16267.86398390569,0,MILP,0.033766599983209744,1.4210854715202004e-12,0
fixed,2025-02-16,1555.9082139788366,1526.72331020106,82366.85632885243,7.19500000000005,56182.5349241982,37.66222750000026,56220.197151698194,2725.6548194015263,30.539166666666688,22456.55082202234,18216.072579238098,56242.00673844229,1,LP,0.005104400013806298,9.094947017729282e-13,0
fixed,2025-02-17,1526.72331020106,1451.899140809524,82207.74288798326,0.0,55630.712278320345,0.0,55630.712278320345,6430.446689161661,882.1082833333332,19887.718427757794,16176.393678936192,55685.754246747725,0,LP,0.004877300001680851,8.384404281969182e-13,0
fixed,2025-02-18,1451.899140809524,1730.3004070317447,81739.64104515291,0.0,54459.80213025233,0.0,54459.80213025233,5021.597450987655,337.9783681258109,21253.243700558487,16964.566257852377,54255.714688023596,0,LP,0.009144700015895069,9.094947017729282e-13,0
fixed,2025-02-19,1730.3004070317447,1230.8840336084652,80993.2891819317,26.642250000000104,53901.33698916147,144.50756400000054,54045.84455316147,4201.713297817749,190.23952732275146,22095.39978704645,18346.74856358857,54412.80914951299,1,LP,0.004986200015991926,8.419931418757187e-13,0
fixed,2025-02-20,1230.8840336084652,1660.237109568254,81071.89367213503,0.0,54759.93247839331,0.0,54759.93247839331,5039.949597205171,526.9084070076348,21713.074559079374,17201.17262449048,54444.30376173703,0,LP,0.005597299983492121,6.821210263296962e-13,0
fixed,2025-02-21,1660.237109568254,1570.4168942867734,36177.44179775426,0.0,15481.473026129936,0.0,15481.473026129936,636.638591904762,6710.575252263369,17635.81112634803,14365.845206095237,15531.661418721693,0,MILP,0.07391620002454147,1.3073986337985843e-12,0
fixed,2025-02-22,1570.4168942867734,1550.8805622127004,35781.13501112052,0.0,15243.034842105519,0.0,15243.034842105519,408.26588913580105,4207.775538171659,17567.965259717814,14247.634559238091,15254.204849860738,0,MILP,0.132771300006425,1.3642420526593924e-12,0
fixed,2025-02-23,1550.8805622127004,1366.9086605989423,79036.1488690573,0.0,52705.86817607105,0.0,52705.86817607105,3067.893383588471,417.62383333333355,22022.90884344503,18004.13087464286,52840.874231333735,0,LP,0.0052174000011291355,8.633094239485217e-13,0
fixed,2025-02-24,1366.9086605989423,1555.1592120910027,78655.63697871957,2.3866676190474436,52146.220241828676,12.194678199522915,52158.4149200282,5112.176652981779,1224.353383333333,20784.39208954732,16665.932096190478,52021.476880265676,1,LP,0.005874700000276789,9.094947017729282e-13,0
fixed,2025-02-25,1555.1592120910027,1405.6030787545003,77966.19079463962,16.30746428571433,50723.46834241172,84.62026971428597,50808.088612126005,6656.244340245729,1869.2859833333332,19843.395905346275,16207.751203333333,50914.974417697355,2,LP,0.005893399997148663,8.100187187665142e-13,0
fixed,2025-02-26,1405.6030787545003,1742.1718194243408,77434.9485982857,0.0,51001.04964838097,0.0,51001.04964838097,3464.348574346854,790.2927499999998,21381.828284224568,17016.369043619045,50757.042570281905,0,LP,0.006310800003120676,9.094947017729282e-13,0
fixed,2025-02-27,1742.1718194243408,1729.4163171301627,76617.05092290652,0.0,49363.72342904603,0.0,49363.72342904603,4589.1955092228145,791.3014666666667,22586.577363588473,18306.607616571426,49372.88341832572,0,LP,0.0063757999741937965,9.094947017729282e-13,0
fixed,2025-02-28,1729.4163171301627,1625.3280828021225,34707.59282836096,0.0,14377.362697714232,0.0,14377.362697714232,489.8729850029391,7796.6919726043525,16958.493324467952,13830.059003714283,14435.132773703785,0,MILP,0.13190820001182146,1.6484591469634324e-12,0
