method,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
fixed,2025-02,28,1985669.7451623778,68.0588891666672,1279902.3222349626,390.77614975405135,1280293.0983847165,123339.4024399982,48818.65793879305,568196.1912187623,468496.11961267557,10800.0,1625.3280828021225,0.7695711805555556,1286647.6051733915,7,5,1.6484591469634324e-12
fixed,2025-03,31,1864208.3641481078,4322.747022836168,1109231.8370851811,26632.347074218098,1135864.1841593992,92102.86322210696,138379.73455414342,587969.8710837319,476239.02415570477,1625.3280828021225,1643.7407740444448,0.7255331989247312,1135852.1610424991,22,9,3.410605131648481e-12
fixed,2025-04,30,1559551.0896826803,8656.343010753331,888119.9717390533,54019.63609610975,942139.607835163,51883.72148902766,197038.8085859365,534830.8874651981,433275.58384672855,1643.7407740444448,1574.2241074687856,0.6988464120370371,942183.3311608749,32,8,7.16227077646181e-11
fixed,2025-05,31,1571260.3522059778,8876.239308670472,915956.5389349574,45377.188219721254,961333.7271546787,71471.02171754201,225026.38336122048,504137.20161694346,407308.4801477243,1574.2241074687856,2732.727620802115,0.6912003360215054,960613.0449387503,107,10,3.497007128316909e-10
fixed,2025-06,30,2061519.1186484552,27575.356599012004,1366685.301743389,167844.9809315267,1534530.2826749156,168970.0499897637,68818.82114190947,534208.9506571875,432896.51272472664,2732.727620802115,2524.657962574604,0.7662756712962964,1534673.7775202468,158,5,2.722799763432704e-11
fixed,2025-07,31,2276456.8904172163,18247.027225303198,1636005.428747298,115108.61236368837,1751114.0411109861,137921.4516782301,104704.70503963801,561866.7540207537,454608.2526127686,2524.657962574604,3084.455900398942,0.8300811827956989,1750695.8311500659,173,8,5.631768829061912e-09
fixed,2025-08,31,2014828.8333641721,2982.5642244142687,1403378.0422968278,23393.530152074512,1426771.5724489023,99216.78886829155,234727.28705221636,528329.3597044986,428574.90230308665,3084.455900398942,2386.5437421291017,0.7864659722222223,1427265.5681965738,45,10,1.8189894035458565e-11
fixed,2025-09,30,1826245.488979254,372.6273219999985,1163180.2156680182,2024.1267040789924,1165204.3423720973,136588.01019399532,203135.0457543057,519926.53617332154,421415.3430703686,2386.5437421291017,2081.1562199312125,0.7202801851851851,1165402.310495035,10,8,2.595470505184494e-10
fixed,2025-10,31,1810156.5406208546,2382.6150497608487,1107164.3136488744,13775.098657676797,1120939.4123065514,70635.32542050605,155848.15976423046,585928.5986745214,475006.51922197576,2081.1562199312125,1631.873669249736,0.7202710573476703,1121230.657002596,21,9,6.063298011819521e-12
fixed,2025-11,30,2025832.8914653629,1740.3345413685602,1299777.4982945877,8841.6048810753,1308619.103175663,74768.78509263611,45296.82707040799,629686.0792376777,510150.8733773238,1631.873669249736,1515.0412305777768,0.7610268287037036,1308699.124533926,39,5,5.9117155615240335e-12
fixed,2025-12,31,2623679.7683697282,13085.661591145714,1861841.1433103764,87680.98896820065,1949522.132278577,128781.86885338504,9058.936652793655,710059.5141638353,575171.8259424733,1515.0412305777768,1488.7973752814803,0.8617168234767025,1949542.4855730366,57,0,1.0231815394945443e-12
mean7,2025-02,28,1983410.9493625367,60.86388916666715,1280612.3765172942,353.1139222540511,1280965.4904395482,122160.25669551245,48521.25272900089,564041.2446631663,465130.6129026428,10800.0,1625.3280828021225,0.7695711805555556,1287319.9972282231,6,5,5.343281372915953e-12
