method,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
fixed,2025-Q1,59,3849878.109310486,4390.805912002835,2389134.1593201435,27023.12322397215,2416157.282544116,215442.26566210517,187198.3924929365,1156166.0623024942,944735.1437683803,10800.0,1643.7407740444448,0.7464325800376647,2422308.3597218874,29,14,3.410605131648481e-12
fixed,2025-Q2,91,5192330.560537114,45107.93891843581,3170761.8124173996,267241.8052473577,3438003.6176647577,292324.7931963334,490884.0130890665,1573177.039739329,1273480.5767191795,1643.7407740444448,2524.657962574604,0.7184711309523809,3437433.9954529107,297,23,3.497007128316909e-10
fixed,2025-Q3,92,6117531.212760642,21602.218771717467,4202563.686712144,140526.26921984187,4343089.955931986,373726.250740517,542567.03784616,1610122.6498985738,1304598.4979862238,2524.657962574604,2081.1562199312125,0.7795800800120772,4343401.126543599,228,26,5.631768829061912e-09
fixed,2025-Q4,92,6459669.200455946,17208.611182275123,4268782.955253839,110297.69250695275,4379080.647760792,274185.9793665272,210203.9234874321,1925674.1920760346,1560329.2185417728,2081.1562199312125,1488.7973752814803,0.7812220561594203,4379497.135175933,117,14,6.063298011819521e-12
mean7,2025-Q1,59,3847870.3986407295,4228.197843213318,2389413.0229805573,26036.88497069031,2415449.9079512474,213392.43599808146,186522.20940555114,1159090.7676333522,947104.1550863752,10800.0,1643.7407740444448,0.7464325800376647,2421600.985129019,29,14,5.343281372915953e-12
mean7,2025-Q2,91,5191616.253074425,44821.06437626864,3168808.14520149,262507.45896660583,3431315.6041680956,286874.5644019772,494498.47871339915,1577569.5721875818,1277038.5280022642,1643.7407740444448,2524.657962574604,0.7184711309523809,3430745.9819562486,324,23,6.091056548029883e-10
mean7,2025-Q3,92,6111197.78370154,22770.53784116222,4188979.3557631434,136247.85137723235,4325227.207140376,361832.8158683994,549836.722099774,1607374.509084703,1302391.7165435075,2524.657962574604,2059.8088682433804,0.7795800800120772,4325553.355525113,282,26,7.02584657119587e-11
mean7,2025-Q4,92,6448654.702915352,17398.08357815164,4266136.241899429,112566.50394251602,4378702.745841945,268172.6385665171,209936.85431414936,1901654.045823703,1540853.6874608654,2059.8088682433804,1488.7973752814803,0.7812220561594203,4379104.223937305,120,14,1.6370904631912708e-11
mean14,2025-Q1,59,3846653.2171741114,4174.142947573317,2387359.4201410166,25716.291692763243,2413075.7118337797,213847.6977217194,186256.28276838476,1151403.5494821435,940877.5083838962,10800.0,1643.7407740444448,0.7464325800376647,2419226.789011551,28,14,1.0231815394945443e-11
mean14,2025-Q2,91,5192717.204130744,45936.68592745532,3167610.704566472,268494.8970884124,3436105.6016548844,287978.9334528061,495078.01369222574,1580373.091018372,1279309.3782552043,1643.7407740444448,2524.657962574604,0.7184711309523809,3435535.9794430374,340,23,7.747126397185235e-11
mean14,2025-Q3,92,6114159.746140053,22551.650548006022,4189550.3737160377,134084.6241363424,4323634.99785238,365821.1597686929,548953.3023871594,1605381.779545639,1300760.8360467656,2524.657962574604,2078.441723910048,0.7795800800120772,4323948.073014317,283,26,7.02584657119587e-11
mean14,2025-Q4,92,6447369.713510164,17085.96991616402,4264545.347148225,110377.86829935409,4374923.215447579,268162.4718171845,209351.270207565,1896472.0319228682,1536673.0257712891,2078.441723910048,1488.7973752814803,0.7812220561594203,4375337.794300973,119,14,1.6422063708887435e-10
saa_load,2025-Q1,59,3822957.2442052485,3733.7659334642094,2386609.2270449544,23325.4270158545,2409934.654060809,178944.29039569868,187632.7677915002,1158601.4656467203,938684.8522285396,10800.0,10558.149939226447,0.7464325800376647,2410097.1263491698,21,59,2.314158741177784e-09
saa_load,2025-Q2,91,5215744.3895308245,35911.836821949364,3197199.2145513073,226044.30248401154,3423243.517035319,268675.73181844235,496140.28950859094,1747838.4727423387,1415531.4978665982,10558.149939226447,10800.0,0.7184711309523809,3423087.130977303,154,91,1.8232799448014702e-08
saa_load,2025-Q3,92,6149901.314847553,13247.032558607227,4249539.665224881,90751.09005303522,4340290.755277916,356332.80243306595,559230.807162887,1749112.755123251,1418844.0083463762,10800.0,8508.137003841259,0.7795800800120772,4341898.776942045,106,92,1.8199614260083763e-08
saa_load,2025-Q4,92,6420422.029962556,14939.089481999987,4253032.334473276,96875.32766548017,4349907.662138756,236080.45960821258,211841.05105500063,1886665.954925927,1526369.2813945832,8508.137003841259,10541.628220972158,0.7812220561594203,4348477.91476791,89,92,2.916976882261224e-09
oracle_actual,2025-Q1,59,3595696.20482773,1.560671591960272e-11,2183331.68144955,6.56662532350083e-11,2183331.68144955,3.1462832339457236e-11,117247.44677181072,1299428.5238030863,1061177.1042805,10800.0,1200.0000000000005,0.7464325800376647,2189780.858941076,0,16,2.8251179173821583e-11
oracle_actual,2025-Q2,91,4837381.561943557,1.9961454711392433e-11,2888631.0887379185,8.83419940755914e-11,2888631.0887379185,2.5711877071898925e-11,351994.43277818937,1741336.3106072014,1410482.4115918332,1200.0000000000005,1200.0000000000005,0.7184711309523809,2888631.0887379185,0,31,8.537881512893364e-11
oracle_actual,2025-Q3,92,5626916.115542843,2.057847225955811e-11,3780917.4392805626,9.59906135911126e-11,3780917.4392805626,2.808242527407856e-11,370731.3543333334,1783519.84303251,1444651.0728563333,1200.0000000000005,1200.0000000000007,0.7795800800120772,3780917.4392805626,0,31,5.1954884838778526e-11
oracle_actual,2025-Q4,92,6174205.321455487,2.6807356334757058e-11,3984753.046620495,1.3052524465706483e-10,3984753.046620495,4.8932413676539e-11,150194.8564288066,2088776.4725088475,1691908.9427321667,1200.0000000000007,1200.0000000000007,0.7812220561594203,3984753.046620495,0,19,6.31530383543577e-11
