Excel列,原始表头（保留）,实际当天时段（已确认位置映射）
B,0:10-0:20,00:00-00:10
C,0:20-0:30,00:10-00:20
D,0:30-0:40,00:20-00:30
E,0:40-0:50,00:30-00:40
F,0:50-1:00,00:40-00:50
G,1:00-1:10,00:50-01:00
H,1:10-1:20,01:00-01:10
I,1:20-1:30,01:10-01:20
J,1:30-1:40,01:20-01:30
K,1:40-1:50,01:30-01:40
L,1:50-2:00,01:40-01:50
M,2:00-2:10,01:50-02:00
N,2:10-2:20,02:00-02:10
O,2:20-2:30,02:10-02:20
P,2:30-2:40,02:20-02:30
Q,2:40-2:50,02:30-02:40
R,2:50-3:00,02:40-02:50
S,3:00-3:10,02:50-03:00
T,3:10-3:20,03:00-03:10
U,3:20-3:30,03:10-03:20
V,3:30-3:40,03:20-03:30
W,3:40-3:50,03:30-03:40
X,3:50-4:00,03:40-03:50
Y,4:00-4:10,03:50-04:00
Z,4:10-4:20,04:00-04:10
AA,4:20-4:30,04:10-04:20
AB,4:30-4:40,04:20-04:30
AC,4:40-4:50,04:30-04:40
AD,4:50-5:00,04:40-04:50
AE,5:00-5:10,04:50-05:00
AF,5:10-5:20,05:00-05:10
AG,5:20-5:30,05:10-05:20
AH,5:30-5:40,05:20-05:30
AI,5:40-5:50,05:30-05:40
AJ,5:50-6:00,05:40-05:50
AK,6:00-6:10,05:50-06:00
AL,6:10-6:20,06:00-06:10
AM,6:20-6:30,06:10-06:20
AN,6:30-6:40,06:20-06:30
AO,6:40-6:50,06:30-06:40
AP,6:50-7:00,06:40-06:50
AQ,7:0-7:10,06:50-07:00
AR,7:10-7:20,07:00-07:10
AS,7:20-7:30,07:10-07:20
AT,7:30-7:40,07:20-07:30
AU,7:40-7:50,07:30-07:40
AV,7:50-8:00,07:40-07:50
AW,8:00-8:10,07:50-08:00
AX,8:10-8:20,08:00-08:10
AY,8:20-8:30,08:10-08:20
AZ,8:30-8:40,08:20-08:30
BA,8:40-8:50,08:30-08:40
BB,8:50-9:00,08:40-08:50
BC,9:00-9:10,08:50-09:00
BD,9:10-9:20,09:00-09:10
BE,9:20-9:30,09:10-09:20
BF,9:30-9:40,09:20-09:30
BG,9:40-9:50,09:30-09:40
BH,9:50-10:00,09:40-09:50
BI,10:00-10:10,09:50-10:00
BJ,10:10-10:20,10:00-10:10
BK,10:20-10:30,10:10-10:20
BL,10:30-10:40,10:20-10:30
BM,10:40-10:50,10:30-10:40
BN,10:50-11:00,10:40-10:50
BO,11:00-11:10,10:50-11:00
BP,11:10-11:20,11:00-11:10
BQ,11:20-11:30,11:10-11:20
BR,11:30-11:40,11:20-11:30
BS,11:40-11:50,11:30-11:40
BT,11:50-12:00,11:40-11:50
BU,12:00-12:10,11:50-12:00
BV,12:10-12:20,12:00-12:10
BW,12:20-12:30,12:10-12:20
BX,12:30-12:40,12:20-12:30
BY,12:40-12:50,12:30-12:40
BZ,12:50-13:00,12:40-12:50
CA,13:00-13:10,12:50-13:00
CB,13:10-13:20,13:00-13:10
CC,13:20-13:30,13:10-13:20
CD,13:30-13:40,13:20-13:30
CE,13:40-13:50,13:30-13:40
CF,13:50-14:00,13:40-13:50
CG,14:00-14:10,13:50-14:00
CH,14:10-14:20,14:00-14:10
CI,14:20-14:30,14:10-14:20
CJ,14:30-14:40,14:20-14:30
CK,14:40-14:50,14:30-14:40
CL,14:50-15:00,14:40-14:50
CM,15:00-15:10,14:50-15:00
CN,15:10-15:20,15:00-15:10
CO,15:20-15:30,15:10-15:20
CP,15:30-15:40,15:20-15:30
CQ,15:40-15:50,15:30-15:40
CR,15:50-16:00,15:40-15:50
CS,16:00-16:10,15:50-16:00
CT,16:10-16:20,16:00-16:10
CU,16:20-16:30,16:10-16:20
CV,16:30-16:40,16:20-16:30
CW,16:40-16:50,16:30-16:40
CX,16:50-17:00,16:40-16:50
CY,17:00-17:10,16:50-17:00
CZ,17:10-17:20,17:00-17:10
DA,17:20-17:30,17:10-17:20
DB,17:30-17:40,17:20-17:30
DC,17:40-17:50,17:30-17:40
DD,17:50-18:00,17:40-17:50
DE,18:00-18:10,17:50-18:00
DF,18:10-18:20,18:00-18:10
DG,18:20-18:30,18:10-18:20
DH,18:30-18:40,18:20-18:30
DI,18:40-18:50,18:30-18:40
DJ,18:50-19:00,18:40-18:50
DK,19:00-19:10,18:50-19:00
DL,19:10-19:20,19:00-19:10
DM,19:20-19:30,19:10-19:20
DN,19:30-19:40,19:20-19:30
DO,19:40-19:50,19:30-19:40
DP,19:50-20:00,19:40-19:50
DQ,20:00-20:10,19:50-20:00
DR,20:10-20:20,20:00-20:10
DS,20:20-20:30,20:10-20:20
DT,20:30-20:40,20:20-20:30
DU,20:40-20:50,20:30-20:40
DV,20:50-21:00,20:40-20:50
DW,21:00-21:10,20:50-21:00
DX,21:10-21:20,21:00-21:10
DY,21:20-21:30,21:10-21:20
DZ,21:30-21:40,21:20-21:30
EA,21:40-21:50,21:30-21:40
EB,21:50-22:00,21:40-21:50
EC,22:00-22:10,21:50-22:00
ED,22:10-22:20,22:00-22:10
EE,22:20-22:30,22:10-22:20
EF,22:30-22:40,22:20-22:30
EG,22:40-22:50,22:30-22:40
EH,22:50-23:00,22:40-22:50
EI,23:00-23:10,22:50-23:00
EJ,23:10-23:20,23:00-23:10
EK,23:20-23:30,23:10-23:20
EL,23:30-23:40,23:20-23:30
EM,23:40-23:50,23:30-23:40
EN,23:50-0:00+1,23:40-23:50
EO,0:00-0:10+1,23:50-24:00
